gene,transcript,protein_change,score,pvalue,qvalue,info
CTNNB1,ENST00000349496,.,.,1.2671743204650798e-11,3.28958453592736e-08,.
BRAF,ENST00000288602,.,.,8.59185713036589e-07,0.0007770339962524,.
SPEN,ENST00000375759,.,.,8.97959163619921e-07,0.0007770339962524,.
TNKS1BP1,ENST00000532437,.,.,2.22251010494067e-06,0.0014424090581064,.
MDC1,ENST00000376406,.,.,1.7422505700231e-05,0.0090457649595599,.
ARHGAP21,ENST00000396432,.,.,3.01949043131581e-05,0.0130643285994931,.
RPL7A,ENST00000323345,.,.,0.0001192058409671,0.0442083375929462,.
FADD,ENST00000301838,.,.,0.0002335880811289,0.0606394658610834,.
ITPR2,ENST00000381340,.,.,0.0001953287859018,0.0606394658610834,.
MUC16,ENST00000397910,.,.,0.000211642074615,0.0606394658610834,.
AP2B1,ENST00000312678,.,.,0.00027877338732,0.0657905194075315,.
ASXL2,ENST00000435504,.,.,0.0005201382720075,0.0727718389036093,.
DIDO1,ENST00000266070,.,.,0.0005352216822367,0.0727718389036093,.
KIAA2018,ENST00000316407,.,.,0.000389499855298,0.0727718389036093,.
NUPL2,ENST00000258742,.,.,0.0005672950675028,0.0727718389036093,.
PIK3AP1,ENST00000339364,.,.,0.0006108636898019,0.0727718389036093,.
PREX1,ENST00000371941,.,.,0.0006201790458524,0.0727718389036093,.
PSMB6,ENST00000270586,.,.,0.0004552030896011,0.0727718389036093,.
RANBP2,ENST00000283195,.,.,0.0004183153395994,0.0727718389036093,.
SEC16A,ENST00000313050,.,.,0.0006447427946005,0.0727718389036093,.
SMC4,ENST00000357388,.,.,0.0004319816689805,0.0727718389036093,.
VAT1L,ENST00000302536,.,.,0.0006273979437507,0.0727718389036093,.
WDR62,ENST00000401500,.,.,0.0004495836193277,0.0727718389036093,.
ARAF,ENST00000377045,.,.,0.0009339826011855,0.0818196329699269,.
ARHGEF17,ENST00000263674,.,.,0.0009118906756623,0.0818196329699269,.
ARID4A,ENST00000355431,.,.,0.0012044575236781,0.0818196329699269,.
ATF7IP,ENST00000261168,.,.,0.0020314203475339,0.0818196329699269,.
BIRC6,ENST00000421745,.,.,0.0013487848149511,0.0818196329699269,.
BRIP1,ENST00000259008,.,.,0.0018053337933002,0.0818196329699269,.
CEP350,ENST00000367607,.,.,0.0009204188261258,0.0818196329699269,.
CHD2,ENST00000394196,.,.,0.0021708706204183,0.0818196329699269,.
CIDEA,ENST00000320477,.,.,0.0013255647939262,0.0818196329699269,.
CLSPN,ENST00000318121,.,.,0.002101943758461,0.0818196329699269,.
COPB2,ENST00000333188,.,.,0.0014310927190521,0.0818196329699269,.
CWC22,ENST00000410053,.,.,0.0021321960939569,0.0818196329699269,.
CXXC1,ENST00000412036,.,.,0.0008326549219645,0.0818196329699269,.
CYFIP2,ENST00000521420,.,.,0.0010681109763846,0.0818196329699269,.
DDX42,ENST00000578681,.,.,0.0017744148979673,0.0818196329699269,.
DHX9,ENST00000367549,.,.,0.0011074612073555,0.0818196329699269,.
ERCC6,ENST00000355832,.,.,0.0009810080829514,0.0818196329699269,.
FLNA,ENST00000369850,.,.,0.0016171850405967,0.0818196329699269,.
FRMD7,ENST00000298542,.,.,0.0011238169188348,0.0818196329699269,.
FTO,ENST00000471389,.,.,0.0022698514363464,0.0818196329699269,.
GMIP,ENST00000203556,.,.,0.001531393543424,0.0818196329699269,.
HOOK3,ENST00000307602,.,.,0.0014330213461546,0.0818196329699269,.
HTATSF1,ENST00000535601,.,.,0.0021474152364089,0.0818196329699269,.
IQGAP1,ENST00000268182,.,.,0.0023007832075518,0.0818196329699269,.
IQGAP3,ENST00000361170,.,.,0.0015817534144063,0.0818196329699269,.
KIAA0430,ENST00000396368,.,.,0.0018966062465912,0.0818196329699269,.
KLC2,ENST00000417856,.,.,0.0022864065330107,0.0818196329699269,.
