gene,transcript,protein_change,score,pvalue,qvalue,info
BRAF,ENST00000288602,.,.,1.2206908040766401e-14,5.98138493997552e-11,.
CTNNB1,ENST00000349496,.,.,2.7609207050499598e-12,6.7642557273724105e-09,.
SEC16A,ENST00000313050,.,.,4.71009715354713e-08,7.69315868412697e-05,.
LRRK2,ENST00000298910,.,.,4.1356035746258e-07,0.0004052891503133,.
TNKS1BP1,ENST00000532437,.,.,3.49214725445742e-07,0.0004052891503133,.
RBM14,ENST00000310137,.,.,6.35303043350431e-07,0.0005188308187361,.
BRCA2,ENST00000544455,.,.,1.02528955599357e-06,0.0007177026891955,.
EIF2AK3,ENST00000303236,.,.,1.31763404165515e-06,0.0008070508505137,.
TBK1,ENST00000331710,.,.,1.56178047216043e-06,0.0008503027015095,.
NES,ENST00000368223,.,.,3.01926108875528e-06,0.0013449435759,.
TMC5,ENST00000396229,.,.,2.95301944780181e-06,0.0013449435759,.
HRNR,ENST00000368801,.,.,3.43881216389661e-06,0.0014041816335911,.
GOT1,ENST00000370508,.,.,4.15220069857127e-06,0.0015650602633076,.
ZNF326,ENST00000340281,.,.,5.75381948962114e-06,0.0020138368213674,.
IDH1,ENST00000415913,.,.,6.71991736707803e-06,0.0021951730065788,.
APBA2,ENST00000558402,.,.,8.47150643697255e-06,0.0025943988463228,.
ABL1,ENST00000372348,.,.,9.07243457558825e-06,0.0026149958482577,.
CAD,ENST00000264705,.,.,1.46710122087732e-05,0.003423236182047,.
DOT1L,ENST00000398665,.,.,1.40818308274016e-05,0.003423236182047,.
FGD6,ENST00000343958,.,.,1.42294532992585e-05,0.003423236182047,.
POTEE,ENST00000356920,.,.,1.3755936374196e-05,0.003423236182047,.
NEB,ENST00000397345,.,.,1.61221088319022e-05,0.0034347101424487,.
TNS1,ENST00000171887,.,.,1.54768438106042e-05,0.0034347101424487,.
COPS6,ENST00000303904,.,.,2.01210489337131e-05,0.0039590964884204,.
DOCK2,ENST00000256935,.,.,2.01994718796959e-05,0.0039590964884204,.
TACC2,ENST00000369005,.,.,2.14512725971549e-05,0.0040427398356176,.
RET,ENST00000355710,.,.,2.57126954796757e-05,0.0046663780685337,.
KIDINS220,ENST00000256707,.,.,2.92042820099209e-05,0.0047501895113401,.
KNTC1,ENST00000333479,.,.,3.10216457883437e-05,0.0047501895113401,.
RBPJL,ENST00000343694,.,.,2.85967564087907e-05,0.0047501895113401,.
