gene,transcript,protein_change,score,pvalue,qvalue,info
SPEN,ENST00000375759,.,.,6.4345955676812105e-15,4.8368854882259695e-11,.
ERBB2IP,ENST00000506030,.,.,7.87444195047578e-10,1.97307267139088e-06,.
PLEC,ENST00000322810,.,.,7.09876421428654e-10,1.97307267139088e-06,.
ITGB4,ENST00000200181,.,.,1.1543120111589e-09,2.16924084697036e-06,.
MYH1,ENST00000226207,.,.,1.59580277848988e-09,2.39912989718169e-06,.
ERBB2,ENST00000269571,.,.,5.63962651427524e-09,7.0655120846345e-06,.
UTRN,ENST00000367545,.,.,7.77542081187539e-09,7.30597978035841e-06,.
WHSC1,ENST00000382895,.,.,7.75117242045183e-09,7.30597978035841e-06,.
ZNHIT6,ENST00000370574,.,.,2.26441681575542e-08,1.89129124489261e-05,.
ANAPC1,ENST00000341068,.,.,2.58722107279456e-08,1.94481408041967e-05,.
HECTD1,ENST00000399332,.,.,3.21101298528627e-08,2.19428951003608e-05,.
MYH7,ENST00000355349,.,.,5.90921269695301e-08,3.70162932024965e-05,.
MON2,ENST00000393632,.,.,6.96454119207476e-08,4.02711201083277e-05,.
AHNAK2,ENST00000333244,.,.,1.57429872175763e-07,8.45285963675151e-05,.
EGFR,ENST00000275493,.,.,1.7821736192654e-07,8.931066064012e-05,.
RANBP2,ENST00000283195,.,.,2.06169917443138e-07,9.5483379047648e-05,.
ZNF184,ENST00000211936,.,.,2.159395295743e-07,9.5483379047648e-05,.
ATP13A3,ENST00000439040,.,.,2.57663068160201e-07,0.0001076029601866,.
LRBA,ENST00000357115,.,.,2.83344957156095e-07,0.0001121002127864,.
PI4KA,ENST00000255882,.,.,4.44532393456381e-07,0.0001670775000805,.
ABCF1,ENST00000326195,.,.,6.2210033159055e-07,0.0002226822948841,.
KRT1,ENST00000252244,.,.,6.59227168415727e-07,0.0002252459374991,.
SRRM1,ENST00000323848,.,.,7.64334577515288e-07,0.0002498044790948,.
AHCTF1,ENST00000326225,.,.,8.48032975998001e-07,0.000265610995024,.
DHX9,ENST00000367549,.,.,9.5051681982739e-07,0.0002858013973857,.
RUFY3,ENST00000381006,.,.,9.94001735054432e-07,0.0002873811939386,.
PRMT3,ENST00000331079,.,.,1.12801882088618e-06,0.0003140487954296,.
MAP1B,ENST00000296755,.,.,1.17757710059086e-06,0.0003161373951836,.
HBS1L,ENST00000367837,.,.,1.38720657177498e-06,0.0003595735103459,.
MACF1,ENST00000545844,.,.,1.61072608317621e-06,0.0003905750957172,.
MYBBP1A,ENST00000381556,.,.,1.56398007513267e-06,0.0003905750957172,.
SLC2A3,ENST00000075120,.,.,1.78530706986692e-06,0.0004193797888809,.
ASPM,ENST00000367409,.,.,2.04016642621431e-06,0.0004647251826016,.
ZNF592,ENST00000560079,.,.,2.25406229085258e-06,0.0004983466541276,.
NAV1,ENST00000367296,.,.,2.43581661586707e-06,0.0005231438143277,.
BTNL8,ENST00000340184,.,.,2.90794813179566e-06,0.0005944989612216,.
NCAPD3,ENST00000534548,.,.,2.92622875684474e-06,0.0005944989612216,.
GRIN2B,ENST00000609686,.,.,3.19594884090377e-06,0.0006322091430808,.
MYO9B,ENST00000595618,.,.,3.29712606438792e-06,0.0006354999134872,.
KIAA1211,ENST00000504228,.,.,4.57413060786942e-06,0.000843543355311,.
STAT5B,ENST00000293328,.,.,4.60094154153982e-06,0.000843543355311,.
ERAP1,ENST00000296754,.,.,5.36562468590398e-06,0.0009166681991804,.
LRRK2,ENST00000298910,.,.,5.28944240206564e-06,0.0009166681991804,.
UBR5,ENST00000520539,.,.,5.13561485510459e-06,0.0009166681991804,.
TTN,ENST00000589042,.,.,6.43217548039795e-06,0.0010744591796922,.
PARP1,ENST00000366794,.,.,6.80904901239066e-06,0.0011126874223074,.
EIF4G2,ENST00000526148,.,.,6.97016270058038e-06,0.0011147811280907,.
DNAH7,ENST00000312428,.,.,7.72865337495104e-06,0.0011950264691563,.
IRS1,ENST00000305123,.,.,7.78984927346858e-06,0.0011950264691563,.
FKBP15,ENST00000238256,.,.,8.00880470405437e-06,0.0012040436992075,.
FRK,ENST00000606080,.,.,8.29366576283067e-06,0.0012224212850823,.
WAPAL,ENST00000298767,.,.,9.17866185119961e-06,0.001326846175682,.
ACIN1,ENST00000262710,.,.,1.09278852887924e-05,0.0014912461825183,.
FAF2,ENST00000261942,.,.,1.11094567275542e-05,0.0014912461825183,.
GFPT2,ENST00000253778,.,.,1.07850020505338e-05,0.0014912461825183,.
MIS18BP1,ENST00000310806,.,.,1.05864326912676e-05,0.0014912461825183,.
EPC2,ENST00000258484,.,.,1.21746014307474e-05,0.0016055522623671,.
WTAP,ENST00000358372,.,.,1.24108301114678e-05,0.0016084863784121,.
DHX38,ENST00000268482,.,.,1.40047257904084e-05,0.0016448988088515,.
FLT3,ENST00000241453,.,.,1.3964336958616e-05,0.0016448988088515,.
INPP1,ENST00000392329,.,.,1.2948344255062e-05,0.0016448988088515,.
PDCD6IP,ENST00000457054,.,.,1.34555952206922e-05,0.0016448988088515,.
TJP1,ENST00000346128,.,.,1.31894652887035e-05,0.0016448988088515,.
ZFC3H1,ENST00000378743,.,.,1.36870965961419e-05,0.0016448988088515,.
NUFIP2,ENST00000225388,.,.,1.47796702170654e-05,0.0017092120157181,.
GMIP,ENST00000203556,.,.,1.5318419733258e-05,0.0017446751687106,.
MYOM1,ENST00000356443,.,.,1.58567143762879e-05,0.0017674503126828,.
OSBPL10,ENST00000396556,.,.,1.59886419133213e-05,0.0017674503126828,.
COPB1,ENST00000249923,.,.,1.75283710591834e-05,0.0018989096245045,.
TLN2,ENST00000561311,.,.,1.7683074859029e-05,0.0018989096245045,.
PHRF1,ENST00000416188,.,.,1.88253380568669e-05,0.0019930995235699,.
AKAP12,ENST00000402676,.,.,1.94146167064186e-05,0.0020060680496336,.
MYO3B,ENST00000408978,.,.,1.97484416220425e-05,0.0020060680496336,.
STARD3NL,ENST00000009041,.,.,1.95815403005695e-05,0.0020060680496336,.
PCNXL2,ENST00000258229,.,.,2.02030555099085e-05,0.0020248849102397,.
SIPA1L1,ENST00000555818,.,.,2.05328377764944e-05,0.0020308597574461,.
SARNP,ENST00000336133,.,.,2.18435654612504e-05,0.0021051036099002,.
ZNF318,ENST00000361428,.,.,2.16557571016296e-05,0.0021051036099002,.
CHD5,ENST00000262450,.,.,2.24505402670003e-05,0.0021342474158818,.
ROBO1,ENST00000464233,.,.,2.27138211082273e-05,0.0021342474158818,.
CDR2L,ENST00000337231,.,.,2.34103630624452e-05,0.0021725394955605,.
RHOA,ENST00000418115,.,.,2.42343967902377e-05,0.0022215848862465,.
CENPT,ENST00000562787,.,.,2.7528448230761e-05,0.0024931487391642,.
EEF1A2,ENST00000217182,.,.,2.82646010085684e-05,0.0025293453069215,.
ATAD2B,ENST00000238789,.,.,3.06799676177285e-05,0.0027000602481013,.
MLKL,ENST00000308807,.,.,3.08906719883885e-05,0.0027000602481013,.
SIGLEC5,ENST00000570106,.,.,3.18026592830978e-05,0.0027478228716212,.
MKI67,ENST00000368654,.,.,3.44727213316766e-05,0.0029446755255706,.
NRBP1,ENST00000233557,.,.,3.6394581881613e-05,0.0030739109213942,.
GRIN2C,ENST00000293190,.,.,3.75447464898611e-05,0.0031013610919152,.
SLC29A2,ENST00000357440,.,.,3.74985054530944e-05,0.0031013610919152,.
PDE7A,ENST00000401827,.,.,3.85965691756861e-05,0.003153591418409,.
ATP7A,ENST00000341514,.,.,4.09239984882818e-05,0.0032507394420936,.
JAG1,ENST00000254958,.,.,4.11245221603256e-05,0.0032507394420936,.
NLGN4Y,ENST00000355905,.,.,4.15153633684963e-05,0.0032507394420936,.
POLQ,ENST00000264233,.,.,4.03704423166816e-05,0.0032507394420936,.
ACAP2,ENST00000326793,.,.,4.37128600113953e-05,0.0033875213268624,.
USP6NL,ENST00000609104,.,.,4.7948007993295e-05,0.0036778079192408,.
SCRIB,ENST00000356994,.,.,4.85666391897502e-05,0.0036876305736298,.
RIF1,ENST00000243326,.,.,4.9117308500923e-05,0.0036921480800143,.
BRAF,ENST00000288602,.,.,5.47285161816569e-05,0.0040369480344633,.
C3AR1,ENST00000307637,.,.,5.57511872655847e-05,0.0040369480344633,.
NOL8,ENST00000545558,.,.,5.58524139396282e-05,0.0040369480344633,.
PER1,ENST00000317276,.,.,5.54699324966564e-05,0.0040369480344633,.
SHANK3,ENST00000262795,.,.,5.72907500724899e-05,0.0041014720789991,.
TSC2,ENST00000219476,.,.,5.81249779577897e-05,0.0041219382953651,.
SCAF11,ENST00000369367,.,.,6.27860480084228e-05,0.0044108665689655,.
PDS5A,ENST00000303538,.,.,6.63082188036074e-05,0.0045728337683185,.
TNKS1BP1,ENST00000532437,.,.,6.61630185179024e-05,0.0045728337683185,.
RAB11B,ENST00000328024,.,.,7.40940555481648e-05,0.0050633183232323,.
BCL9,ENST00000234739,.,.,7.57710868920727e-05,0.0051312726141235,.
ZNF630,ENST00000409324,.,.,7.99865885489613e-05,0.0053683855903798,.
AKAP4,ENST00000358526,.,.,8.1570956811445e-05,0.0054262732951471,.
KIAA1429,ENST00000297591,.,.,8.31661309717208e-05,0.0054838579518809,.
KANSL1,ENST00000576739,.,.,8.98491053381761e-05,0.0058223769381643,.
SYNJ1,ENST00000433931,.,.,8.9371660053833e-05,0.0058223769381643,.
CEP170,ENST00000366542,.,.,9.36709266003105e-05,0.0060181568825173,.
CHD8,ENST00000399982,.,.,9.58666808594414e-05,0.0061070325425459,.
SMC1A,ENST00000322213,.,.,9.78591679217655e-05,0.0061815744980496,.
BLOC1S1,ENST00000548925,.,.,0.0001024481956474,0.0063217460266112,.
PRKCG,ENST00000263431,.,.,0.0001031769457612,0.0063217460266112,.
RAPH1,ENST00000319170,.,.,0.0001019959944648,0.0063217460266112,.
ZNF281,ENST00000294740,.,.,0.0001034421659269,0.0063217460266112,.
MAPK8IP3,ENST00000250894,.,.,0.0001071390318593,0.0063414496258803,.
MYO1A,ENST00000442789,.,.,0.0001069837806874,0.0063414496258803,.
NEU4,ENST00000325935,.,.,0.00010693501815,0.0063414496258803,.
ZZZ3,ENST00000370801,.,.,0.0001047921371774,0.0063414496258803,.
FLNB,ENST00000490882,.,.,0.0001127140948678,0.0066193113368855,.
RAP1B,ENST00000250559,.,.,0.000114656070667,0.0066811603349135,.
USP24,ENST00000294383,.,.,0.0001198729552825,0.0069314231143021,.
SMARCA2,ENST00000382203,.,.,0.0001212334129704,0.0069565768343439,.
CORO1B,ENST00000393893,.,.,0.0001334637187737,0.0076003543486563,.
TMOD1,ENST00000259365,.,.,0.0001373334200228,0.007761919686556,.
TARDBP,ENST00000240185,.,.,0.0001409736112549,0.0079081987746538,.
JUP,ENST00000393931,.,.,0.0001432947623231,0.00797886465469,.
FGG,ENST00000336098,.,.,0.0001444142875542,0.0079820749966588,.
CDK13,ENST00000181839,.,.,0.0001459797538474,0.0080097066399338,.
AHNAK,ENST00000378024,.,.,0.0001503239952902,0.008188300526062,.
AZI2,ENST00000479665,.,.,0.0001539762694827,0.0083269037244736,.
FAM83H,ENST00000388913,.,.,0.0001562910671072,0.0083917139388932,.
SPTBN2,ENST00000533211,.,.,0.0001581485641896,0.0084312252270474,.
ANK3,ENST00000503366,.,.,0.0001650360949325,0.008736452997239,.
PLEKHG3,ENST00000247226,.,.,0.0001707007478699,0.0089731295226488,.
TP53BP1,ENST00000382044,.,.,0.000172507520571,0.0090051321675876,.
GIGYF1,ENST00000275732,.,.,0.0001769433210444,0.0091729858226954,.
ATG16L1,ENST00000392017,.,.,0.000184173963697,0.0092295716226075,.
MIOS,ENST00000340080,.,.,0.0001815180854081,0.0092295716226075,.
SEC24D,ENST00000280551,.,.,0.0001840920552549,0.0092295716226075,.
SENP5,ENST00000323460,.,.,0.0001841739714501,0.0092295716226075,.
SLC4A2,ENST00000485713,.,.,0.0001812405342839,0.0092295716226075,.
SRRM2,ENST00000301740,.,.,0.0001854899716234,0.0092339610377073,.
PRKD3,ENST00000379066,.,.,0.000193652173064,0.0095768643744911,.
WDR62,ENST00000401500,.,.,0.0001959597171866,0.0096276417914531,.
TUBGCP6,ENST00000248846,.,.,0.0002044700203615,0.0099805269029737,.
DOCK11,ENST00000276202,.,.,0.0002075412481716,0.0100650810484257,.
CYP2E1,ENST00000463117,.,.,0.0002179094423662,0.0105001620401747,.
TLK2,ENST00000346027,.,.,0.0002193317664578,0.0105013814551818,.
ZNF585B,ENST00000532828,.,.,0.0002229883440248,0.0106088821647764,.
DSG1,ENST00000257192,.,.,0.0002246400405868,0.0106179328322209,.
KCNH7,ENST00000332142,.,.,0.0002260036255361,0.0106179328322209,.
RNF25,ENST00000295704,.,.,0.0002288478526148,0.0106847783112175,.
NCBP1,ENST00000375147,.,.,0.0002322242667768,0.0107754926750737,.
KIAA2018,ENST00000316407,.,.,0.0002350911218463,0.0108415948645344,.
MDC1,ENST00000376406,.,.,0.0002498974213333,0.0114541397327008,.
BCR,ENST00000305877,.,.,0.0002541483017858,0.0115432995221693,.
CDYL,ENST00000397588,.,.,0.0002564495171214,0.0115432995221693,.
PUSL1,ENST00000379031,.,.,0.0002554841324707,0.0115432995221693,.
DCAF15,ENST00000254337,.,.,0.0002794936158984,0.0124995996289024,.
TRPV4,ENST00000418703,.,.,0.0002810206647977,0.0124995996289024,.
PFAS,ENST00000314666,.,.,0.0002843944219229,0.0125752521740882,.
PCDHB12,ENST00000239450,.,.,0.0002874935415103,0.0125777562472129,.
SFRP4,ENST00000436072,.,.,0.0002877975355222,0.0125777562472129,.
HIVEP2,ENST00000367603,.,.,0.0002920537510914,0.0126899887107195,.
TUBA3E,ENST00000312988,.,.,0.0002943214872302,0.0127150265489076,.
BCCIP,ENST00000368759,.,.,0.0002970304278194,0.0127587298623939,.
GAPVD1,ENST00000394105,.,.,0.0003174608001413,0.0135588229242196,.
INF2,ENST00000392634,.,.,0.0003212387839371,0.013566022128401,.
TAF3,ENST00000344293,.,.,0.0003195611104244,0.013566022128401,.
DDI2,ENST00000480945,.,.,0.0003246489637585,0.0136334427964975,.
EEF1A1,ENST00000316292,.,.,0.0003406917528218,0.0142112349844655,.
PLA2G4A,ENST00000367466,.,.,0.0003440793890079,0.0142112349844655,.
TOX,ENST00000361421,.,.,0.0003430648279534,0.0142112349844655,.
PPFIA1,ENST00000253925,.,.,0.0003548527308728,0.0145761091692397,.
NES,ENST00000368223,.,.,0.0003657697194012,0.014942885764887,.
YWHAZ,ENST00000395957,.,.,0.0003698224805641,0.0150267869535182,.
MUC16,ENST00000397910,.,.,0.0003770348043033,0.0152374764728387,.
MICAL3,ENST00000441493,.,.,0.0003821158743732,0.015360240789644,.
WBP11,ENST00000261167,.,.,0.0003865623188949,0.0154563242081545,.
MAP7D1,ENST00000373151,.,.,0.0003980874741156,0.015685076219812,.
RIPK1,ENST00000259808,.,.,0.0003947195550493,0.015685076219812,.
SPTB,ENST00000389722,.,.,0.0003985432430469,0.015685076219812,.
GFI1,ENST00000370332,.,.,0.000405420938932,0.0157904107610217,.
IL1A,ENST00000263339,.,.,0.0004054209494315,0.0157904107610217,.
