gene,transcript,protein_change,score,pvalue,qvalue,info
SCRIB,ENST00000356994,.,.,7.108536086624371e-09,3.26708318541256e-05,.
TNKS1BP1,ENST00000532437,.,.,1.44041509249527e-08,3.31007388255413e-05,.
SNAPC4,ENST00000298532,.,.,1.36998955515908e-07,0.0002098823998503,.
ARHGAP23,ENST00000431231,.,.,4.3193585684271e-07,0.0004962942995122,.
BIRC6,ENST00000421745,.,.,2.76631159241219e-06,0.0016610279919552,.
CENPE,ENST00000265148,.,.,2.89125847163655e-06,0.0016610279919552,.
MYBPC3,ENST00000545968,.,.,2.84340547490546e-06,0.0016610279919552,.
SMC3,ENST00000361804,.,.,1.9814170295071e-06,0.0016610279919552,.
ZNF638,ENST00000409544,.,.,3.40166450384076e-06,0.0017371166732946,.
AP2B1,ENST00000312678,.,.,3.85272990512568e-06,0.0017707146643957,.
FERMT1,ENST00000217289,.,.,5.43905083171505e-06,0.001922913663274,.
HSPA1L,ENST00000375654,.,.,5.07520486054897e-06,0.001922913663274,.
IQSEC1,ENST00000273221,.,.,4.80439865608671e-06,0.001922913663274,.
MLLT4,ENST00000507704,.,.,5.87019251428401e-06,0.0019271003425463,.
PCM1,ENST00000325083,.,.,7.54727707882331e-06,0.0023124856969514,.
AHNAK2,ENST00000333244,.,.,9.9799142316943e-06,0.0028083405905177,.
INPPL1,ENST00000298229,.,.,1.03876827760665e-05,0.0028083405905177,.
EIF2B1,ENST00000424014,.,.,1.27842044672345e-05,0.0030924317753373,.
ZNF184,ENST00000211936,.,.,1.26712337973484e-05,0.0030924317753373,.
SPIRE2,ENST00000378247,.,.,1.43648167546617e-05,0.0033010348902212,.
RIF1,ENST00000243326,.,.,1.62990686744351e-05,0.0035671676013192,.
OSBPL3,ENST00000313367,.,.,2.0080104913331e-05,0.0041949164628031,.
MYPN,ENST00000358913,.,.,2.46330294771461e-05,0.0049223218903027,.
MECP2,ENST00000453960,.,.,3.19770130221451e-05,0.0056525519942222,.
PCNXL3,ENST00000355703,.,.,3.17599339017441e-05,0.0056525519942222,.
USP34,ENST00000398571,.,.,3.06768147692843e-05,0.0056525519942222,.
CEACAM3,ENST00000357396,.,.,3.40074910503782e-05,0.0057888306987977,.
DDX20,ENST00000369702,.,.,4.16457155306588e-05,0.006835846734961,.
MEPCE,ENST00000310512,.,.,4.38375960997476e-05,0.0069475031611875,.
NHSL2,ENST00000540800,.,.,5.36530549234703e-05,0.0079963149941555,.
RAI1,ENST00000353383,.,.,5.39351098387342e-05,0.0079963149941555,.
PRRC2A,ENST00000376033,.,.,5.61649791486876e-05,0.0080666951302302,.
ANAPC2,ENST00000323927,.,.,5.91971769171305e-05,0.0082445522760949,.
ASXL2,ENST00000435504,.,.,7.16667442957743e-05,0.009063931105652,.
CABLES1,ENST00000256925,.,.,7.40611644769814e-05,0.009063931105652,.
CDK12,ENST00000447079,.,.,6.95707048871708e-05,0.009063931105652,.
LRRK2,ENST00000298910,.,.,6.87246720401366e-05,0.009063931105652,.
TACC2,ENST00000369005,.,.,7.49411188021707e-05,0.009063931105652,.
TRIP13,ENST00000166345,.,.,9.21083514956753e-05,0.010854614960875,.
ZNF318,ENST00000361428,.,.,9.9739400541708e-05,0.0114600571222423,.
FUS,ENST00000254108,.,.,0.0001087057470821,0.0118955146092778,.
MAP4K5,ENST00000013125,.,.,0.0001066473959809,0.0118955146092778,.
LRRC7,ENST00000370958,.,.,0.000118515152407,0.012667340475882,.
PROX1,ENST00000366958,.,.,0.0001234845624057,0.0128985238367487,.
COBL,ENST00000265136,.,.,0.000127591815022,0.0130313773742485,.
CUX1,ENST00000437600,.,.,0.0001468046173666,0.0146676961177646,.
ZFC3H1,ENST00000378743,.,.,0.000176908406598,0.0172993837601006,.
EIF4B,ENST00000262056,.,.,0.0002021342825673,0.0193543575558239,.
KCNJ11,ENST00000339994,.,.,0.0002133089503032,0.0196073587118754,.
PI3,ENST00000243924,.,.,0.0002103887721603,0.0196073587118754,.
NOS2,ENST00000313735,.,.,0.0002188676009576,0.0197238332157103,.
SAP130,ENST00000357702,.,.,0.0002442220582464,0.0215854726865496,.
IRF2,ENST00000393593,.,.,0.0002540460861325,0.022030109657834,.
USP36,ENST00000542802,.,.,0.0002588921360135,0.0220345973540436,.
PLCL1,ENST00000428675,.,.,0.0002697508513535,0.0222045249741511,.
UNC45A,ENST00000418476,.,.,0.0002705512181358,0.0222045249741511,.
MAP4,ENST00000360240,.,.,0.0002890746865144,0.0233085484073742,.
CWC25,ENST00000225428,.,.,0.0003145481312351,0.0245027662907915,.
ZC3H18,ENST00000301011,.,.,0.0003144655828116,0.0245027662907915,.
MPHOSPH10,ENST00000244230,.,.,0.0003297912432819,0.0252620092353994,.
ZNF224,ENST00000336976,.,.,0.0003483796651132,0.0262484088665637,.
ARID2,ENST00000334344,.,.,0.0003573013049814,0.0264679861393259,.
DAPK1,ENST00000408954,.,.,0.0003628118204476,0.0264679861393259,.
HRC,ENST00000252825,.,.,0.0003901752741899,0.0280194618777675,.
PIK3R1,ENST00000521381,.,.,0.0004155456691044,0.0293822753108288,.
UTP3,ENST00000254803,.,.,0.0004373642100612,0.0304564531733584,.
EPHA5,ENST00000273854,.,.,0.0004955818945136,0.0316346442664526,.
HTATSF1,ENST00000535601,.,.,0.0004883333211997,0.0316346442664526,.
MEF2D,ENST00000348159,.,.,0.000477731765846,0.0316346442664526,.
SLC25A35,ENST00000380067,.,.,0.0004918753190442,0.0316346442664526,.
SPEG,ENST00000312358,.,.,0.0004643269650949,0.0316346442664526,.
THRAP3,ENST00000354618,.,.,0.0004783066084574,0.0316346442664526,.
TUBB3,ENST00000315491,.,.,0.0005043623997697,0.0317541039635828,.
