gene,transcript,protein_change,score,pvalue,qvalue,info
MDN1,ENST00000369393,.,.,2.19160542289356e-09,1.01537079242658e-05,.
EP400,ENST00000389561,.,.,6.557215736491511e-09,1.51897902535826e-05,.
EP300,ENST00000263253,.,.,4.30666145495242e-08,6.65092084026485e-05,.
EHBP1L1,ENST00000309295,.,.,1.22630580489365e-06,0.000811639256296,.
SPECC1L,ENST00000314328,.,.,9.66847714874924e-07,0.000811639256296,.
STAM,ENST00000377524,.,.,1.0905134714452e-06,0.000811639256296,.
XPO1,ENST00000401558,.,.,1.04154953537873e-06,0.000811639256296,.
PAK7,ENST00000378429,.,.,1.79599813960993e-06,0.0010401074226016,.
DAG1,ENST00000545947,.,.,2.84508899068608e-06,0.001098441441154,.
FASTKD3,ENST00000264669,.,.,2.65260948637145e-06,0.001098441441154,.
MAP1B,ENST00000296755,.,.,2.28929343062022e-06,0.001098441441154,.
SRSF6,ENST00000244020,.,.,2.37929254813793e-06,0.001098441441154,.
ANK2,ENST00000506722,.,.,3.92423465508197e-06,0.0013021740969264,.
MAP1A,ENST00000300231,.,.,4.35740726787766e-06,0.0013021740969264,.
PPP1R10,ENST00000376511,.,.,4.03553366646599e-06,0.0013021740969264,.
SMC6,ENST00000448223,.,.,4.4970398339788e-06,0.0013021740969264,.
LMAN2,ENST00000303127,.,.,6.32530723859303e-06,0.0016280638020223,.
ZNF574,ENST00000600245,.,.,6.2847337103486e-06,0.0016280638020223,.
ESPL1,ENST00000257934,.,.,8.81574699446584e-06,0.002042167791268,.
LAMP1,ENST00000332556,.,.,8.65051866546265e-06,0.002042167791268,.
ASAP2,ENST00000281419,.,.,1.24066355494287e-05,0.0027371401190715,.
RBM15B,ENST00000323686,.,.,1.37300700438877e-05,0.0028914279324241,.
AFF3,ENST00000356421,.,.,1.61171991600436e-05,0.0031112909878534,.
UBR5,ENST00000520539,.,.,1.56975620492521e-05,0.0031112909878534,.
ASGR1,ENST00000269299,.,.,1.88821713204529e-05,0.0034992439891063,.
KCND3,ENST00000315987,.,.,2.07451626644239e-05,0.0035597162453435,.
TRIM28,ENST00000253024,.,.,2.00574388957751e-05,0.0035597162453435,.
KIAA0907,ENST00000368321,.,.,2.58710016650442e-05,0.0041331155418672,.
ZNF609,ENST00000326648,.,.,2.58334898212049e-05,0.0041331155418672,.
SMC3,ENST00000361804,.,.,2.92238055701701e-05,0.0045131297068865,.
BRPF3,ENST00000357641,.,.,3.74092356153231e-05,0.0055908706001868,.
CHGA,ENST00000216492,.,.,4.08426287667053e-05,0.0057555115529146,.
SEC24A,ENST00000398844,.,.,4.09954416676415e-05,0.0057555115529146,.
ACTN2,ENST00000366578,.,.,4.45572249176133e-05,0.0060715771483324,.
RBM15,ENST00000369784,.,.,4.83989089816202e-05,0.0064066327231956,.
MICAL3,ENST00000441493,.,.,6.42283049078033e-05,0.0082658260177181,.
BRD1,ENST00000216267,.,.,6.71286133406933e-05,0.008405590962363,.
JAG1,ENST00000254958,.,.,7.42029911854655e-05,0.0086848150509152,.
SENP3,ENST00000429205,.,.,7.47007866469739e-05,0.0086848150509152,.
SHROOM1,ENST00000378679,.,.,7.49822149873965e-05,0.0086848150509152,.
PRDM14,ENST00000276594,.,.,7.71026731475565e-05,0.0087126020656738,.
PWWP2B,ENST00000305233,.,.,9.40159283087007e-05,0.0103708522822431,.
BRAF,ENST00000288602,.,.,0.0001052362313727,0.0113385920918594,.
SCAF1,ENST00000360565,.,.,0.0001126998933387,0.011866786496332,.
ANXA4,ENST00000394295,.,.,0.0001336483490659,0.0132765693785153,.
SNAPC4,ENST00000298532,.,.,0.0001346856811548,0.0132765693785153,.
SNX16,ENST00000396330,.,.,0.0001291433438229,0.0132765693785153,.
RAPH1,ENST00000319170,.,.,0.0001435403884831,0.0138546379133795,.
MYBBP1A,ENST00000381556,.,.,0.0001483606313756,0.0140276490849639,.
FAT1,ENST00000441802,.,.,0.0001561423933326,0.0142060456219273,.
MLLT4,ENST00000507704,.,.,0.0001607708063155,0.0142060456219273,.
TSC22D3,ENST00000372383,.,.,0.0001625125011789,0.0142060456219273,.
UBA5,ENST00000356232,.,.,0.0001576863062814,0.0142060456219273,.
TAF8,ENST00000372977,.,.,0.0001739955424306,0.0149281731126143,.
CUL3,ENST00000264414,.,.,0.0001801591999019,0.0151759558753752,.
METTL3,ENST00000298717,.,.,0.0001871780734655,0.0152615774150506,.
PFAS,ENST00000314666,.,.,0.0001877638490519,0.0152615774150506,.
FAM60A,ENST00000337682,.,.,0.0001999481463893,0.015374865804291,.
FLNB,ENST00000490882,.,.,0.0002024318614422,0.015374865804291,.
LMX1A,ENST00000342310,.,.,0.0001944754478775,0.015374865804291,.
TOMM40,ENST00000426677,.,.,0.0001985894552888,0.015374865804291,.
C2CD3,ENST00000313663,.,.,0.0002078609429613,0.0155325765925784,.
CUX1,ENST00000437600,.,.,0.0002139871570735,0.0157365475987594,.
CEBPZ,ENST00000234170,.,.,0.0002407233307021,0.017408726020945,.
MYO1E,ENST00000288235,.,.,0.0002478511925571,0.017408726020945,.
PCNXL3,ENST00000355703,.,.,0.0002479982554246,0.017408726020945,.
RANBP2,ENST00000283195,.,.,0.0002669076273356,0.0184564632454621,.
NIT2,ENST00000394140,.,.,0.0002737205366496,0.0186492242102594,.
BIRC6,ENST00000421745,.,.,0.0002789414325649,0.018708488465496,.
PHF12,ENST00000332830,.,.,0.0002826665643394,0.018708488465496,.
ATP6V1A,ENST00000273398,.,.,0.0003017550096818,0.0195761890969739,.
ZCCHC6,ENST00000375963,.,.,0.0003042274152778,0.0195761890969739,.
GTPBP4,ENST00000360803,.,.,0.000330578505537,0.020235505039106,.
LARP1,ENST00000336314,.,.,0.0003268648357581,0.020235505039106,.
PLCG2,ENST00000359376,.,.,0.0003319443952022,0.020235505039106,.
RP2,ENST00000218340,.,.,0.0003249307160221,0.020235505039106,.
PTEN,ENST00000371953,.,.,0.0003490404963221,0.0210013586942948,.
LRRC16A,ENST00000329474,.,.,0.0003612056626249,0.0214546901915571,.
ACTB,ENST00000331789,.,.,0.0003865184800559,0.0221991095224403,.
CDC5L,ENST00000371477,.,.,0.0004037543913089,0.0221991095224403,.
LEMD3,ENST00000308330,.,.,0.0004120706710403,0.0221991095224403,.
