gene,transcript,protein_change,score,pvalue,qvalue,info
IDH1,ENST00000415913,.,.,3.19800343586378e-13,3.92714821924072e-10,.
TAS2R3,ENST00000247879,.,.,5.399234400584651e-09,3.31512992195898e-06,.
FLT3,ENST00000241453,.,.,1.44033634399955e-07,5.89577676810481e-05,.
UBR5,ENST00000520539,.,.,3.70595688386332e-06,0.001137728763346,.
KIT,ENST00000288135,.,.,8.36883616558724e-05,0.0171282180189019,.
SPEN,ENST00000375759,.,.,7.62456768854073e-05,0.0171282180189019,.
CREBBP,ENST00000262367,.,.,0.0002295473323329,0.0352355155131088,.
PTPN11,ENST00000351677,.,.,0.000217804123541,0.0352355155131088,.
MEPCE,ENST00000310512,.,.,0.0002735244654006,0.0373208937235545,.
DAB2,ENST00000320816,.,.,0.0003192480841752,0.0392036647367176,.
AHNAK2,ENST00000333244,.,.,0.000402837569761,0.0438212801987187,.
ASS1,ENST00000372394,.,.,0.0005397974890619,0.0438212801987187,.
EPB41,ENST00000343067,.,.,0.0004888009390607,0.0438212801987187,.
PAN3,ENST00000380958,.,.,0.0004435399454136,0.0438212801987187,.
SCML2,ENST00000251900,.,.,0.0006066463871158,0.0438212801987187,.
TNKS1BP1,ENST00000532437,.,.,0.0005936829371257,0.0438212801987187,.
TTK,ENST00000369798,.,.,0.0005069268382894,0.0438212801987187,.
SLC25A31,ENST00000281154,.,.,0.0006733198154805,0.0459353740783375,.
MLLT4,ENST00000507704,.,.,0.0007788817437193,0.0503403569098609,.
CIC,ENST00000575354,.,.,0.0009825559625237,0.0599112828340808,.
NCL,ENST00000322723,.,.,0.0010347122890204,0.0599112828340808,.
SRSF2,ENST00000392485,.,.,0.0010733291712946,0.0599112828340808,.
LEPR,ENST00000349533,.,.,0.0011962338774761,0.0638684870235091,.
FILIP1,ENST00000237172,.,.,0.0013315220547965,0.0681295451370886,.
GRIN2B,ENST00000609686,.,.,0.0015672733729751,0.0769844680805376,.
EEA1,ENST00000322349,.,.,0.001690166773813,0.079827876855478,.
NUP93,ENST00000308159,.,.,0.0019269476257801,0.0876404327577064,.
CARD6,ENST00000254691,.,.,0.0021306620489095,0.0905678670835954,.
CDK13,ENST00000181839,.,.,0.0022125700427588,0.0905678670835954,.
SIPA1L2,ENST00000366630,.,.,0.0021453071960346,0.0905678670835954,.
DNM1L,ENST00000549701,.,.,0.0023350170420055,0.0924968041155726,.
LRFN2,ENST00000338305,.,.,0.0025950270220664,0.0995841619717994,.
PCM1,ENST00000325083,.,.,0.0027478099891063,0.102251838382501,.
MRE11A,ENST00000323929,.,.,0.0029585498582429,0.103802835026351,.
VIL1,ENST00000248444,.,.,0.0029507380187857,0.103802835026351,.
ZFYVE16,ENST00000338008,.,.,0.0030471865127109,0.103942917711362,.
PHF3,ENST00000262043,.,.,0.0031721474105757,0.105281000545594,.
CYTH4,ENST00000248901,.,.,0.0033716665927246,0.108958067785943,.
MBD2,ENST00000256429,.,.,0.0034621084041429,0.109012028725322,.
ACOXL,ENST00000439055,.,.,0.0037637791129632,0.111148728299592,.
ADNP,ENST00000396029,.,.,0.0037637791092105,0.111148728299592,.
LZTS2,ENST00000370220,.,.,0.0038015037366309,0.111148728299592,.
DNMT3B,ENST00000328111,.,.,0.0041599978939744,0.118801800320945,.
CAPN13,ENST00000295055,.,.,0.004375816723681,0.120326099762117,.
CD74,ENST00000009530,.,.,0.0044605985537074,0.120326099762117,.
MS4A1,ENST00000534668,.,.,0.0045938631788861,0.120326099762117,.
ZNF460,ENST00000360338,.,.,0.0046053148931754,0.120326099762117,.
CAMK2B,ENST00000395749,.,.,0.0052551811223108,0.123434184860267,.
GOLGA1,ENST00000373555,.,.,0.0054886495173904,0.123434184860267,.
ITPR3,ENST00000374316,.,.,0.0056049506850743,0.123434184860267,.
KCND3,ENST00000315987,.,.,0.0056037002355382,0.123434184860267,.
METTL14,ENST00000388822,.,.,0.0050166371716014,0.123434184860267,.
POTEE,ENST00000356920,.,.,0.0056289204822271,0.123434184860267,.
PPP2R5E,ENST00000337537,.,.,0.005063219392514,0.123434184860267,.
RIF1,ENST00000243326,.,.,0.005036309945476,0.123434184860267,.
SHC1,ENST00000448116,.,.,0.0055211794361358,0.123434184860267,.
AR,ENST00000374690,.,.,0.0059982775183614,0.127369341614489,.
ENOX1,ENST00000261488,.,.,0.0063900697849303,0.127369341614489,.
MYH1,ENST00000226207,.,.,0.0063356174828187,0.127369341614489,.
RAP1B,ENST00000250559,.,.,0.006381462566617,0.127369341614489,.
UBR4,ENST00000375254,.,.,0.0064306996580605,0.127369341614489,.
WDR88,ENST00000355868,.,.,0.006372877705811,0.127369341614489,.
ADAMTS16,ENST00000274181,.,.,0.0073467352599649,0.139455010726021,.
CAMK4,ENST00000282356,.,.,0.007425528500419,0.139455010726021,.
MAP3K9,ENST00000555993,.,.,0.007495139012962,0.139455010726021,.
RBM15,ENST00000369784,.,.,0.0074688887322884,0.139455010726021,.
COX6B1,ENST00000246554,.,.,0.0080465213650923,0.140340187658924,.
HNRNPM,ENST00000325495,.,.,0.0080375882752326,0.140340187658924,.
PIWIL4,ENST00000299001,.,.,0.0081141313711592,0.140340187658924,.
SETD2,ENST00000409792,.,.,0.007696763107889,0.140340187658924,.
SGK223,ENST00000520004,.,.,0.0081136004034547,0.140340187658924,.
POLRMT,ENST00000588649,.,.,0.0093119890435068,0.157835271586999,.
XRCC1,ENST00000262887,.,.,0.0093827156562303,0.157835271586999,.
PDS5B,ENST00000315596,.,.,0.009671179723283,0.159233457057517,.
SIRT1,ENST00000212015,.,.,0.0097251704228939,0.159233457057517,.
UBA1,ENST00000335972,.,.,0.0099833714165641,0.161310264467641,.
CPNE3,ENST00000521271,.,.,0.0102932571526176,0.164157399784603,.
MTOR,ENST00000361445,.,.,0.0105620577077191,0.166284703398449,.
FCAMR,ENST00000324852,.,.,0.0107360880248876,0.166885013855215,.
IQCG,ENST00000265239,.,.,0.0113300395324241,0.171768994392799,.
TAF8,ENST00000372977,.,.,0.011256460163579,0.171768994392799,.
CNOT3,ENST00000406403,.,.,0.0119878302292026,0.175250660969771,.
NCOA3,ENST00000371998,.,.,0.0117202562219687,0.175250660969771,.
SETDB1,ENST00000271640,.,.,0.011935414558189,0.175250660969771,.
BAIAP2,ENST00000321300,.,.,0.0125423835274298,0.177035022663031,.
EIF3L,ENST00000412331,.,.,0.0124770248590982,0.177035022663031,.
RFX4,ENST00000357881,.,.,0.0124892244270611,0.177035022663031,.
AQP5,ENST00000293599,.,.,0.0127089961382183,0.17734826429241,.
RPS12,ENST00000230050,.,.,0.01317553556395,0.181792782837423,.
CSTF2,ENST00000372972,.,.,0.0136022596729416,0.185595276426358,.
MAP4,ENST00000360240,.,.,0.0146720439954338,0.197991978312007,.
MRTO4,ENST00000330263,.,.,0.0154210664153209,0.20583771258711,.
CDT1,ENST00000301019,.,.,0.0160771704534811,0.210029418264625,.
MAGEC2,ENST00000247452,.,.,0.0160002812633968,0.210029418264625,.
ZBTB20,ENST00000474710,.,.,0.0174093741045785,0.225039067372868,.
KRT35,ENST00000393989,.,.,0.0176664559483639,0.225983415672821,.
RPL6,ENST00000424576,.,.,0.0205796499009485,0.257875613044539,.
TWISTNB,ENST00000222567,.,.,0.0203758595312935,0.257875613044539,.
