gene,transcript,protein_change,score,pvalue,qvalue,info
CTNNB1,ENST00000349496,.,.,7.539841623537819e-92,4.3949736823602e-88,.
EEF1A1,ENST00000316292,.,.,1.6388261918575001e-22,4.77635893616868e-19,.
RANBP2,ENST00000283195,.,.,2.0880582439525498e-11,4.0570971679998e-08,.
MYH1,ENST00000226207,.,.,2.34877232109436e-08,3.42274846491476e-05,.
AP1G1,ENST00000393512,.,.,2.85092157890306e-07,0.0003170818564544,.
FLNA,ENST00000369850,.,.,3.38763805954909e-07,0.0003170818564544,.
MYH6,ENST00000405093,.,.,3.90324774658471e-07,0.0003170818564544,.
TNS3,ENST00000398879,.,.,4.69311732407288e-07,0.0003170818564544,.
TUBGCP6,ENST00000248846,.,.,4.89575691900794e-07,0.0003170818564544,.
ERBB2IP,ENST00000506030,.,.,6.75111067161886e-07,0.0003935222410486,.
NUP214,ENST00000359428,.,.,1.27310044644496e-06,0.0006674135876733,.
TMEM2,ENST00000377044,.,.,1.37398576978552e-06,0.0006674135876733,.
WAPAL,ENST00000298767,.,.,1.63718341285159e-06,0.0007340878548855,.
CDK13,ENST00000181839,.,.,2.30655911055133e-06,0.0009603523611002,.
AHNAK,ENST00000378024,.,.,2.61408793126264e-06,0.0010158345700886,.
ARHGEF5,ENST00000056217,.,.,3.22903438960301e-06,0.0010456689698331,.
HNRNPUL2,ENST00000301785,.,.,3.05637500411603e-06,0.0010456689698331,.
KIF20B,ENST00000260753,.,.,2.91846894078075e-06,0.0010456689698331,.
SF3A3,ENST00000373019,.,.,4.15201784731847e-06,0.0012737953701062,.
EIF3B,ENST00000360876,.,.,4.47275213106339e-06,0.0013035836085984,.
CRAMP1L,ENST00000397412,.,.,4.81509176752359e-06,0.001336531900614,.
AKAP4,ENST00000358526,.,.,6.06796689312079e-06,0.0015361778575386,.
PPP1R12B,ENST00000608999,.,.,6.32497316536757e-06,0.0015361778575386,.
WEE1,ENST00000450114,.,.,5.99878172092814e-06,0.0015361778575386,.
MRPS15,ENST00000373116,.,.,6.70496518400409e-06,0.0015633296823023,.
AHCTF1,ENST00000326225,.,.,7.03384575814797e-06,0.0015769341124709,.
ASXL2,ENST00000435504,.,.,9.12978939556852e-06,0.0019710200883988,.
ILF3,ENST00000449870,.,.,1.00157452027081e-05,0.0020850635280923,.
MYBPC3,ENST00000545968,.,.,1.05279608106014e-05,0.0021161201229308,.
IDH1,ENST00000415913,.,.,1.19219109545118e-05,0.0022417038372209,.
RBMXL3,ENST00000424776,.,.,1.19050320103007e-05,0.0022417038372209,.
CDR2L,ENST00000337231,.,.,1.3580174426013e-05,0.0024737136477884,.
DNAH7,ENST00000312428,.,.,1.48066562323809e-05,0.0024900636172588,.
ITPRIPL1,ENST00000361124,.,.,1.4782545060382e-05,0.0024900636172588,.
MYH11,ENST00000396324,.,.,1.49514885235993e-05,0.0024900636172588,.
KCNB2,ENST00000523207,.,.,1.57404161984087e-05,0.0025486357227923,.
UBA1,ENST00000335972,.,.,1.72670087410993e-05,0.002720253890591,.
SRCAP,ENST00000262518,.,.,1.84054485209397e-05,0.0028232989323304,.
BRCA2,ENST00000544455,.,.,2.01553467063775e-05,0.0030124491269608,.
ANK2,ENST00000506722,.,.,2.09896680413799e-05,0.00305871937533,.
SH2B1,ENST00000322610,.,.,2.51751386737334e-05,0.0035791678860778,.
RCOR1,ENST00000262241,.,.,2.65348765843861e-05,0.0036826618002473,.
VAV3,ENST00000370056,.,.,2.81233819360725e-05,0.0038123533326829,.
ASPM,ENST00000367409,.,.,2.94559398718246e-05,0.0039022425798378,.
RPS6KA5,ENST00000261991,.,.,3.05425591552857e-05,0.0039562794959146,.
TNS1,ENST00000171887,.,.,3.18798099069326e-05,0.004039726346685,.
HUWE1,ENST00000342160,.,.,3.79112186642229e-05,0.0045751977270589,.
SRRM2,ENST00000301740,.,.,3.80354120980762e-05,0.0045751977270589,.
PHF20,ENST00000374012,.,.,4.29085041018547e-05,0.0050022734081942,.
NCAPD3,ENST00000534548,.,.,4.52573563947633e-05,0.0051726496161779,.
ERCC6L,ENST00000334463,.,.,4.74978814458199e-05,0.005324329825917,.
MYO6,ENST00000369977,.,.,5.23139363534234e-05,0.0057535459434736,.
KRT1,ENST00000252244,.,.,5.71768167785977e-05,0.0061719197222675,.
SLAMF1,ENST00000302035,.,.,5.91715987715651e-05,0.0062711136225355,.
FGD6,ENST00000343958,.,.,6.06069227399885e-05,0.0063085312973463,.
TTC28,ENST00000397906,.,.,6.46654570544862e-05,0.0066128938450982,.
BRIX1,ENST00000336767,.,.,6.70333608457523e-05,0.0067368527649981,.
BRPF1,ENST00000383829,.,.,7.04411186225796e-05,0.0069593437364579,.
MICAL3,ENST00000441493,.,.,7.36618289490533e-05,0.0070389311630169,.
RECQL,ENST00000444129,.,.,7.31605108463108e-05,0.0070389311630169,.
MMRN1,ENST00000394980,.,.,8.19076602758805e-05,0.0077006411572275,.
PTPN11,ENST00000351677,.,.,9.04123683406328e-05,0.0083652967469452,.
LARP1B,ENST00000354456,.,.,9.99751553244584e-05,0.0086909534877117,.
LCK,ENST00000336890,.,.,0.0001009670767251,0.0086909534877117,.
RALGAPA2,ENST00000202677,.,.,9.55323337059436e-05,0.0086909534877117,.
SMARCA5,ENST00000283131,.,.,9.71687313845964e-05,0.0086909534877117,.
SPOP,ENST00000393331,.,.,0.0001013870024299,0.0086909534877117,.
ATXN2,ENST00000377617,.,.,0.0001110307428451,0.0089889397665578,.
ELL2,ENST00000237853,.,.,0.0001069350242598,0.0089889397665578,.
LMO7,ENST00000465261,.,.,0.0001097551811171,0.0089889397665578,.
SH3BP5L,ENST00000366472,.,.,0.0001125737867487,0.0089889397665578,.
TUBA3C,ENST00000400113,.,.,0.0001112684082211,0.0089889397665578,.
DDX59,ENST00000331314,.,.,0.0001155452474993,0.0091015303739687,.
RPL7A,ENST00000323345,.,.,0.0001192058409671,0.0092646779599639,.
CAPZB,ENST00000375142,.,.,0.0001327289623891,0.0100622823339586,.
DDX46,ENST00000354283,.,.,0.0001329208680245,0.0100622823339586,.
PER2,ENST00000254657,.,.,0.0001500763018547,0.0110923391360166,.
TPX2,ENST00000300403,.,.,0.000150333640718,0.0110923391360166,.
RPS6KA1,ENST00000531382,.,.,0.0001578124944434,0.0114986128763851,.
HIST1H1B,ENST00000331442,.,.,0.0001657836582839,0.0118128873069175,.
PHF12,ENST00000332830,.,.,0.0001682054634541,0.0118128873069175,.
RNF19A,ENST00000519449,.,.,0.0001675601878296,0.0118128873069175,.
RECQL4,ENST00000428558,.,.,0.0001721492746631,0.0119459300239482,.
BMP2K,ENST00000335016,.,.,0.0001802117317635,0.0121328702778555,.
CTTN,ENST00000376561,.,.,0.0001777777840209,0.0121328702778555,.
SIPA1L3,ENST00000222345,.,.,0.0001810876160873,0.0121328702778555,.
RAP1A,ENST00000369709,.,.,0.0001841739562936,0.0121994317185893,.
TNKS1BP1,ENST00000532437,.,.,0.0001872458772847,0.0122635530190195,.
ZFC3H1,ENST00000378743,.,.,0.0001980151186891,0.012824779187103,.
DVL2,ENST00000005340,.,.,0.0002043750771,0.0130912343342436,.
LRSAM1,ENST00000323301,.,.,0.0002088275541242,0.0132310414455493,.
PCDH7,ENST00000543491,.,.,0.0002148307194485,0.0134650350931795,.
EPRS,ENST00000366923,.,.,0.0002177237924204,0.0135011913406258,.
MAP3K11,ENST00000309100,.,.,0.0002357178206865,0.0144631492292824,.
MKI67,ENST00000368654,.,.,0.0002405066332755,0.0145733314842261,.
RPS3,ENST00000278572,.,.,0.0002425138366735,0.0145733314842261,.
CEP135,ENST00000257287,.,.,0.0002469915647892,0.0146909574607828,.
INF2,ENST00000392634,.,.,0.0002828956657569,0.0166565538959337,.
NUP188,ENST00000372577,.,.,0.0002915922383053,0.0169489869936894,.
SLC12A7,ENST00000264930,.,.,0.0002936777640011,0.0169489869936894,.
NFATC2,ENST00000609943,.,.,0.0003056673062602,0.017467987531282,.
EEF1G,ENST00000329251,.,.,0.0003235758682274,0.0183118809310483,.
CDK3,ENST00000425876,.,.,0.0003494850899708,0.0195879672061571,.
MYH7,ENST00000355349,.,.,0.0003618250675774,0.0197803780755167,.
SAMHD1,ENST00000262878,.,.,0.0003605596180767,0.0197803780755167,.
TTN,ENST00000589042,.,.,0.0003630983794956,0.0197803780755167,.
MAPK10,ENST00000359221,.,.,0.0003743081681584,0.0202022436314396,.
MYO5A,ENST00000399231,.,.,0.0003783617152702,0.020233673745965,.
CEBPZ,ENST00000234170,.,.,0.0003845021216074,0.0203751169713646,.
RSL1D1,ENST00000571133,.,.,0.0003956874985403,0.020778940801728,.
ZNF267,ENST00000300870,.,.,0.0004018035610318,0.0209117228326293,.
ASAP1,ENST00000357668,.,.,0.0004322251616515,0.0222959333386465,.
BIRC6,ENST00000421745,.,.,0.0004441548649725,0.0227103395432036,.
TLK2,ENST00000346027,.,.,0.0004665101208815,0.0236459782140725,.
SERBP1,ENST00000370995,.,.,0.0004857561477671,0.024409246425298,.
HOXB7,ENST00000239165,.,.,0.0005441760979143,0.0271111322627572,.
PRPF38B,ENST00000370025,.,.,0.0005754219479944,0.0281860044946185,.
SECISBP2L,ENST00000559471,.,.,0.0005713304597411,0.0281860044946185,.
USP47,ENST00000339865,.,.,0.0005983592034125,0.029065298305766,.
IK,ENST00000417647,.,.,0.0006196945459726,0.029852888499792,.
IKZF1,ENST00000439701,.,.,0.000646176255344,0.030437390062877,.
