gene,transcript,protein_change,score,pvalue,qvalue,info
AGRN,ENST00000379370,.,.,0.0019547063125916,0.131916453944558,.
BIRC6,ENST00000421745,.,.,0.0013931981271401,0.131916453944558,.
BRAF,ENST00000288602,.,.,0.0032737289210876,0.131916453944558,.
CLIP2,ENST00000223398,.,.,0.0025749058116788,0.131916453944558,.
CUL5,ENST00000393094,.,.,0.0014092692565337,0.131916453944558,.
ERV3-1,ENST00000394323,.,.,0.0017456810751065,0.131916453944558,.
FARP1,ENST00000319562,.,.,0.001428209252541,0.131916453944558,.
FCRL5,ENST00000361835,.,.,0.0017463884324186,0.131916453944558,.
GIGYF1,ENST00000275732,.,.,0.0030638548411878,0.131916453944558,.
GRIN2B,ENST00000609686,.,.,0.0018498452955735,0.131916453944558,.
HSPA13,ENST00000285667,.,.,0.0004906965192067,0.131916453944558,.
JPH1,ENST00000342232,.,.,0.000960564976329,0.131916453944558,.
MORF4L2,ENST00000423833,.,.,0.0033716665544935,0.131916453944558,.
MTUS2,ENST00000431530,.,.,0.0017549203825488,0.131916453944558,.
MYC,ENST00000377970,.,.,0.0026455026067483,0.131916453944558,.
NKTR,ENST00000232978,.,.,0.0007607692516051,0.131916453944558,.
NUP88,ENST00000573584,.,.,0.0011484591587725,0.131916453944558,.
PLD2,ENST00000263088,.,.,0.0027676062052389,0.131916453944558,.
PRAM1,ENST00000423345,.,.,0.0033281331207975,0.131916453944558,.
PTEN,ENST00000371953,.,.,0.0022249910609978,0.131916453944558,.
RYR2,ENST00000366574,.,.,0.0009395968012079,0.131916453944558,.
SHANK2,ENST00000338508,.,.,0.0021687176714535,0.131916453944558,.
SP100,ENST00000340126,.,.,0.0032038030631301,0.131916453944558,.
ZFYVE26,ENST00000347230,.,.,0.0031454902587558,0.131916453944558,.
PARM1,ENST00000307428,.,.,0.003925916976393,0.135142594310046,.
SEC23IP,ENST00000369075,.,.,0.0040298111189364,0.135142594310046,.
TPP1,ENST00000299427,.,.,0.003795165809114,0.135142594310046,.
UTP20,ENST00000261637,.,.,0.0039984102867338,0.135142594310046,.
ABCF2,ENST00000222388,.,.,0.0043967198984088,0.137617332820197,.
CCDC120,ENST00000422185,.,.,0.0043592313211775,0.137617332820197,.
AIM1,ENST00000369066,.,.,0.0047140130384057,0.138326820095719,.
FTSJ3,ENST00000427159,.,.,0.0045756539186115,0.138326820095719,.
DDR1,ENST00000376575,.,.,0.0050438434318777,0.13862321209329,.
PACS1,ENST00000320580,.,.,0.0049262110521222,0.13862321209329,.
ROCK1,ENST00000399799,.,.,0.0051669993857989,0.13862321209329,.
PHF20,ENST00000374012,.,.,0.0054968769474207,0.143376873711892,.
SET,ENST00000372692,.,.,0.0062966006695568,0.159797514289565,.
RAD18,ENST00000264926,.,.,0.0066965791419149,0.165475995112055,.
NUFIP1,ENST00000379161,.,.,0.0070742934946039,0.170327220293156,.
HOOK2,ENST00000397668,.,.,0.0077799356850488,0.182633990206521,.
F11R,ENST00000368026,.,.,0.0090074338808822,0.188338633925499,.
GAS2L3,ENST00000539410,.,.,0.0087568078064249,0.188338633925499,.
PEX10,ENST00000288774,.,.,0.0088463545613386,0.188338633925499,.
RALGAPA1,ENST00000307138,.,.,0.0094269603775276,0.188338633925499,.
TAF11,ENST00000361288,.,.,0.0091893135680359,0.188338633925499,.
TMEM132A,ENST00000005286,.,.,0.0093835085449934,0.188338633925499,.
TP53,ENST00000269305,.,.,0.0091035686368138,0.188338633925499,.
LDB1,ENST00000425280,.,.,0.0103533270204151,0.202536959836871,.
GLDN,ENST00000335449,.,.,0.0113999821466575,0.209893788935517,.
NACC1,ENST00000292431,.,.,0.0113767837594073,0.209893788935517,.
SLAIN2,ENST00000264313,.,.,0.0113636361762031,0.209893788935517,.
RPS6KA6,ENST00000262752,.,.,0.0122730658223476,0.217441675607253,.
TRAF6,ENST00000526995,.,.,0.0121537254224737,0.217441675607253,.
ARFGEF1,ENST00000262215,.,.,0.0129240707166011,0.222610138289133,.
MGAT5,ENST00000409645,.,.,0.0130389324876489,0.222610138289133,.
HNRNPUL1,ENST00000392006,.,.,0.0139558695579123,0.234010027051422,.
FAM92B,ENST00000539556,.,.,0.0147084461021799,0.242302296314858,.
AVPR2,ENST00000358927,.,.,0.0163279493704422,0.25902484457837,.
GLUD2,ENST00000328078,.,.,0.0163875788405176,0.25902484457837,.
SNRNP27,ENST00000244227,.,.,0.0165511082797681,0.25902484457837,.
RAB11B,ENST00000328024,.,.,0.017063616353834,0.262667799282789,.
HIST1H1D,ENST00000244534,.,.,0.0190251924272467,0.288139607890075,.
PLA2G4A,ENST00000367466,.,.,0.0193536004693686,0.288460806995828,.
NEU1,ENST00000375631,.,.,0.0197631227084332,0.289962065987793,.
CARD6,ENST00000254691,.,.,0.0211955430778484,0.306194076155379,.
ARHGAP35,ENST00000404338,.,.,0.023020268764506,0.324743494556886,.
FAM122B,ENST00000343004,.,.,0.0235170997173075,0.324743494556886,.
MAN1C1,ENST00000374332,.,.,0.0235171007772825,0.324743494556886,.
LMOD2,ENST00000458573,.,.,0.0246929173376443,0.33603839681229,.
ZNF740,ENST00000416904,.,.,0.0250677691744223,0.336266217925465,.
EEF1B2,ENST00000392222,.,.,0.0256410254206654,0.339111589718378,.
ARAF,ENST00000377045,.,.,0.0260724370371187,0.340028033025756,.
ADD2,ENST00000264436,.,.,0.0270173809062192,0.347524940697806,.
CCDC86,ENST00000227520,.,.,0.0326003094534188,0.413235997450313,.
TBRG1,ENST00000441174,.,.,0.0330060700838908,0.413235997450313,.
RSRC2,ENST00000331738,.,.,0.0396567293689898,0.489969327335282,.
TMC4,ENST00000376591,.,.,0.041416706092025,0.505068662602746,.
CCNL2,ENST00000400809,.,.,0.0433680586561149,0.515476038963189,.
HIST1H4D,ENST00000340756,.,.,0.0433310264505258,0.515476038963189,.
HIST1H2AE,ENST00000303910,.,.,0.0493607320967601,0.579371592985722,.
A2ML1,ENST00000299698,.,.,1.0,1.0,.
AARS2,ENST00000244571,.,.,1.0,1.0,.
ABCB4,ENST00000265723,.,.,1.0,1.0,.
ABI3BP,ENST00000284322,.,.,1.0,1.0,.
ABLIM3,ENST00000506113,.,.,1.0,1.0,.
ACAA2,ENST00000285093,.,.,1.0,1.0,.
ACAP1,ENST00000158762,.,.,1.0,1.0,.
ACO2,ENST00000216254,.,.,1.0,1.0,.
ACOT11,ENST00000371316,.,.,1.0,1.0,.
ACOT6,ENST00000381139,.,.,1.0,1.0,.
ACSM3,ENST00000289416,.,.,1.0,1.0,.
ACSM4,ENST00000399422,.,.,1.0,1.0,.
ACTL6B,ENST00000160382,.,.,1.0,1.0,.
ACTL7B,ENST00000374667,.,.,1.0,1.0,.
ACTN4,ENST00000252699,.,.,1.0,1.0,.
ACVR1,ENST00000263640,.,.,1.0,1.0,.
ADAM17,ENST00000310823,.,.,1.0,1.0,.
ADAM9,ENST00000487273,.,.,1.0,1.0,.
ADAT3,ENST00000329478,.,.,1.0,1.0,.
ADM,ENST00000528655,.,.,1.0,1.0,.
ADNP2,ENST00000262198,.,.,1.0,1.0,.
AFAP1L1,ENST00000296721,.,.,1.0,1.0,.
AGPAT3,ENST00000398063,.,.,1.0,1.0,.
AHNAK,ENST00000378024,.,.,1.0,1.0,.
AJUBA,ENST00000262713,.,.,1.0,1.0,.
AK2,ENST00000354858,.,.,1.0,1.0,.
AKAP6,ENST00000280979,.,.,1.0,1.0,.
AKAP8,ENST00000269701,.,.,1.0,1.0,.
AKT3,ENST00000366539,.,.,1.0,1.0,.
ALDH9A1,ENST00000354775,.,.,1.0,1.0,.
ALK,ENST00000389048,.,.,1.0,1.0,.
ALPK3,ENST00000258888,.,.,1.0,1.0,.
ALS2,ENST00000264276,.,.,1.0,1.0,.
ANAPC7,ENST00000455511,.,.,1.0,1.0,.
ANHX,ENST00000545940,.,.,1.0,1.0,.
ANK2,ENST00000506722,.,.,1.0,1.0,.
ANKRD11,ENST00000301030,.,.,1.0,1.0,.
ANKRD18A,ENST00000566717,.,.,1.0,1.0,.
ANKRD27,ENST00000306065,.,.,1.0,1.0,.
ANKRD30A,ENST00000361713,.,.,1.0,1.0,.
ANKRD34A,ENST00000323397,.,.,1.0,1.0,.
ANKS6,ENST00000353234,.,.,1.0,1.0,.
ANPEP,ENST00000300060,.,.,1.0,1.0,.
AP4B1,ENST00000369569,.,.,1.0,1.0,.
APC2,ENST00000535453,.,.,1.0,1.0,.
APEH,ENST00000296456,.,.,1.0,1.0,.
APOA1,ENST00000236850,.,.,1.0,1.0,.
ARAP2,ENST00000303965,.,.,1.0,1.0,.
ARFGEF2,ENST00000371917,.,.,1.0,1.0,.
ARHGAP23,ENST00000431231,.,.,1.0,1.0,.
ARHGAP26,ENST00000274498,.,.,1.0,1.0,.
ARHGAP29,ENST00000260526,.,.,1.0,1.0,.
ARHGEF10,ENST00000349830,.,.,1.0,1.0,.
ARHGEF18,ENST00000359920,.,.,1.0,1.0,.
ARHGEF2,ENST00000361247,.,.,1.0,1.0,.
ARMC10,ENST00000323716,.,.,1.0,1.0,.
ARNT2,ENST00000303329,.,.,1.0,1.0,.
ASCC3,ENST00000369162,.,.,1.0,1.0,.
ASPM,ENST00000367409,.,.,1.0,1.0,.
ASTN1,ENST00000361833,.,.,1.0,1.0,.
ASUN,ENST00000261191,.,.,1.0,1.0,.
ASXL3,ENST00000269197,.,.,1.0,1.0,.
ATAD1,ENST00000308448,.,.,1.0,1.0,.
ATF1,ENST00000262053,.,.,1.0,1.0,.
ATG14,ENST00000247178,.,.,1.0,1.0,.
ATM,ENST00000278616,.,.,1.0,1.0,.
ATP13A1,ENST00000357324,.,.,1.0,1.0,.
ATP1A4,ENST00000368081,.,.,1.0,1.0,.
ATP6V1A,ENST00000273398,.,.,1.0,1.0,.
ATP8B4,ENST00000284509,.,.,1.0,1.0,.
ATR,ENST00000350721,.,.,1.0,1.0,.
AUH,ENST00000375731,.,.,1.0,1.0,.
AUNIP,ENST00000374298,.,.,1.0,1.0,.
AXIN2,ENST00000307078,.,.,1.0,1.0,.
B3GALT4,ENST00000451237,.,.,1.0,1.0,.
BAP1,ENST00000460680,.,.,1.0,1.0,.
BBS1,ENST00000318312,.,.,1.0,1.0,.
BCL9,ENST00000234739,.,.,1.0,1.0,.
BEST1,ENST00000449131,.,.,1.0,1.0,.
BLNK,ENST00000224337,.,.,1.0,1.0,.
BMP1,ENST00000306385,.,.,1.0,1.0,.
BMP15,ENST00000252677,.,.,1.0,1.0,.
BMS1,ENST00000374518,.,.,1.0,1.0,.
BRD7,ENST00000394689,.,.,1.0,1.0,.
BRIP1,ENST00000259008,.,.,1.0,1.0,.
BRSK1,ENST00000309383,.,.,1.0,1.0,.
BRWD1,ENST00000333229,.,.,1.0,1.0,.
BRWD3,ENST00000373275,.,.,1.0,1.0,.
BSN,ENST00000296452,.,.,1.0,1.0,.
C1QBP,ENST00000225698,.,.,1.0,1.0,.
