gene,transcript,protein_change,score,pvalue,qvalue,info
PCLO,ENST00000333891,.,.,1.57601126937857e-05,0.0149169259001396,.
SPECC1L,ENST00000314328,.,.,1.7096763209329e-05,0.0149169259001396,.
CCDC120,ENST00000422185,.,.,5.53474768720453e-05,0.032193782380573,.
SRC,ENST00000373578,.,.,0.0001103583662094,0.0481438372588667,.
COL6A2,ENST00000300527,.,.,0.0001507828795299,0.0526232249559478,.
CTNNB1,ENST00000349496,.,.,0.0002947005244231,0.0571391572353771,.
ITPR3,ENST00000374316,.,.,0.0001988065540042,0.0571391572353771,.
NES,ENST00000368223,.,.,0.000291618579428,0.0571391572353771,.
PCDHGA3,ENST00000253812,.,.,0.0002945061903681,0.0571391572353771,.
AHNAK,ENST00000378024,.,.,0.001044027085926,0.0676353544051818,.
ARAF,ENST00000377045,.,.,0.0004121649411723,0.0676353544051818,.
CDK5RAP2,ENST00000349780,.,.,0.0009517418636798,0.0676353544051818,.
DST,ENST00000449297,.,.,0.0004630265754724,0.0676353544051818,.
EPHB4,ENST00000358173,.,.,0.0007652800302969,0.0676353544051818,.
HNRNPC,ENST00000320084,.,.,0.0009261905538068,0.0676353544051818,.
ITGB4,ENST00000200181,.,.,0.0011595719951162,0.0676353544051818,.
MAP1B,ENST00000296755,.,.,0.0010684024507421,0.0676353544051818,.
NYAP2,ENST00000272907,.,.,0.0007550970065011,0.0676353544051818,.
PHIP,ENST00000275034,.,.,0.0008641378012392,0.0676353544051818,.
RAB11FIP1,ENST00000330843,.,.,0.0007781412007801,0.0676353544051818,.
RAD21,ENST00000297338,.,.,0.0010610494421581,0.0676353544051818,.
RCSD1,ENST00000367854,.,.,0.0010985938211462,0.0676353544051818,.
SCAF1,ENST00000360565,.,.,0.0005705189251161,0.0676353544051818,.
SH2B1,ENST00000322610,.,.,0.0009880108941971,0.0676353544051818,.
THRAP3,ENST00000354618,.,.,0.0009823440841745,0.0676353544051818,.
TNKS1BP1,ENST00000532437,.,.,0.0005936829371257,0.0676353544051818,.
TNRC6C,ENST00000335749,.,.,0.0005358229059273,0.0676353544051818,.
VPS13B,ENST00000358544,.,.,0.0011627854625532,0.0676353544051818,.
YAP1,ENST00000282441,.,.,0.0006940380475884,0.0676353544051818,.
ZNF318,ENST00000361428,.,.,0.0005498002111598,0.0676353544051818,.
IQGAP1,ENST00000268182,.,.,0.0012021621994032,0.0676700979986661,.
GRAMD1A,ENST00000317991,.,.,0.0012509739791542,0.0682171748007536,.
ATRX,ENST00000373344,.,.,0.0014055394497977,0.0687664796827414,.
GCC2,ENST00000309863,.,.,0.0013710363570377,0.0687664796827414,.
RHOA,ENST00000418115,.,.,0.0013953802550285,0.0687664796827414,.
TRDN,ENST00000398178,.,.,0.001418678090876,0.0687664796827414,.
KDM3A,ENST00000409556,.,.,0.0015226131181641,0.0718097267890915,.
