gene,transcript,protein_change,score,pvalue,qvalue,info
IDH1,ENST00000415913,.,.,3.19800343586378e-13,1.16151484790572e-09,.
EXOC1,ENST00000381295,.,.,7.5893736863889e-08,0.0001378230261448,.
INPPL1,ENST00000298229,.,.,1.594660762119e-07,0.0001930602629338,.
BMP2K,ENST00000335016,.,.,9.55608927344217e-07,0.0007923215374301,.
BRAF,ENST00000288602,.,.,1.17421076764268e-06,0.0007923215374301,.
MYCBP2,ENST00000544440,.,.,1.52705142125848e-06,0.0007923215374301,.
SSH3,ENST00000308127,.,.,1.49078331704353e-06,0.0007923215374301,.
MYH4,ENST00000255381,.,.,2.24317635091816e-06,0.0010184020633168,.
BRWD1,ENST00000333229,.,.,3.38655917002276e-06,0.0012299982905522,.
PRKAG1,ENST00000316299,.,.,3.28029338554493e-06,0.0012299982905522,.
ADA,ENST00000372874,.,.,5.45483894963862e-06,0.0015032338229672,.
BCR,ENST00000305877,.,.,5.65491585575738e-06,0.0015032338229672,.
CTNNB1,ENST00000349496,.,.,4.64226096334778e-06,0.0015032338229672,.
FAM188B,ENST00000265299,.,.,5.794403502627e-06,0.0015032338229672,.
SETD1A,ENST00000262519,.,.,6.4265674673292e-06,0.0015560862027559,.
AFAP1,ENST00000420658,.,.,1.08563189488238e-05,0.0018790448588509,.
BPNT1,ENST00000469520,.,.,9.15582292387078e-06,0.0018790448588509,.
EP400,ENST00000389561,.,.,8.9902051733868e-06,0.0018790448588509,.
EPHA2,ENST00000358432,.,.,9.33231431368761e-06,0.0018790448588509,.
LAD1,ENST00000391967,.,.,1.03430493738768e-05,0.0018790448588509,.
TUBGCP6,ENST00000248846,.,.,1.08645214856472e-05,0.0018790448588509,.
AURKAIP1,ENST00000338370,.,.,1.16725753239831e-05,0.0019085041069791,.
PCNT,ENST00000359568,.,.,1.20857914263548e-05,0.0019085041069791,.
EHD4,ENST00000220325,.,.,1.43648156445374e-05,0.0021738754342066,.
MACF1,ENST00000545844,.,.,1.57548415003947e-05,0.0022008301665166,.
SUPT16H,ENST00000216297,.,.,1.52823545758288e-05,0.0022008301665166,.
AHI1,ENST00000367800,.,.,1.78058287151195e-05,0.0022376459675549,.
CENPT,ENST00000562787,.,.,1.83411351764672e-05,0.0022376459675549,.
TP53BP1,ENST00000382044,.,.,1.83238799184611e-05,0.0022376459675549,.
XIRP1,ENST00000340369,.,.,1.84827585425791e-05,0.0022376459675549,.
CEP350,ENST00000367607,.,.,2.04004397638699e-05,0.002390141845883,.
METTL14,ENST00000388822,.,.,2.89928675381206e-05,0.0031909725726804,.
XPO6,ENST00000304658,.,.,2.82932100584814e-05,0.0031909725726804,.
NSD1,ENST00000439151,.,.,3.25503478492269e-05,0.0034583365647026,.
TCF20,ENST00000359486,.,.,3.33264812127182e-05,0.0034583365647026,.
HSD17B10,ENST00000168216,.,.,4.56698812172375e-05,0.0046075835716946,.
ALDOC,ENST00000226253,.,.,6.04755342564152e-05,0.0054911785104825,.
HUWE1,ENST00000342160,.,.,6.04296062332171e-05,0.0054911785104825,.
RB1,ENST00000267163,.,.,5.82674593033558e-05,0.0054911785104825,.
SETD2,ENST00000409792,.,.,5.7068480939273e-05,0.0054911785104825,.
ANXA11,ENST00000438331,.,.,6.48341412774952e-05,0.0057433561248747,.
GTPBP1,ENST00000216044,.,.,7.56247585701362e-05,0.0063876540262031,.
MYH13,ENST00000418404,.,.,7.39816702852098e-05,0.0063876540262031,.
HSF1,ENST00000528838,.,.,9.47188275948996e-05,0.0076448618183261,.
ZC3H13,ENST00000282007,.,.,9.37711743784738e-05,0.0076448618183261,.
IGFBP2,ENST00000233809,.,.,9.999717414594e-05,0.0077274412020862,.
NEU4,ENST00000325935,.,.,9.95173837634592e-05,0.0077274412020862,.
MAPK1,ENST00000215832,.,.,0.0001069563676128,0.0079278679014283,.
MED13,ENST00000397786,.,.,0.0001049152218344,0.0079278679014283,.
NEU1,ENST00000375631,.,.,0.0001214246122793,0.0088202838359709,.
EP300,ENST00000263253,.,.,0.0001350525934886,0.0096178631284455,.
ARHGEF18,ENST00000359920,.,.,0.000147340656241,0.0100970049710851,.
NUP153,ENST00000262077,.,.,0.0001446386559267,0.0100970049710851,.
SOX11,ENST00000322002,.,.,0.0001576863054138,0.0106058640974661,.
MKL2,ENST00000318282,.,.,0.0001804018339446,0.011913081107035,.
HDAC6,ENST00000334136,.,.,0.0001880352072257,0.0120247977238675,.
MYH2,ENST00000245503,.,.,0.0001887151625166,0.0120247977238675,.
TPR,ENST00000367478,.,.,0.0001968765079408,0.0122675100096962,.
WDR77,ENST00000235090,.,.,0.0001992794852896,0.0122675100096962,.
FOXP4,ENST00000373060,.,.,0.0002092809435581,0.0124724885407936,.
GIGYF1,ENST00000275732,.,.,0.0002094773681135,0.0124724885407936,.
