gene,transcript,protein_change,score,pvalue,qvalue,info
CTNNA2,ENST00000466387,.,.,3.01535226174135e-06,0.0100712765542161,.
HUWE1,ENST00000342160,.,.,7.16279051574171e-06,0.0119618601612887,.
AHNAK,ENST00000378024,.,.,1.86992730662191e-05,0.0208185240137239,.
KIAA1429,ENST00000297591,.,.,4.55993463565718e-05,0.0278673655825608,.
KRT79,ENST00000330553,.,.,4.55442350838711e-05,0.0278673655825608,.
SETD2,ENST00000409792,.,.,5.00611357770553e-05,0.0278673655825608,.
APOB,ENST00000233242,.,.,6.22900026948255e-05,0.0297212298572453,.
JPH2,ENST00000372980,.,.,0.0001277490883947,0.0474091061376244,.
SMARCA4,ENST00000429416,.,.,0.0001190101951617,0.0474091061376244,.
DDX1,ENST00000381341,.,.,0.0003245802864503,0.0665362777636922,.
F5,ENST00000367797,.,.,0.0003183829781494,0.0665362777636922,.
NUAK1,ENST00000261402,.,.,0.0003557204450168,0.0665362777636922,.
PER1,ENST00000317276,.,.,0.0002435433620618,0.0665362777636922,.
RBM15,ENST00000369784,.,.,0.0003343032364311,0.0665362777636922,.
RET,ENST00000355710,.,.,0.0002947189961374,0.0665362777636922,.
SHANK2,ENST00000338508,.,.,0.000266359947867,0.0665362777636922,.
SRSF4,ENST00000373795,.,.,0.000358578742439,0.0665362777636922,.
TP53,ENST00000269305,.,.,0.0002256091883681,0.0665362777636922,.
ELMO2,ENST00000290246,.,.,0.0004091247890659,0.0719198313410727,.
AKAP13,ENST00000361243,.,.,0.0004888885656601,0.0777565623478549,.
MYH9,ENST00000216181,.,.,0.000468849014877,0.0777565623478549,.
AFAP1L2,ENST00000304129,.,.,0.0007380760604431,0.0795217432864532,.
DCHS2,ENST00000443500,.,.,0.0007082613442951,0.0795217432864532,.
IRS4,ENST00000372129,.,.,0.0005850785741039,0.0795217432864532,.
KCND3,ENST00000315987,.,.,0.0005820878927501,0.0795217432864532,.
LAMB1,ENST00000222399,.,.,0.000717290992696,0.0795217432864532,.
MYPN,ENST00000358913,.,.,0.0006988110529095,0.0795217432864532,.
QRICH1,ENST00000395443,.,.,0.000731456409625,0.0795217432864532,.
SETD1A,ENST00000262519,.,.,0.0006688777811529,0.0795217432864532,.
TRIM29,ENST00000341846,.,.,0.0005981214744829,0.0795217432864532,.
ZNF318,ENST00000361428,.,.,0.0005498002111598,0.0795217432864532,.
MAP1A,ENST00000300231,.,.,0.0008031758351104,0.0812911299778499,.
MLLT4,ENST00000507704,.,.,0.0007788817456762,0.0812911299778499,.
DPF2,ENST00000528416,.,.,0.0009387977961141,0.0922230776182693,.
PEAK1,ENST00000560626,.,.,0.0010664733393639,0.0937373935125138,.
RABEP1,ENST00000262477,.,.,0.0010450937015014,0.0937373935125138,.
SYDE2,ENST00000341460,.,.,0.0010503603665628,0.0937373935125138,.
ZNF185,ENST00000535861,.,.,0.001035569776758,0.0937373935125138,.
EPS15L1,ENST00000455140,.,.,0.001265993764989,0.0941407422518877,.
HOXA7,ENST00000242159,.,.,0.0013091556287332,0.0941407422518877,.
INTS3,ENST00000318967,.,.,0.0012870057943506,0.0941407422518877,.
MAST2,ENST00000361297,.,.,0.0011220991318725,0.0941407422518877,.
NSD1,ENST00000439151,.,.,0.0012630459383587,0.0941407422518877,.
RAVER1,ENST00000293677,.,.,0.0013173107828302,0.0941407422518877,.
SETX,ENST00000224140,.,.,0.0013247349957601,0.0941407422518877,.
SLC16A10,ENST00000368851,.,.,0.0011547839565239,0.0941407422518877,.
SUPT16H,ENST00000216297,.,.,0.0012131409879831,0.0941407422518877,.
CTAGE5,ENST00000396158,.,.,0.0016524692068489,0.0950032448665179,.
GTSE1,ENST00000454366,.,.,0.0017635332879413,0.0950032448665179,.
INF2,ENST00000392634,.,.,0.0014858840804742,0.0950032448665179,.
MPDZ,ENST00000541718,.,.,0.0013885346096015,0.0950032448665179,.
NF2,ENST00000338641,.,.,0.0015199034687593,0.0950032448665179,.
NUP155,ENST00000231498,.,.,0.0016809160181058,0.0950032448665179,.
OGFR,ENST00000290291,.,.,0.0014234282182172,0.0950032448665179,.
PRKD3,ENST00000379066,.,.,0.0017386377292253,0.0950032448665179,.
PSMD3,ENST00000264639,.,.,0.0017304893817068,0.0950032448665179,.
RANGAP1,ENST00000455915,.,.,0.0014726772851919,0.0950032448665179,.
SEMA3D,ENST00000284136,.,.,0.0015905663163577,0.0950032448665179,.
SSX1,ENST00000376919,.,.,0.0017492235080424,0.0950032448665179,.
TMEM131,ENST00000186436,.,.,0.0016340163705911,0.0950032448665179,.
TRAF4,ENST00000262395,.,.,0.0014139585190553,0.0950032448665179,.
UBE2J1,ENST00000435041,.,.,0.0016054671532052,0.0950032448665179,.
