gene,transcript,protein_change,score,pvalue,qvalue,info
KIT,ENST00000288135,.,.,3.9477925083584195e-30,3.12665166661987e-27,.
BRPF1,ENST00000383829,.,.,3.79539846823169e-05,0.0106547690188728,.
COBL,ENST00000265136,.,.,4.03589735563363e-05,0.0106547690188728,.
TTN,ENST00000589042,.,.,0.0001427233465887,0.028259222624571,.
ANAPC2,ENST00000323927,.,.,0.0003224267610868,0.034967883476889,.
GOLGB1,ENST00000393667,.,.,0.0003114294525591,0.034967883476889,.
PCNT,ENST00000359568,.,.,0.0002598555234457,0.034967883476889,.
RANBP2,ENST00000283195,.,.,0.000353210944211,0.034967883476889,.
MGA,ENST00000219905,.,.,0.0004919090819446,0.0389591992900178,.
TBC1D9,ENST00000442267,.,.,0.0004495836153946,0.0389591992900178,.
EPRS,ENST00000366923,.,.,0.0007334301774504,0.0528069727764313,.
CAMSAP1,ENST00000389532,.,.,0.0008216926648667,0.0542317158812023,.
CHD1,ENST00000284049,.,.,0.0009672869714542,0.0546745753705709,.
EIF5B,ENST00000289371,.,.,0.0010355697770507,0.0546745753705709,.
PNN,ENST00000216832,.,.,0.0009345586414461,0.0546745753705709,.
ZMYM2,ENST00000382869,.,.,0.0011045368761731,0.0546745753705709,.
NRAS,ENST00000369535,.,.,0.0012307299537415,0.0573375366684306,.
THAP7,ENST00000215742,.,.,0.0013255647902313,0.058324850770179,.
DLGAP5,ENST00000247191,.,.,0.0014855084368227,0.0617248276296232,.
QSER1,ENST00000527788,.,.,0.0015587077684248,0.0617248276296232,.
ARID4A,ENST00000355431,.,.,0.0020066018477605,0.0725137846032351,.
DDX17,ENST00000396821,.,.,0.0023056143107983,0.0725137846032351,.
GLI3,ENST00000395925,.,.,0.0020878631444273,0.0725137846032351,.
LRRC4B,ENST00000599957,.,.,0.0021182619505373,0.0725137846032351,.
SERINC1,ENST00000339697,.,.,0.0023805030299041,0.0725137846032351,.
SPRYD3,ENST00000301463,.,.,0.0023740835710866,0.0725137846032351,.
ITPR1,ENST00000302640,.,.,0.0024960014110642,0.0732160413912189,.
RANBP10,ENST00000317506,.,.,0.0028024552722951,0.0747370709623121,.
RNF213,ENST00000582970,.,.,0.0028309496576633,0.0747370709623121,.
SART1,ENST00000312397,.,.,0.0027849256265961,0.0747370709623121,.
CBLC,ENST00000270279,.,.,0.003104155211985,0.0793061589642621,.
CBS,ENST00000398165,.,.,0.0032816803225713,0.08122158798364,.
DICER1,ENST00000526495,.,.,0.0035346320115923,0.0823361339170914,.
FARSB,ENST00000281828,.,.,0.0034662044573175,0.0823361339170914,.
PGR,ENST00000325455,.,.,0.0036398342233595,0.0823642487114499,.
IRF4,ENST00000380956,.,.,0.003977210997695,0.0828934502677493,.
SASH3,ENST00000356892,.,.,0.0039370077741519,0.0828934502677493,.
USP1,ENST00000339950,.,.,0.0038133283360842,0.0828934502677493,.
ZNF606,ENST00000341164,.,.,0.0040947257049522,0.0831544297005684,.
LMNB1,ENST00000261366,.,.,0.0044605985416555,0.086165708414419,.
WAC,ENST00000354911,.,.,0.0044178162807562,0.086165708414419,.
ARVCF,ENST00000263207,.,.,0.0051215522967693,0.0947983105706692,.
DNAJC13,ENST00000260818,.,.,0.0051468779729024,0.0947983105706692,.
KNTC1,ENST00000333479,.,.,0.0055556767463534,0.100002181434361,.
PPM1H,ENST00000228705,.,.,0.0072463766126043,0.127536228381837,.
PPFIA1,ENST00000253925,.,.,0.0074683506425781,0.128585515411345,.
CDK7,ENST00000256443,.,.,0.0091720409472032,0.148250131228265,.
