gene,transcript,protein_change,score,pvalue,qvalue,info
BRAF,ENST00000288602,.,.,0.0,0.0,.
NRAS,ENST00000369535,.,.,6.1535754801299695e-56,7.368906637455641e-53,.
HRAS,ENST00000451590,.,.,6.89946804026387e-24,5.50807531881065e-21,.
KIT,ENST00000288135,.,.,3.66888330932504e-07,0.0002196743881458,.
MYO1C,ENST00000359786,.,.,2.59760088819071e-06,0.0012442508254433,.
TP53BP1,ENST00000382044,.,.,3.9537113215521e-06,0.0015781897691862,.
UBR5,ENST00000520539,.,.,1.4882965201269e-05,0.0050921002367199,.
SEC16A,ENST00000313050,.,.,2.23902884345446e-05,0.0067030926000918,.
HIST1H4B,ENST00000377364,.,.,3.06799644901074e-05,0.0081642794393119,.
RAPH1,ENST00000319170,.,.,3.9144005634775e-05,0.0093749893495286,.
CDKL5,ENST00000379989,.,.,6.91410441802303e-05,0.0150538909828774,.
FLNB,ENST00000490882,.,.,7.79371201085557e-05,0.0155549502216659,.
G6PD,ENST00000393562,.,.,9.14300084128482e-05,0.0168442207806747,.
NUP214,ENST00000359428,.,.,0.000128453897259,0.0209022905755101,.
PRRC2A,ENST00000376033,.,.,0.0001309120495334,0.0209022905755101,.
WDR33,ENST00000322313,.,.,0.0001912781282121,0.0277237249255631,.
YEATS2,ENST00000305135,.,.,0.0001967863564653,0.0277237249255631,.
PDLIM7,ENST00000355841,.,.,0.0002355345285535,0.029689747151881,.
ZW10,ENST00000200135,.,.,0.0002335481712368,0.029689747151881,.
CDH7,ENST00000397968,.,.,0.0002845440858931,0.0324515755101997,.
GRIN2B,ENST00000609686,.,.,0.0002825555884946,0.0324515755101997,.
MYCBPAP,ENST00000323776,.,.,0.0003345162627151,0.0364166567819431,.
AHNAK2,ENST00000333244,.,.,0.000402837569761,0.0383589950381456,.
ARHGAP26,ENST00000274498,.,.,0.0003839148541826,0.0383589950381456,.
COBL,ENST00000265136,.,.,0.0004164233281802,0.0383589950381456,.
KRAS,ENST00000256078,.,.,0.0004032081920125,0.0383589950381456,.
FGD5,ENST00000285046,.,.,0.0004531834973551,0.0387633741487706,.
KCNRG,ENST00000312942,.,.,0.0004376521244822,0.0387633741487706,.
EP300,ENST00000263253,.,.,0.0004838354518342,0.0399581347290723,.
ACTB,ENST00000331789,.,.,0.0006103196865855,0.0478764011463487,.
PHIP,ENST00000275034,.,.,0.0006196945451093,0.0478764011463487,.
PENK,ENST00000314922,.,.,0.0006834907437977,0.0486671798145981,.
TNS3,ENST00000398879,.,.,0.0006908910704368,0.0486671798145981,.
TOP1,ENST00000361337,.,.,0.0006537685249587,0.0486671798145981,.
RC3H1,ENST00000367696,.,.,0.0009179664443928,0.0628151324091701,.
RNF2,ENST00000367510,.,.,0.0010477206059246,0.066033969768144,.
TTK,ENST00000369798,.,.,0.0010347122830687,0.066033969768144,.
UBE2NL,ENST00000370494,.,.,0.0010420102592923,0.066033969768144,.
DMXL2,ENST00000543779,.,.,0.0011984667290261,0.0687578838551503,.
DNASE2,ENST00000222219,.,.,0.0012031327504187,0.0687578838551503,.
NDUFV2,ENST00000318388,.,.,0.0012184094707001,0.0687578838551503,.
POTEE,ENST00000356920,.,.,0.0012344839272532,0.0687578838551503,.
PRDX1,ENST00000262746,.,.,0.0012255033620411,0.0687578838551503,.
BCL9,ENST00000234739,.,.,0.0012813636933759,0.0697469555826233,.
ARRB1,ENST00000420843,.,.,0.001452587603276,0.0739441166793771,.
ASXL3,ENST00000269197,.,.,0.0015852673046537,0.0739441166793771,.
BCR,ENST00000305877,.,.,0.0016024655247025,0.0739441166793771,.
CRTC2,ENST00000368633,.,.,0.0014970059325412,0.0739441166793771,.
DGKA,ENST00000331886,.,.,0.0014907016216494,0.0739441166793771,.
GOLGA3,ENST00000204726,.,.,0.0015655529829074,0.0739441166793771,.
MYO18B,ENST00000335473,.,.,0.0014234282057053,0.0739441166793771,.
ZMYM4,ENST00000314607,.,.,0.0016054672514937,0.0739441166793771,.
SHCBP1,ENST00000303383,.,.,0.0016711125163734,0.0741169347539687,.
TONSL,ENST00000409379,.,.,0.0016423544556233,0.0741169347539687,.
ATM,ENST00000278616,.,.,0.001878515017224,0.0743996690992333,.
CRTC3,ENST00000268184,.,.,0.0017247142925787,0.0743996690992333,.
ITPR1,ENST00000302640,.,.,0.0018173502369937,0.0743996690992333,.
KIF14,ENST00000367350,.,.,0.0018250316520803,0.0743996690992333,.
NOTCH1,ENST00000277541,.,.,0.0018623470711312,0.0743996690992333,.
RBM15,ENST00000369784,.,.,0.0017398077162339,0.0743996690992333,.
ZNF528,ENST00000360465,.,.,0.0018949393799804,0.0743996690992333,.
KIAA0226,ENST00000296343,.,.,0.0019814588777015,0.074831915462442,.
MAN1C1,ENST00000374332,.,.,0.0019996837534848,0.074831915462442,.
RSF1,ENST00000308488,.,.,0.0019978467328488,0.074831915462442,.
CYP19A1,ENST00000396402,.,.,0.0020515127508736,0.0751274912056155,.
DOT1L,ENST00000398665,.,.,0.0021601479007717,0.0751274912056155,.
KIF4A,ENST00000374403,.,.,0.0021239280026486,0.0751274912056155,.
PIK3C2A,ENST00000265970,.,.,0.0021644245900574,0.0751274912056155,.
SMARCA5,ENST00000283131,.,.,0.0021369148540235,0.0751274912056155,.
CYP2C19,ENST00000371321,.,.,0.0022014472788596,0.0753209461838414,.
SNAPC4,ENST00000298532,.,.,0.0023202258809265,0.0782667744340706,.
DGCR14,ENST00000252137,.,.,0.0026361931125426,0.0819958775681483,.
LEPR,ENST00000349533,.,.,0.0025423561531008,0.0819958775681483,.
PRPF38B,ENST00000370025,.,.,0.0025824158955271,0.0819958775681483,.
RET,ENST00000355710,.,.,0.0025990876741257,0.0819958775681483,.
WTAP,ENST00000358372,.,.,0.0025234928845644,0.0819958775681483,.
ZNF768,ENST00000380412,.,.,0.0026361931410218,0.0819958775681483,.
GLCCI1,ENST00000223145,.,.,0.0028871547560078,0.086480817696016,.
SMARCD3,ENST00000491651,.,.,0.0028840448855395,0.086480817696016,.
UBC,ENST00000536769,.,.,0.0028887120733533,0.086480817696016,.
PPP1R12B,ENST00000608999,.,.,0.0030002248435215,0.0887103518547412,.
MYH6,ENST00000405093,.,.,0.003059671409505,0.0889228715002506,.
SYNE2,ENST00000358025,.,.,0.0030816694507393,0.0889228715002506,.
DAGLA,ENST00000257215,.,.,0.0034754114287332,0.0973457185640361,.
DNM2,ENST00000389253,.,.,0.0034594596217317,0.0973457185640361,.
SCAF1,ENST00000360565,.,.,0.0034955038816313,0.0973457185640361,.
HADHA,ENST00000380649,.,.,0.0035517661059798,0.0977756301588707,.
CDH6,ENST00000265071,.,.,0.0036083128132021,0.0982035134956725,.
BRF2,ENST00000220659,.,.,0.0040298111620825,0.098753826344921,.
GOLIM4,ENST00000470487,.,.,0.0037390276130565,0.098753826344921,.
HOOK3,ENST00000307602,.,.,0.0038990779276711,0.098753826344921,.
MAP1A,ENST00000300231,.,.,0.0038086803076578,0.098753826344921,.
MAP1B,ENST00000296755,.,.,0.0040408663807107,0.098753826344921,.
RBM7,ENST00000540163,.,.,0.0038163717443566,0.098753826344921,.
RPL4,ENST00000307961,.,.,0.0040180068187018,0.098753826344921,.
RPUSD1,ENST00000561734,.,.,0.003909101004233,0.098753826344921,.
SRCAP,ENST00000262518,.,.,0.0039326157403505,0.098753826344921,.
ZC3H13,ENST00000282007,.,.,0.0038697711141719,0.098753826344921,.
DCX,ENST00000338081,.,.,0.0040836929780445,0.0987923705294626,.
ZNF264,ENST00000263095,.,.,0.0041391316462605,0.099132202927941,.
ARHGEF38,ENST00000420470,.,.,0.0043209986750985,0.100293018272055,.
EXOSC7,ENST00000265564,.,.,0.004355103924966,0.100293018272055,.
LARP4B,ENST00000316157,.,.,0.0043427664661258,0.100293018272055,.
NHSL2,ENST00000540800,.,.,0.0042889861587489,0.100293018272055,.
FSCN1,ENST00000382361,.,.,0.0044284376010905,0.100979771103561,.
STIM2,ENST00000465503,.,.,0.0044692508296356,0.100979771103561,.
NES,ENST00000368223,.,.,0.0046943590453792,0.105074672090499,.
CCDC9,ENST00000221922,.,.,0.0048237638485021,0.106971429788543,.
TMC5,ENST00000396229,.,.,0.0049019343988034,0.10770764114802,.
ASXL2,ENST00000435504,.,.,0.0051842426094656,0.108419632769504,.
DVL3,ENST00000313143,.,.,0.005022055856319,0.108419632769504,.
FRYL,ENST00000358350,.,.,0.0052059531392454,0.108419632769504,.
INSR,ENST00000302850,.,.,0.0050805627938558,0.108419632769504,.
MKL1,ENST00000355630,.,.,0.0051548813387777,0.108419632769504,.
MLLT1,ENST00000252674,.,.,0.0051131167476659,0.108419632769504,.
RFX5,ENST00000290524,.,.,0.0053323543956027,0.110094730840247,.
GATA1,ENST00000376670,.,.,0.0055211794299044,0.110193539455175,.
KIF1B,ENST00000263934,.,.,0.0054882518717645,0.110193539455175,.
PLEKHG1,ENST00000367328,.,.,0.0054328975683439,0.110193539455175,.
UHRF2,ENST00000276893,.,.,0.0054995670611693,0.110193539455175,.
SMG1,ENST00000446231,.,.,0.0058459188753474,0.115710543028571,.
BCHE,ENST00000264381,.,.,0.0061226667053329,0.117543144017882,.
C6,ENST00000263413,.,.,0.0065365596595949,0.117543144017882,.
CDC42,ENST00000344548,.,.,0.0063814626699072,0.117543144017882,.
CHD2,ENST00000394196,.,.,0.006476728052971,0.117543144017882,.
DDX23,ENST00000308025,.,.,0.0064951213306467,0.117543144017882,.
ERO1L,ENST00000395686,.,.,0.0067536196653785,0.117543144017882,.
HSPA13,ENST00000285667,.,.,0.0066880172677947,0.117543144017882,.
KIAA1109,ENST00000264501,.,.,0.0060777189922253,0.117543144017882,.
LMO7,ENST00000465261,.,.,0.0067597722019047,0.117543144017882,.
MDN1,ENST00000369393,.,.,0.0064157578003953,0.117543144017882,.
MYH2,ENST00000245503,.,.,0.0063356178074652,0.117543144017882,.
PCSK7,ENST00000320934,.,.,0.0064904015483317,0.117543144017882,.
PLXND1,ENST00000324093,.,.,0.0067581050051107,0.117543144017882,.
SCEL,ENST00000349847,.,.,0.0060006267738359,0.117543144017882,.
SECISBP2L,ENST00000559471,.,.,0.006264181558248,0.117543144017882,.
SMC1A,ENST00000322213,.,.,0.0064247226913703,0.117543144017882,.
WASL,ENST00000223023,.,.,0.006772840866166,0.117543144017882,.
KIAA1958,ENST00000337530,.,.,0.0068479744650542,0.117992078012985,.
ANKRD30A,ENST00000361713,.,.,0.0073496251240234,0.125731086943115,.
KSR1,ENST00000398988,.,.,0.0075746907515311,0.126235200696092,.
