gene,transcript,protein_change,score,pvalue,qvalue,info
BCOR,ENST00000378444,.,.,0.000429566371702,0.0805963188696604,.
IDH1,ENST00000415913,.,.,0.0011208084798562,0.0805963188696604,.
MACF1,ENST00000545844,.,.,0.0007574192412751,0.0805963188696604,.
MUC16,ENST00000397910,.,.,0.0011062770123516,0.0805963188696604,.
NBPF10,ENST00000342960,.,.,0.0009898946888381,0.0805963188696604,.
NCKAP5L,ENST00000335999,.,.,0.0007294929039972,0.0805963188696604,.
PKP4,ENST00000389759,.,.,0.0004300339624597,0.0805963188696604,.
TCF20,ENST00000359486,.,.,0.0009701958014264,0.0805963188696604,.
TNKS1BP1,ENST00000532437,.,.,0.0009186463943657,0.0805963188696604,.
UBR4,ENST00000375254,.,.,0.0007524454234287,0.0805963188696604,.
ZC3H4,ENST00000253048,.,.,0.000725596422253,0.0805963188696604,.
NCAPD2,ENST00000315579,.,.,0.001229080363198,0.0810168806074723,.
SFPQ,ENST00000357214,.,.,0.0013683821381916,0.08326079010074,.
SSTR3,ENST00000328544,.,.,0.0014985575595112,0.0846685021123827,.
CBLB,ENST00000264122,.,.,0.0016267875832709,0.085785931891153,.
APOB,ENST00000233242,.,.,0.0018003171463187,0.0889376534198906,.
GRIN2B,ENST00000609686,.,.,0.0019978467187282,0.0889376534198906,.
PIK3C2B,ENST00000367187,.,.,0.0020238656909709,0.0889376534198906,.
ESCO2,ENST00000305188,.,.,0.0024330902300702,0.0916463986659795,.
FBRS,ENST00000356166,.,.,0.0023300664008505,0.0916463986659795,.
STARD9,ENST00000290607,.,.,0.0022373173978455,0.0916463986659795,.
ARID4A,ENST00000355431,.,.,0.0025600114017263,0.0918623700691556,.
DNAH10,ENST00000409039,.,.,0.002671092935007,0.0918623700691556,.
BSCL2,ENST00000433053,.,.,0.0036874580308845,0.104750307366296,.
DLG5,ENST00000372391,.,.,0.0037079754819927,0.104750307366296,.
MAGEB18,ENST00000325250,.,.,0.0031811303770769,0.104750307366296,.
QSOX2,ENST00000358701,.,.,0.0033185087503857,0.104750307366296,.
ZHX3,ENST00000309060,.,.,0.0036548136310475,0.104750307366296,.
NIPBL,ENST00000282516,.,.,0.0040665929362019,0.107222500417857,.
TAF1L,ENST00000242310,.,.,0.0040386361183491,0.107222500417857,.
CLIP1,ENST00000540338,.,.,0.0045627375540654,0.10901083065232,.
KIF18A,ENST00000263181,.,.,0.0046214399643231,0.10901083065232,.
