gene,transcript,protein_change,score,pvalue,qvalue,info
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0088219117808821,.
NOTCH1,ENST00000277541,.,.,9.99990000099999e-06,0.0088219117808821,.
IDH2,ENST00000330062,.,.,9.99990000099999e-06,0.0088219117808821,.
NF1,ENST00000358273,.,.,9.99990000099999e-06,0.0088219117808821,.
MAX,ENST00000358664,.,.,9.99990000099999e-06,0.0088219117808821,.
FUBP1,ENST00000370768,.,.,9.99990000099999e-06,0.0088219117808821,.
PTEN,ENST00000371953,.,.,9.99990000099999e-06,0.0088219117808821,.
ATRX,ENST00000373344,.,.,9.99990000099999e-06,0.0088219117808821,.
IDH1,ENST00000415913,.,.,9.99990000099999e-06,0.0088219117808821,.
CIC,ENST00000575354,.,.,9.99990000099999e-06,0.0088219117808821,.
NKX2-1,ENST00000354822,.,.,1.9999800002e-05,0.016039839601604,.
PDHA1,ENST00000379806,.,.,0.000129998700013,0.0955707109595572,.
IL1RAPL2,ENST00000372582,.,.,0.000149998500015,0.10179128977941,.
CUL4B,ENST00000404115,.,.,0.000169998300017,0.107123214482141,.
SMARCA1,ENST00000371122,.,.,0.000289997100029,0.165410845891541,.
SCN5A,ENST00000413689,.,.,0.00029999700003,0.165410845891541,.
PFKL,ENST00000349048,.,.,0.0005799942000579,0.300982872524216,.
CRIP2,ENST00000483017,.,.,0.0006455369348387,0.316384824397077,.
SDHA,ENST00000264932,.,.,0.0007173601147776,0.333081628029902,.
SMC1A,ENST00000322213,.,.,0.0007899921000789,0.348465515344846,.
HCCS,ENST00000321143,.,.,0.0009999900000999,0.405005949940501,.
MYH7,ENST00000355349,.,.,0.001009989900101,0.405005949940501,.
PTPN11,ENST00000351677,.,.,0.001169988300117,0.44876681667966,.
CDKN2C,ENST00000262662,.,.,0.001239987600124,0.45579877534558,.
GLUD1,ENST00000277865,.,.,0.001519984800152,0.536372236277638,.
PRSS35,ENST00000536636,.,.,0.001649983500165,0.559852093786755,.
HCN1,ENST00000303230,.,.,0.001719982800172,0.561988454189533,.
HCFC1,ENST00000310441,.,.,0.002059979400206,0.649040652450619,.
ARHGAP21,ENST00000396432,.,.,0.002169978300217,0.660122364293599,.
CHRDL1,ENST00000372042,.,.,0.002569974300257,0.745593834384238,.
