gene,transcript,protein_change,score,pvalue,qvalue,info
GLRA2,ENST00000218075,.,.,9.99990000099999e-06,0.0067339326606733,.
SI,ENST00000264382,.,.,9.99990000099999e-06,0.0067339326606733,.
RB1,ENST00000267163,.,.,9.99990000099999e-06,0.0067339326606733,.
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0067339326606733,.
KCNH1,ENST00000271751,.,.,9.99990000099999e-06,0.0067339326606733,.
HCN1,ENST00000303230,.,.,9.99990000099999e-06,0.0067339326606733,.
SCN1A,ENST00000303395,.,.,9.99990000099999e-06,0.0067339326606733,.
ABCD2,ENST00000308666,.,.,9.99990000099999e-06,0.0067339326606733,.
KCNH7,ENST00000332142,.,.,9.99990000099999e-06,0.0067339326606733,.
MYH7,ENST00000355349,.,.,9.99990000099999e-06,0.0067339326606733,.
SCN2A,ENST00000357398,.,.,9.99990000099999e-06,0.0067339326606733,.
NF1,ENST00000358273,.,.,9.99990000099999e-06,0.0067339326606733,.
F8,ENST00000360256,.,.,9.99990000099999e-06,0.0067339326606733,.
IRF6,ENST00000367021,.,.,9.99990000099999e-06,0.0067339326606733,.
CACNA1E,ENST00000367573,.,.,9.99990000099999e-06,0.0067339326606733,.
COL11A1,ENST00000370096,.,.,9.99990000099999e-06,0.0067339326606733,.
PTEN,ENST00000371953,.,.,9.99990000099999e-06,0.0067339326606733,.
CACNA1F,ENST00000376265,.,.,9.99990000099999e-06,0.0067339326606733,.
KDM6A,ENST00000377967,.,.,9.99990000099999e-06,0.0067339326606733,.
PHKA2,ENST00000379942,.,.,9.99990000099999e-06,0.0067339326606733,.
CDKL5,ENST00000379989,.,.,9.99990000099999e-06,0.0067339326606733,.
SLITRK4,ENST00000381779,.,.,9.99990000099999e-06,0.0067339326606733,.
TENM1,ENST00000422452,.,.,9.99990000099999e-06,0.0067339326606733,.
CDKN2A,ENST00000498124,.,.,9.99990000099999e-06,0.0067339326606733,.
HEPH,ENST00000519389,.,.,9.99990000099999e-06,0.0067339326606733,.
FBXW7,ENST00000281708,.,.,1.9999800002e-05,0.011610228725299,.
SOX11,ENST00000322002,.,.,1.9999800002e-05,0.011610228725299,.
DCX,ENST00000338081,.,.,1.9999800002e-05,0.011610228725299,.
COL4A6,ENST00000372216,.,.,1.9999800002e-05,0.011610228725299,.
CFTR,ENST00000003084,.,.,2.9999700003e-05,0.014429855701443,.
NOTCH1,ENST00000277541,.,.,2.9999700003e-05,0.014429855701443,.
NKX2-4,ENST00000351817,.,.,2.9999700003e-05,0.014429855701443,.
ACTA1,ENST00000366684,.,.,2.9999700003e-05,0.014429855701443,.
CFH,ENST00000367429,.,.,2.9999700003e-05,0.014429855701443,.
ATRX,ENST00000373344,.,.,2.9999700003e-05,0.014429855701443,.
COL1A2,ENST00000297268,.,.,3.9999600004e-05,0.01819981800182,.
TPH2,ENST00000333850,.,.,3.9999600004e-05,0.01819981800182,.
SOX3,ENST00000370536,.,.,4.99995000049999e-05,0.0221510942785309,.
TYR,ENST00000263321,.,.,5.99994000059999e-05,0.0252522474775252,.
HLA-A,ENST00000396634,.,.,5.99994000059999e-05,0.0252522474775252,.
GALNT2,ENST00000366672,.,.,7.99992000079999e-05,0.0328484520032848,.
CACNA1A,ENST00000360228,.,.,8.99991000089999e-05,0.033669663303367,.
CRB1,ENST00000367400,.,.,8.99991000089999e-05,0.033669663303367,.
CYBB,ENST00000378588,.,.,8.99991000089999e-05,0.033669663303367,.
PHEX,ENST00000379374,.,.,8.99991000089999e-05,0.033669663303367,.
SLC6A3,ENST00000270349,.,.,9.99990000099999e-05,0.0365974601123554,.
INPP5D,ENST00000359570,.,.,0.000119998800012,0.0429825488979153,.
KIAA2022,ENST00000055682,.,.,0.000139998600014,0.04809951900481,.
ATP7A,ENST00000341514,.,.,0.000139998600014,0.04809951900481,.
ATP11C,ENST00000327569,.,.,0.000149998500015,0.0505044949550505,.
KCNQ3,ENST00000388996,.,.,0.000159998400016,0.05179948200518,.
PLP1,ENST00000418604,.,.,0.000159998400016,0.05179948200518,.
MTMR1,ENST00000544228,.,.,0.000169998300017,0.0539985166186074,.
RBMX,ENST00000320676,.,.,0.000179998200018,0.0561161055056117,.
SMAD4,ENST00000342988,.,.,0.00019999800002,0.0612175696424855,.
OTC,ENST00000039007,.,.,0.000209997900021,0.0631306186938131,.
GLA,ENST00000218516,.,.,0.000219997800022,0.064976543217024,.
SMS,ENST00000404933,.,.,0.000229997700023,0.0667588151704691,.
NALCN,ENST00000251127,.,.,0.000239997600024,0.0684806711254922,.
MSN,ENST00000360270,.,.,0.000269997300027,0.0745148286222057,.
SLITRK2,ENST00000370490,.,.,0.000269997300027,0.0745148286222057,.
GRIA3,ENST00000264357,.,.,0.000279997200028,0.0760282719753448,.
CCDC115,ENST00000259229,.,.,0.000329996700033,0.0881824515088183,.
CACNA1C,ENST00000347598,.,.,0.000339996600034,0.0894350431495686,.
KCNJ3,ENST00000295101,.,.,0.000369996300037,0.0943770865321651,.
OCRL,ENST00000371113,.,.,0.000369996300037,0.0943770865321651,.
POU3F3,ENST00000361360,.,.,0.000389996100039,0.0965527109434789,.
NSD1,ENST00000439151,.,.,0.000389996100039,0.0965527109434789,.
OGT,ENST00000373719,.,.,0.00039999600004,0.0975932269662812,.
TRPC5,ENST00000262839,.,.,0.000409995900041,0.0986040139598605,.
OFD1,ENST00000340096,.,.,0.000429995700043,0.101957431129914,.
NLGN4X,ENST00000381095,.,.,0.000439995600044,0.102879526760288,.
RASA1,ENST00000274376,.,.,0.0005399946000539,0.12183101853192,.
CYP11B1,ENST00000292427,.,.,0.0005399946000539,0.12183101853192,.
COL4A5,ENST00000328300,.,.,0.0005499945000549,0.12183101853192,.
FOXB2,ENST00000376708,.,.,0.0005499945000549,0.12183101853192,.
EIF2S3,ENST00000253039,.,.,0.0005799942000579,0.125182081512518,.
GRIN2A,ENST00000396573,.,.,0.0005799942000579,0.125182081512518,.
ZNF750,ENST00000269394,.,.,0.0006199938000619,0.130469945300547,.
ACTC1,ENST00000290378,.,.,0.0006199938000619,0.130469945300547,.
HPRT1,ENST00000298556,.,.,0.0006299937000629,0.130937579513094,.
