gene,transcript,protein_change,score,pvalue,qvalue,info
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0083965827008396,.
NF2,ENST00000338641,.,.,9.99990000099999e-06,0.0083965827008396,.
BAP1,ENST00000460680,.,.,9.99990000099999e-06,0.0083965827008396,.
SETD2,ENST00000409792,.,.,0.0008999910000899,0.566769332306677,.
EML5,ENST00000554922,.,.,0.0020120724346076,1.0,.
DOCK2,ENST00000256935,.,.,0.0030674846625766,1.0,.
FCRL3,ENST00000368184,.,.,0.0036101083032491,1.0,.
SKOR2,ENST00000425639,.,.,0.0039370078740157,1.0,.
FHOD3,ENST00000257209,.,.,0.004739336492891,1.0,.
PIPOX,ENST00000323372,.,.,0.0070150824272185,1.0,.
RP1,ENST00000220676,.,.,0.0072992700729927,1.0,.
PTCH1,ENST00000331920,.,.,0.0073917634635691,1.0,.
GPR114,ENST00000340339,.,.,0.0085470085470085,1.0,.
SGSH,ENST00000326317,.,.,0.0089610753290394,1.0,.
MYO10,ENST00000513610,.,.,0.0095087163232963,1.0,.
KCNQ2,ENST00000359125,.,.,0.0112239444147515,1.0,.
ANHX,ENST00000545940,.,.,0.0139211136890951,1.0,.
CASC3,ENST00000264645,.,.,0.0166666666666667,1.0,.
DNMT3B,ENST00000328111,.,.,0.0180505415162455,1.0,.
KIF21A,ENST00000361418,.,.,0.0188679245283019,1.0,.
AVPR2,ENST00000358927,.,.,0.0192215281114849,1.0,.
MSH2,ENST00000233146,.,.,0.0192307692307692,1.0,.
HEATR3,ENST00000299192,.,.,0.0196078431372549,1.0,.
LRBA,ENST00000357115,.,.,0.0204081632653061,1.0,.
LRP4,ENST00000378623,.,.,0.0213868003341688,1.0,.
PIK3CA,ENST00000263967,.,.,0.0214723926380368,1.0,.
DNMT3A,ENST00000264709,.,.,0.0220520056440234,1.0,.
DUSP22,ENST00000344450,.,.,0.0222222222222222,1.0,.
MED12,ENST00000374080,.,.,0.0222222222222222,1.0,.
NRAP,ENST00000359988,.,.,0.027027027027027,1.0,.
SLC22A14,ENST00000273173,.,.,0.0294117647058824,1.0,.
VAV2,ENST00000371850,.,.,0.0294117647058824,1.0,.
OFD1,ENST00000340096,.,.,0.0303030303030303,1.0,.
MEGF8,ENST00000334370,.,.,0.0307692307692308,1.0,.
ASL,ENST00000304874,.,.,0.0317460317460317,1.0,.
SCFD1,ENST00000458591,.,.,0.0338983050847458,1.0,.
PRR18,ENST00000322583,.,.,0.0344827586206897,1.0,.
USP24,ENST00000294383,.,.,0.0357142857142857,1.0,.
CHRM5,ENST00000383263,.,.,0.0357142857142857,1.0,.
