gene,transcript,protein_change,score,pvalue,qvalue,info
RB1,ENST00000267163,.,.,9.99990000099999e-06,0.0260657393426066,.
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0260657393426066,.
MYH7,ENST00000355349,.,.,9.99990000099999e-06,0.0260657393426066,.
NF1,ENST00000358273,.,.,9.99990000099999e-06,0.0260657393426066,.
F8,ENST00000360256,.,.,9.99990000099999e-06,0.0260657393426066,.
SCN8A,ENST00000354534,.,.,1.9999800002e-05,0.0434428989043443,.
ACTG1,ENST00000575842,.,.,2.9999700003e-05,0.055855155734157,.
PTEN,ENST00000371953,.,.,3.9999600004e-05,0.0651643483565165,.
COL4A5,ENST00000328300,.,.,5.99994000059999e-05,0.0868857978086885,.
SMC1A,ENST00000322213,.,.,0.000179998200018,0.234591654083459,.
ERCC6,ENST00000355832,.,.,0.00019999800002,0.236961266750969,.
TENM1,ENST00000422452,.,.,0.000249997500025,0.271518118152152,.
MTM1,ENST00000370396,.,.,0.000379996200038,0.363058512272021,.
KCNH1,ENST00000271751,.,.,0.000389996100039,0.363058512272021,.
COL3A1,ENST00000304636,.,.,0.0005399946000539,0.434428989043443,.
PLP1,ENST00000418604,.,.,0.0005899941000589,0.434428989043443,.
SLC6A3,ENST00000270349,.,.,0.0006299937000629,0.434428989043443,.
LRP5,ENST00000294304,.,.,0.0006499935000649,0.434428989043443,.
SCN1A,ENST00000303395,.,.,0.0006499935000649,0.434428989043443,.
PCDH19,ENST00000373034,.,.,0.0006999930000699,0.434428989043443,.
ARHGEF7,ENST00000375741,.,.,0.0006999930000699,0.434428989043443,.
SPAST,ENST00000315285,.,.,0.0008599914000859,0.504315391628692,.
PAK3,ENST00000360648,.,.,0.0008899911000889,0.504315391628692,.
PADI1,ENST00000375471,.,.,0.0009499905000949,0.515884424489088,.
FRMD7,ENST00000298542,.,.,0.001079989200108,0.53579575315358,.
BRCA2,ENST00000544455,.,.,0.00109998900011,0.53579575315358,.
PSEN2,ENST00000366783,.,.,0.001109988900111,0.53579575315358,.
AMY2B,ENST00000361355,.,.,0.001169988300117,0.544587768408031,.
SOD1,ENST00000270142,.,.,0.001219987800122,0.54827934479276,.
MATN1,ENST00000373765,.,.,0.001329986700133,0.563356301920852,.
ARHGAP35,ENST00000404338,.,.,0.001339986600134,0.563356301920852,.
SCN10A,ENST00000449082,.,.,0.001459985400146,0.575618410482562,.
POLD1,ENST00000440232,.,.,0.001509984900151,0.575618410482562,.
KIF1A,ENST00000498729,.,.,0.001549984500155,0.575618410482562,.
CLCN5,ENST00000376088,.,.,0.001569984300157,0.575618410482562,.
IRF6,ENST00000367021,.,.,0.001589984100159,0.575618410482562,.
MAP3K15,ENST00000338883,.,.,0.001709982900171,0.583220917790823,.
ATRX,ENST00000373344,.,.,0.001749982500175,0.583220917790823,.
NIPBL,ENST00000282516,.,.,0.001759982400176,0.583220917790823,.
DLX2,ENST00000234198,.,.,0.001789982100179,0.583220917790823,.
INPP5D,ENST00000359570,.,.,0.001869981300187,0.583376071001195,.
EOMES,ENST00000295743,.,.,0.001879981200188,0.583376071001195,.
EDA,ENST00000374552,.,.,0.0019999800002,0.601730365675067,.
WDR33,ENST00000322313,.,.,0.002089979100209,0.601730365675067,.
GTF2B,ENST00000370500,.,.,0.002109978900211,0.601730365675067,.
CYP11B1,ENST00000292427,.,.,0.002129978700213,0.601730365675067,.
