gene,transcript,protein_change,score,pvalue,qvalue,info
EPAS1,ENST00000263734,.,.,9.99990000099999e-06,0.0062966037006296,.
RET,ENST00000355710,.,.,9.99990000099999e-06,0.0062966037006296,.
HRAS,ENST00000451590,.,.,9.99990000099999e-06,0.0062966037006296,.
COL11A1,ENST00000370096,.,.,0.002840909090909,1.0,.
VHL,ENST00000256474,.,.,0.0030349013657056,1.0,.
PLEKHA7,ENST00000355661,.,.,0.0045779161325764,1.0,.
GBA,ENST00000327247,.,.,0.0046315441237283,1.0,.
BCAR1,ENST00000418647,.,.,0.0050251256281407,1.0,.
PRPF8,ENST00000572621,.,.,0.010808350873201,1.0,.
FAM72B,ENST00000369390,.,.,0.0136986301369863,1.0,.
KCNH5,ENST00000322893,.,.,0.014239857601424,1.0,.
NF1,ENST00000358273,.,.,0.018839811601884,1.0,.
FLT1,ENST00000282397,.,.,0.0188679245283019,1.0,.
DOCK2,ENST00000256935,.,.,0.019047619047619,1.0,.
CDH20,ENST00000262717,.,.,0.0196078431372549,1.0,.
PREB,ENST00000260643,.,.,0.024390243902439,1.0,.
LMNA,ENST00000368300,.,.,0.0246913580246914,1.0,.
TM9SF4,ENST00000398022,.,.,0.024896265560166,1.0,.
GON4L,ENST00000437809,.,.,0.0253164556962025,1.0,.
AGBL2,ENST00000525123,.,.,0.0255102040816327,1.0,.
CYP4A11,ENST00000310638,.,.,0.0256410256410256,1.0,.
PAX3,ENST00000392069,.,.,0.0266666666666667,1.0,.
MECP2,ENST00000453960,.,.,0.027027027027027,1.0,.
ARAP3,ENST00000239440,.,.,0.0274725274725275,1.0,.
ASB9,ENST00000380488,.,.,0.0283018867924528,1.0,.
SPATA31D1,ENST00000344803,.,.,0.0285714285714286,1.0,.
RSRC2,ENST00000331738,.,.,0.029585798816568,1.0,.
ENAM,ENST00000396073,.,.,0.0303030303030303,1.0,.
VPS8,ENST00000437079,.,.,0.0303030303030303,1.0,.
ATRX,ENST00000373344,.,.,0.03125,1.0,.
BMP8A,ENST00000331593,.,.,0.0320855614973262,1.0,.
FAM167A,ENST00000284486,.,.,0.032258064516129,1.0,.
OLIG3,ENST00000367734,.,.,0.0326797385620915,1.0,.
ZNF574,ENST00000600245,.,.,0.0335820895522388,1.0,.
FANCC,ENST00000289081,.,.,0.0343137254901961,1.0,.
TBX2,ENST00000240328,.,.,0.0348258706467662,1.0,.
CDC73,ENST00000367435,.,.,0.0348837209302326,1.0,.
FGFR2,ENST00000457416,.,.,0.0350877192982456,1.0,.
KCNH6,ENST00000583023,.,.,0.0355329949238579,1.0,.
ZPLD1,ENST00000306176,.,.,0.0357142857142857,1.0,.
JAG2,ENST00000331782,.,.,0.0357142857142857,1.0,.
DOCK4,ENST00000437633,.,.,0.0363636363636364,1.0,.
RANBP2,ENST00000283195,.,.,0.0368071503941406,1.0,.
MRGPRX3,ENST00000396275,.,.,0.0368421052631579,1.0,.
IGSF22,ENST00000513874,.,.,0.0368421052631579,1.0,.
USP15,ENST00000280377,.,.,0.0369644357322879,1.0,.
USP9X,ENST00000324545,.,.,0.0373134328358209,1.0,.
ERCC6L,ENST00000334463,.,.,0.037593984962406,1.0,.
C6orf58,ENST00000329722,.,.,0.0379746835443038,1.0,.
KLRD1,ENST00000336164,.,.,0.0381679389312977,1.0,.
BOD1L1,ENST00000040738,.,.,0.0383912248628885,1.0,.
ABCD3,ENST00000370214,.,.,0.0394088669950739,1.0,.
SLC35A4,ENST00000514199,.,.,0.0394736842105263,1.0,.
SAT1,ENST00000379270,.,.,0.0396039603960396,1.0,.
CDK19,ENST00000368911,.,.,0.0414201183431953,1.0,.
ST6GAL1,ENST00000169298,.,.,0.0419161676646707,1.0,.
CAGE1,ENST00000502583,.,.,0.0419161676646707,1.0,.
PSMA7,ENST00000370873,.,.,0.0424242424242424,1.0,.
GAK,ENST00000314167,.,.,0.0426829268292683,1.0,.
TP53,ENST00000269305,.,.,0.0429184549356223,1.0,.
HTT,ENST00000355072,.,.,0.043010752688172,1.0,.
F8,ENST00000360256,.,.,0.0431034482758621,1.0,.
ALOX15,ENST00000570836,.,.,0.0431372549019608,1.0,.
EPOR,ENST00000222139,.,.,0.0434782608695652,1.0,.
H2AFX,ENST00000530167,.,.,0.0434782608695652,1.0,.
PRPS2,ENST00000398491,.,.,0.043956043956044,1.0,.
FXR1,ENST00000357559,.,.,0.0454545454545455,1.0,.
CACNA1A,ENST00000360228,.,.,0.0459363957597173,1.0,.
VAMP3,ENST00000054666,.,.,0.0459770114942529,1.0,.
TGFBR3,ENST00000212355,.,.,0.0459770114942529,1.0,.
POLR3B,ENST00000228347,.,.,0.0461538461538462,1.0,.
TFAP2C,ENST00000201031,.,.,0.046875,1.0,.
SZT2,ENST00000562955,.,.,0.0472280392372975,1.0,.
