gene,transcript,protein_change,score,pvalue,qvalue,info
KRAS,ENST00000256078,.,.,9.99990000099999e-06,0.0125518744812552,.
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0125518744812552,.
AMER1,ENST00000330258,.,.,9.99990000099999e-06,0.0125518744812552,.
SMAD4,ENST00000342988,.,.,9.99990000099999e-06,0.0125518744812552,.
APC,ENST00000457016,.,.,9.99990000099999e-06,0.0125518744812552,.
FBXW7,ENST00000281708,.,.,1.9999800002e-05,0.020919790802092,.
FGF13,ENST00000370603,.,.,5.99994000059999e-05,0.0537937477768079,.
FBN1,ENST00000316623,.,.,0.000109998900011,0.083679163208368,.
TCF7L2,ENST00000543371,.,.,0.000119998800012,0.083679163208368,.
SMARCA1,ENST00000371122,.,.,0.000239997600024,0.150622493775062,.
TBX20,ENST00000408931,.,.,0.0009599904000959,0.547718159182044,.
CACNA1F,ENST00000376265,.,.,0.001189988100119,0.622363776362237,.
TMEFF1,ENST00000374879,.,.,0.001429985700143,0.690353096469036,.
RSF1,ENST00000308488,.,.,0.00229997700023,1.0,.
LRRK2,ENST00000298910,.,.,0.002549974500255,1.0,.
PRRG1,ENST00000542554,.,.,0.002920753258856,1.0,.
NF1,ENST00000358273,.,.,0.002939970600294,1.0,.
SLITRK4,ENST00000381779,.,.,0.003109968900311,1.0,.
F8,ENST00000360256,.,.,0.003149968500315,1.0,.
NKX6-1,ENST00000295886,.,.,0.003449965500345,1.0,.
KCNH2,ENST00000262186,.,.,0.003549964500355,1.0,.
KIAA0195,ENST00000314256,.,.,0.003939960600394,1.0,.
PAH,ENST00000553106,.,.,0.00459995400046,1.0,.
SOX9,ENST00000245479,.,.,0.0049199508004919,1.0,.
COL6A1,ENST00000361866,.,.,0.0050599494005059,1.0,.
KIF4A,ENST00000374403,.,.,0.0054399456005439,1.0,.
AFF2,ENST00000370460,.,.,0.0055881795794658,1.0,.
MAOB,ENST00000378069,.,.,0.0068745502003286,1.0,.
MYO7A,ENST00000409709,.,.,0.0072399276007239,1.0,.
ZNF493,ENST00000392288,.,.,0.0081499185008149,1.0,.
ELFN1,ENST00000424383,.,.,0.0095399046009539,1.0,.
PKP2,ENST00000070846,.,.,0.01029989700103,1.0,.
HS3ST4,ENST00000331351,.,.,0.0110270135948064,1.0,.
PHKA2,ENST00000379942,.,.,0.011219887801122,1.0,.
PLK1,ENST00000300093,.,.,0.011529884701153,1.0,.
ASXL1,ENST00000375687,.,.,0.012359876401236,1.0,.
MYH4,ENST00000255381,.,.,0.012549874501255,1.0,.
SOX11,ENST00000322002,.,.,0.0135135135135135,1.0,.
PIP4K2B,ENST00000269554,.,.,0.013569864301357,1.0,.
MAP3K9,ENST00000555993,.,.,0.014779852201478,1.0,.
AHCYL1,ENST00000369799,.,.,0.014919850801492,1.0,.
NBN,ENST00000265433,.,.,0.015309846901531,1.0,.
ATRX,ENST00000373344,.,.,0.016029839701603,1.0,.
P2RY10,ENST00000171757,.,.,0.0161565125433288,1.0,.
DNM2,ENST00000389253,.,.,0.01639983600164,1.0,.
STAT2,ENST00000314128,.,.,0.01649983500165,1.0,.
RBMX,ENST00000320676,.,.,0.017559824401756,1.0,.
GJA8,ENST00000240986,.,.,0.018449815501845,1.0,.
ATP6V1B1,ENST00000234396,.,.,0.018779812201878,1.0,.
BRIP1,ENST00000259008,.,.,0.018889811101889,1.0,.
EYS,ENST00000503581,.,.,0.019189808101919,1.0,.
BEST4,ENST00000372207,.,.,0.020049799502005,1.0,.
DEPDC7,ENST00000241051,.,.,0.020139798602014,1.0,.
MYO3A,ENST00000265944,.,.,0.020729792702073,1.0,.
ADCY2,ENST00000338316,.,.,0.0209723956763275,1.0,.
OTC,ENST00000039007,.,.,0.021106083601651,1.0,.
MKL1,ENST00000355630,.,.,0.02129978700213,1.0,.
C21orf91,ENST00000284881,.,.,0.0214592274678112,1.0,.
ANO2,ENST00000327087,.,.,0.022119778802212,1.0,.
PTEN,ENST00000371953,.,.,0.022549774502255,1.0,.
VWDE,ENST00000275358,.,.,0.0228876091727175,1.0,.
SMAD2,ENST00000402690,.,.,0.022939770602294,1.0,.
PCYT1B,ENST00000379144,.,.,0.02319976800232,1.0,.
WDHD1,ENST00000360586,.,.,0.023279767202328,1.0,.
TENM1,ENST00000422452,.,.,0.023289767102329,1.0,.
ANO5,ENST00000324559,.,.,0.0236805051841106,1.0,.
RB1CC1,ENST00000025008,.,.,0.023809761902381,1.0,.
DCT,ENST00000446125,.,.,0.024029759702403,1.0,.
UBE4B,ENST00000343090,.,.,0.024559754402456,1.0,.
SENP2,ENST00000296257,.,.,0.0248380129589633,1.0,.
OR4A5,ENST00000319760,.,.,0.025,1.0,.
PAK3,ENST00000360648,.,.,0.0253968253968254,1.0,.
ERAP1,ENST00000296754,.,.,0.02589974100259,1.0,.
GATA2,ENST00000341105,.,.,0.02609973900261,1.0,.
NAA15,ENST00000296543,.,.,0.0264608599779493,1.0,.
RIMBP3,ENST00000426804,.,.,0.0266821345707657,1.0,.
TOPBP1,ENST00000260810,.,.,0.0267857142857143,1.0,.
TF,ENST00000402696,.,.,0.0267857142857143,1.0,.
ALAS2,ENST00000330807,.,.,0.0273037542662116,1.0,.
SMARCA4,ENST00000429416,.,.,0.028489715102849,1.0,.
GRPEL2,ENST00000329271,.,.,0.0301339285714286,1.0,.
TRIM48,ENST00000417545,.,.,0.0304878048780488,1.0,.
ACTN2,ENST00000366578,.,.,0.030569694303057,1.0,.
LAMB1,ENST00000222399,.,.,0.030809691903081,1.0,.
ALK,ENST00000389048,.,.,0.030939690603094,1.0,.
KCNA5,ENST00000252321,.,.,0.030969690303097,1.0,.
RHOT1,ENST00000358365,.,.,0.0310945273631841,1.0,.
GRWD1,ENST00000253237,.,.,0.03125,1.0,.
MRGPRD,ENST00000309106,.,.,0.0313676286072773,1.0,.
ADAR,ENST00000368474,.,.,0.0318809776833156,1.0,.
TTC7A,ENST00000319190,.,.,0.032579674203258,1.0,.
ABCC2,ENST00000370449,.,.,0.0326481257557437,1.0,.
MFSD6,ENST00000392328,.,.,0.0326481257557437,1.0,.
TAF5,ENST00000369839,.,.,0.0330357142857143,1.0,.
GABBR2,ENST00000259455,.,.,0.033069669303307,1.0,.
PLEKHG2,ENST00000409794,.,.,0.033169668303317,1.0,.
UPK3A,ENST00000216211,.,.,0.0333745364647713,1.0,.
SMC1B,ENST00000357450,.,.,0.0333745364647713,1.0,.
UVRAG,ENST00000356136,.,.,0.0334158415841584,1.0,.
DIDO1,ENST00000266070,.,.,0.0335195530726257,1.0,.
ASNSD1,ENST00000260952,.,.,0.033649663503365,1.0,.
LIPT1,ENST00000393477,.,.,0.0337078651685393,1.0,.
FAM129C,ENST00000335393,.,.,0.033717834960071,1.0,.
JAK3,ENST00000458235,.,.,0.033717834960071,1.0,.
