gene,transcript,protein_change,score,pvalue,qvalue,info
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.013669863301367,.
PTEN,ENST00000371953,.,.,9.99990000099999e-06,0.013669863301367,.
FOXA2,ENST00000419308,.,.,9.99990000099999e-05,0.0911324220091132,.
F8,ENST00000360256,.,.,0.0005199948000519,0.355416445835541,.
MYH7,ENST00000355349,.,.,0.0015519844237199,0.7400940682841,.
NHS,ENST00000380060,.,.,0.001840704442565,0.7400940682841,.
SCRIB,ENST00000356994,.,.,0.0019633507853403,0.7400940682841,.
MAP3K19,ENST00000375845,.,.,0.00219997800022,0.7400940682841,.
SCN3A,ENST00000283254,.,.,0.002436300883159,0.7400940682841,.
CACNA1A,ENST00000360228,.,.,0.002739972600274,0.749108508914912,.
NOTCH1,ENST00000277541,.,.,0.0033501468041858,0.832663760240361,.
SORCS1,ENST00000344440,.,.,0.0038454495513642,0.876121589452481,.
RB1,ENST00000267163,.,.,0.0044040517275893,0.926205955633028,.
POLR1A,ENST00000263857,.,.,0.0094165273255302,1.0,.
BCOR,ENST00000378444,.,.,0.0094966172180497,1.0,.
FER1L6,ENST00000522917,.,.,0.0097257482032395,1.0,.
APAF1,ENST00000551964,.,.,0.0178411131059246,1.0,.
KRAS,ENST00000256078,.,.,0.0185172484740416,1.0,.
DSCAM,ENST00000400454,.,.,0.0258713618397413,1.0,.
RAD54B,ENST00000336148,.,.,0.0273972602739726,1.0,.
PSMG2,ENST00000317615,.,.,0.0276679841897233,1.0,.
NF1,ENST00000358273,.,.,0.028409715902841,1.0,.
CYP7B1,ENST00000310193,.,.,0.0285714285714286,1.0,.
TBXAS1,ENST00000416849,.,.,0.0290322580645161,1.0,.
AKAP3,ENST00000545990,.,.,0.0292682926829268,1.0,.
CUX1,ENST00000360264,.,.,0.0295081967213115,1.0,.
NSL1,ENST00000366977,.,.,0.0296296296296296,1.0,.
ADIPOR1,ENST00000340990,.,.,0.030188679245283,1.0,.
KLC1,ENST00000452929,.,.,0.0309278350515464,1.0,.
ROBO2,ENST00000487694,.,.,0.0309973045822102,1.0,.
TMEM123,ENST00000398136,.,.,0.0315315315315315,1.0,.
GLYCTK,ENST00000436784,.,.,0.0317460317460317,1.0,.
SLC25A28,ENST00000370495,.,.,0.0321543408360129,1.0,.
TSGA13,ENST00000456951,.,.,0.0327272727272727,1.0,.
CHD4,ENST00000357008,.,.,0.033239667603324,1.0,.
DAAM1,ENST00000395125,.,.,0.034220359063155,1.0,.
FAM65A,ENST00000422602,.,.,0.0343347639484979,1.0,.
C19orf26,ENST00000590083,.,.,0.0343347639484979,1.0,.
SAV1,ENST00000324679,.,.,0.0345358049380817,1.0,.
ZNF283,ENST00000324461,.,.,0.0357142857142857,1.0,.
FBXW7,ENST00000281708,.,.,0.035739642603574,1.0,.
CEP70,ENST00000264982,.,.,0.036101083032491,1.0,.
TGFBR3,ENST00000212355,.,.,0.0361990950226244,1.0,.
VN1R2,ENST00000341702,.,.,0.0367647058823529,1.0,.
CPNE4,ENST00000512055,.,.,0.0367647058823529,1.0,.
