gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
UBR4,0.99999964
MUC16,0.9999995
PIK3CA,0.99999917
SETD2,0.9999957
FAT1,0.9999949
CUL4A,0.9999924
FANCC,0.9999918
MTOR,0.9999865
PRDM2,0.999985
HTT,0.99998236
KAT6A,0.9999726
LAMA4,0.9999696
ATP12A,0.9999691
OBSCN,0.9999671
HMCN1,0.9999671
NCKAP1L,0.99996614
SREBF2,0.9999647
KMT2C,0.9999634
MCF2,0.9999628
APAF1,0.9999597
TNFAIP3,0.99995923
KMT2A,0.9999567
TP53BP1,0.99995494
MAML1,0.9999542
ATRX,0.9999509
CEBPZ,0.9999497
BHLHE40,0.99994826
HIPK1,0.9999474
HMGA2,0.9999466
CDKN2A,0.9999461
CDKN2C,0.999946
FGFR4,0.9999449
NOTCH4,0.999943
ALK,0.999943
IGF1R,0.9999424
KIT,0.99993944
HUWE1,0.99993837
IRF7,0.9999244
USP28,0.9999229
SMARCC1,0.9999229
ARNT,0.9999217
RORC,0.9999187
FOXA2,0.9999174
BCR,0.99991655
SUPT6H,0.99991405
TAF1,0.9999138
MAPK6,0.99991214
ACACA,0.99990463
CUL9,0.99989915
TP63,0.9998975
POLA1,0.99989724
ATM,0.9998964
DAB2IP,0.99989605
PC,0.99989605
EHMT1,0.99989545
WT1,0.9998946
USP9X,0.99989235
WDR33,0.99989176
BICD1,0.99989116
MPDZ,0.99988854
TNK2,0.99988794
TUBA8,0.9998859
APC,0.9998858
ATR,0.9998851
SCO2,0.9998808
ECD,0.99987733
PER2,0.9998766
SETD1A,0.99987257
DOCK7,0.99986947
PPARGC1A,0.99986875
PHC3,0.9998648
FBXO21,0.9998646
MAP1B,0.99984837
LRRC7,0.9998479
IRF9,0.9998429
JUN,0.9998429
CDH16,0.99984276
BRCA2,0.99984217
ZNF148,0.9998419
PPP1R13L,0.99983895
GTF2I,0.99983764
EIF3B,0.9998267
AGO2,0.99982506
PARD3,0.99982446
TLR4,0.9998184
ARID3A,0.9998161
PHKA2,0.9998148
ERCC3,0.999808
HRAS,0.9998066
MYH9,0.99980396
NFYB,0.9997962
SERPINB9,0.9997832
TADA3,0.99978155
MYPN,0.99976367
NOTCH1,0.99973696
TOP1MT,0.99972624
RP1,0.9996985
USO1,0.9996946
ARHGEF1,0.9996915
CASP3,0.9996544
NEB,0.99961
SAT1,0.9995803
RYR3,0.99953854
