gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
ARID1A,0.99999976
UBR4,0.99999964
MUC16,0.9999995
PIK3CA,0.99999917
CSMD1,0.9999988
FBXO11,0.99999666
SETD2,0.9999957
FAT1,0.9999949
IRS4,0.9999937
CREBBP,0.999992
FANCC,0.9999918
GFM2,0.9999918
NCOR1,0.99999154
CBLB,0.9999895
KLF5,0.99998534
PRDM2,0.999985
PPP2R5C,0.999982
MYO9A,0.99997914
TBC1D4,0.9999782
ZNF668,0.99997807
KRAS,0.9999776
MYCBP2,0.9999753
TEP1,0.9999738
NCOA3,0.99997354
PHF20,0.9999734
HR,0.9999733
ANK2,0.99996996
LAMA4,0.9999696
CDH18,0.9999691
ATP12A,0.9999691
PDGFRA,0.999969
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
SMG7,0.99996686
GYS2,0.9999665
NCKAP1L,0.99996614
SREBF2,0.9999647
MCF2,0.9999628
ZFYVE16,0.9999628
TNR,0.9999621
CREBZF,0.99995947
TNFAIP3,0.99995923
MEN1,0.9999589
TLR5,0.9999554
TP53BP1,0.99995494
NCOA2,0.99995494
MAML1,0.9999542
TLR2,0.99995255
ATRX,0.9999509
PHKB,0.9999504
ASPM,0.9999502
PLAGL1,0.99994946
FOXL2,0.99994886
PRMT3,0.9999478
HIPK1,0.9999474
TLR8,0.99994576
AXIN1,0.99994445
NOTCH4,0.999943
ALK,0.999943
SP3,0.9999424
IGF1R,0.9999424
TWIST1,0.9999422
MTA1,0.99994135
KIT,0.99993944
MAPK8IP3,0.99993896
MAP3K1,0.9999386
HUWE1,0.99993837
CCNG1,0.99993753
CSNK1G1,0.9999374
PLCE1,0.99993694
BRCC3,0.9999368
MNDA,0.9999367
SMAD2,0.9999356
HERC2,0.9999354
TRIM24,0.9999354
ZNF420,0.99993503
EXOSC7,0.99993455
MDM2,0.9999331
MYL9,0.99993277
RB1CC1,0.9999293
MET,0.9999275
ZNF679,0.9999263
TOPBP1,0.999926
USP28,0.9999229
IL13RA2,0.99992275
KMT2E,0.9999225
MED1,0.99992216
PRKD1,0.9999219
TLR6,0.9999217
