gene,pvalue
NTRK1,0.9616985
APP,0.9613723
TP53,0.9571673
EFTUD2,0.95531535
UBC,0.9543872
CUL3,0.9514128
EGFR,0.9507765
XPO1,0.94975424
HSP90AA1,0.9491717
GRB2,0.9469497
HSP90AB1,0.9426167
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
YWHAZ,0.93681335
EP300,0.93484867
CTNNB1,0.93459725
MCM2,0.93447316
EGLN3,0.9331598
HSPA8,0.9330098
CDK2,0.9304886
HDAC1,0.92831343
ACTB,0.92552125
AKT1,0.9238593
MYC,0.923666
CUL7,0.92276764
BRCA1,0.92137
HNRNPA1,0.9195045
PRPF8,0.9180546
VCP,0.9154379
RNF4,0.9153354
FLNA,0.91180944
YWHAE,0.91137576
SMAD3,0.91078967
RELA,0.9105929
MAPK1,0.90952516
HSPA5,0.9093909
BTRC,0.90714633
MDM2,0.90443313
CDC5L,0.9027654
CFTR,0.90269536
TRAF2,0.9014527
FBXW11,0.9005506
AR,0.8994237
CHD4,0.8991725
SIRT7,0.8971633
IKBKE,0.8935251
SNW1,0.8929188
RPA1,0.89207494
ARRB2,0.8912443
EEF1A1,0.88925594
PPP1CA,0.88907146
LRRK2,0.8885469
CREBBP,0.8852111
AURKA,0.8833601
CUL2,0.87996554
FLNB,0.8792728
CYLD,0.87832916
RNF2,0.8776943
NPM1,0.87638044
RPS27A,0.87578416
PIK3R1,0.87569916
EWSR1,0.87561285
U2AF2,0.87316024
LMNA,0.8722168
ABL1,0.8715843
CUL5,0.8713639
