gene,pvalue
NTRK1,0.9616985
APP,0.9613723
TP53,0.9571673
EFTUD2,0.95531535
UBC,0.9543872
CUL3,0.9514128
EGFR,0.9507765
XPO1,0.94975424
HSP90AA1,0.9491717
GRB2,0.9469497
HSP90AB1,0.9426167
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
EP300,0.93484867
CTNNB1,0.93459725
MCM2,0.93447316
TRAF6,0.9341577
EGLN3,0.9331598
CDK2,0.9304886
HDAC1,0.92831343
ACTB,0.92552125
AKT1,0.9238593
MYC,0.923666
CUL7,0.92276764
BRCA1,0.92137
HNRNPA1,0.9195045
CSNK2A1,0.9185769
PRPF8,0.9180546
CDH1,0.9163656
VCP,0.9154379
IKBKG,0.91287637
FLNA,0.91180944
YWHAE,0.91137576
RELA,0.9105929
MAPK1,0.90952516
HSPA5,0.9093909
COPS5,0.90844095
SMAD2,0.90806496
BTRC,0.90714633
HNRNPU,0.9059241
UBB,0.90360564
CDC5L,0.9027654
CFTR,0.90269536
TRAF2,0.9014527
FBXW11,0.9005506
AR,0.8994237
CHD4,0.8991725
YWHAB,0.8983487
SIRT7,0.8971633
