gene,pvalue
NTRK1,0.9616985
TP53,0.9571673
EFTUD2,0.95531535
HSP90AA1,0.9491717
FN1,0.9398007
CUL1,0.9379864
EP300,0.93484867
CTNNB1,0.93459725
MCM2,0.93447316
HSPA8,0.9330098
BRCA1,0.92137
HNRNPA1,0.9195045
PRPF8,0.9180546
FLNA,0.91180944
HSPA5,0.9093909
SMAD2,0.90806496
BTRC,0.90714633
MDM2,0.90443313
UBB,0.90360564
CFTR,0.90269536
RPA2,0.8892447
LRRK2,0.8885469
CREBBP,0.8852111
AURKA,0.8833601
CUL2,0.87996554
FLNB,0.8792728
CYLD,0.87832916
SRC,0.8729519
CAND1,0.868309
TTN,0.8677549
PRKACA,0.86651415
RPSA,0.86465347
SMAD4,0.86442566
OBSL1,0.86375284
RPL14,0.86358637
SF3B1,0.8632948
PRKCA,0.8630786
ERBB2,0.86272216
RPS11,0.8627149
DHX15,0.8621296
