gene,pvalue
NTRK1,0.9616985
APP,0.9613723
TP53,0.9571673
EFTUD2,0.95531535
UBC,0.9543872
CUL3,0.9514128
EGFR,0.9507765
XPO1,0.94975424
HSP90AA1,0.9491717
GRB2,0.9469497
HSP90AB1,0.9426167
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
YWHAZ,0.93681335
EP300,0.93484867
CTNNB1,0.93459725
MCM2,0.93447316
TRAF6,0.9341577
EGLN3,0.9331598
HSPA8,0.9330098
CDK2,0.9304886
HDAC1,0.92831343
ACTB,0.92552125
AKT1,0.9238593
MYC,0.923666
CUL7,0.92276764
BRCA1,0.92137
HNRNPA1,0.9195045
VHL,0.91932416
CSNK2A1,0.9185769
PRPF8,0.9180546
PRKN,0.9166391
CDH1,0.9163656
VCP,0.9154379
RNF4,0.9153354
IKBKG,0.91287637
FLNA,0.91180944
YWHAE,0.91137576
SMAD3,0.91078967
RELA,0.9105929
MAPK1,0.90952516
HSPA5,0.9093909
COPS5,0.90844095
SMAD2,0.90806496
BTRC,0.90714633
HNRNPU,0.9059241
MDM2,0.90443313
UBB,0.90360564
CDC5L,0.9027654
CFTR,0.90269536
TRAF2,0.9014527
FBXW11,0.9005506
AR,0.8994237
CHD4,0.8991725
YWHAB,0.8983487
SIRT7,0.8971633
YWHAQ,0.89587086
IKBKE,0.8935251
SNW1,0.8929188
RPA1,0.89207494
ARRB2,0.8912443
EEF1A1,0.88925594
RPA2,0.8892447
PPP1CA,0.88907146
LRRK2,0.8885469
TGFB1,0.88773745
CREBBP,0.8852111
HGS,0.8834392
AURKA,0.8833601
CUL2,0.87996554
FLNB,0.8792728
CYLD,0.87832916
RNF2,0.8776943
RPS8,0.87715125
NPM1,0.87638044
RPS27A,0.87578416
PIK3R1,0.87569916
EWSR1,0.87561285
U2AF2,0.87316024
SRC,0.8729519
LMNA,0.8722168
ABL1,0.8715843
HSPD1,0.8714585
CUL5,0.8713639
RPS2,0.8705884
RPL4,0.8701421
RPL13,0.8698454
RPL7,0.86978984
HDAC2,0.86950797
PCBP1,0.86854523
CAND1,0.868309
RPL18,0.8680942
TTN,0.8677549
PRKACA,0.86651415
RPS16,0.8659816
RPS15A,0.8657565
HSPB1,0.86523926
RPL10A,0.86497796
RPL6,0.8647928
HNRNPM,0.86467314
RPSA,0.86465347
CSNK2B,0.86452955
SMAD4,0.86442566
HSP90B1,0.864165
OBSL1,0.86375284
MCM5,0.86373156
PSMA3,0.8636126
RPL14,0.86358637
RPL31,0.863578
RPL18A,0.8635528
RPL3,0.86336017
RPLP0,0.8633274
SF3B1,0.8632948
PRKCA,0.8630786
HUWE1,0.86294836
ERBB2,0.86272216
RPS11,0.8627149
RPS4X,0.8624983
RPL9,0.8624808
RPS3A,0.86227155
MAPK3,0.8621575
DHX15,0.8621296
RPL8,0.86206234
RPL23A,0.8620082
SKP1,0.86188495
RPS20,0.86172193
SRRM1,0.8616761
RPL37A,0.8616748
RPL24,0.86133826
FBXO6,0.86132014
RPL7A,0.8610163
RPS13,0.860813
RPS9,0.86070555
NFKB1,0.86060256
RPL30,0.8605237
RPS5,0.860077
SHC1,0.86001813
SF3A1,0.85972327
RPS10,0.85964966
RPL10,0.85962343
PSMA1,0.8596102
CDC34,0.8593785
RPL15,0.85926855
RPL27,0.85917544
CSNK2A2,0.85902137
RPL22,0.8590058
REL,0.85883015
NOP56,0.858689
SNRPA,0.8583045
RPS25,0.85781515
COL6A2,0.85779685
RPL21,0.85777825
KRT31,0.8577725
RPA3,0.8575129
RPL19,0.8574691
CDKN1A,0.8571081
CASP8,0.85686195
RAF1,0.8562864
RPS18,0.85619056
RAC1,0.8560328
RPL12,0.85554093
PPP1CB,0.8554579
CHD3,0.8553759
UBE2I,0.85519874
HNRNPA3,0.8550657
SF3B2,0.8549432
RPS23,0.8548689
TUBA4A,0.8548324
HSPA1L,0.85471976
PXN,0.8543476
PSMB1,0.8542857
RPL27A,0.8542224
RNPS1,0.853754
SF3A2,0.85338116
MCM7,0.8531577
