gene,pvalue
APP,0.9613723
TP53,0.9571673
CUL3,0.9514128
EGFR,0.9507765
XPO1,0.94975424
EP300,0.93484867
HNRNPA1,0.9195045
CSNK2A1,0.9185769
FLNA,0.91180944
HSPA5,0.9093909
UBB,0.90360564
AR,0.8994237
YWHAQ,0.89587086
IKBKE,0.8935251
SNW1,0.8929188
LRRK2,0.8885469
CREBBP,0.8852111
TTN,0.8677549
HNRNPM,0.86467314
HSP90B1,0.864165
OBSL1,0.86375284
RPLP0,0.8633274
HUWE1,0.86294836
ERBB2,0.86272216
RPS5,0.860077
CASP8,0.85686195
RNPS1,0.853754
APC,0.8521969
MYH9,0.8519694
CASP3,0.85089636
RBM17,0.8482396
TUBB,0.84667796
