gene,pvalue
TP53,0.9571673
XPO1,0.94975424
EP300,0.93484867
CTNNB1,0.93459725
EGLN3,0.9331598
AKT1,0.9238593
VHL,0.91932416
TRAF2,0.9014527
HGS,0.8834392
FLNB,0.8792728
CYLD,0.87832916
RPS2,0.8705884
RPL18,0.8680942
TTN,0.8677549
SF3B1,0.8632948
HUWE1,0.86294836
ERBB2,0.86272216
CDC34,0.8593785
CHD3,0.8553759
PXN,0.8543476
SF3A2,0.85338116
MYH9,0.8519694
SOS2,0.84727687
U2SURP,0.84638
STUB1,0.8458725
FLNC,0.84462106
SNRPD2,0.8432951
NF2,0.84234095
CLTC,0.8418917
PSMA5,0.84161985
NTRK2,0.83992803
MAP2K1,0.8374078
RPL11,0.8356294
PPP2R1A,0.8338868
HRAS,0.8336046
DHX8,0.83313364
HERC2,0.83247185
KRAS,0.83239853
SHC4,0.8319564
SF3B3,0.8311585
