gene,Score,p,qvalue
HYDIN,1.0,0.0,0.0
ANKRD12,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
BRCA1,1.0,0.0,0.0
SMG1,1.0,0.0,0.0
KMT2C,1.0,0.0,0.0
ESR1,1.0,0.0,0.0
MAPK1,1.0,0.0,0.0
KIAA0907,1.0,0.0,0.0
NSD1,1.0,0.0,0.0
HMCN1,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
SACS,1.0,0.0,0.0
CUL1,1.0,0.0,0.0
NAV3,1.0,0.0,0.0
UBR5,1.0,0.0,0.0
CREBBP,1.0,0.0,0.0
ABCF1,1.0,0.0,0.0
FLG,1.0,0.0,0.0
EP300,1.0,0.0,0.0
SF1,1.0,0.0,0.0
STAB1,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
STK11,1.0,0.0,0.0
NIPBL,1.0,0.0,0.0
HCFC1,1.0,0.0,0.0
FN1,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
NOTCH1,1.0,0.0,0.0
USH2A,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
GALK1,1.0,0.0,0.0
PATZ1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
RYR2,1.0,0.0,0.0
MUC4,1.0,0.0,0.0
C3orf70,1.0,0.0,0.0
CCDC8,1.0,0.0,0.0
HUWE1,1.0,0.0,0.0
SLIT3,1.0,0.0,0.0
MUC5B,1.0,0.0,0.0
HLA-B,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
ERBB2,1.0,0.0,0.0
SMAD4,1.0,0.0,0.0
CSMD1,1.0,0.0,0.0
ZFHX3,1.0,0.0,0.0
GPR98,1.0,0.0,0.0
TCF7L2,1.0,0.0,0.0
LATS1,1.0,0.0,0.0
KLF5,1.0,0.0,0.0
UBC,1.0,0.0,0.0
FAT1,1.0,0.0,0.0
DMD,1.0,0.0,0.0
TNFRSF14,1.0,0.0,0.0
LAMA5,1.0,0.0,0.0
RB1,1.0,0.0,0.0
TP53,1.0,0.0,0.0
NXF1,1.0,0.0,0.0
FAS,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
MED12,1.0,0.0,0.0
TRIM5,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
NFE2L2,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
NTRK1,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
SYNE2,1.0,0.0,0.0
ARID1B,1.0,0.0,0.0
NEB,1.0,0.0,0.0
ZNF750,1.0,0.0,0.0
C12orf43,1.0,0.0,0.0
ROCK2,1.0,0.0,0.0
AKT1,1.0,0.0,0.0
CHIT1,1.0,0.0,0.0
PIK3R1,1.0,0.0,0.0
APP,1.0,0.0,0.0
SPEN,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
APOD,1.0,0.0,0.0
TRIP12,1.0,0.0,0.0
ABCA12,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
MAP3K1,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
INTS12,0.9999999,0.0029897600717543327,0.39183443763933257
KRT14,0.9999999,0.0029897600717543327,0.39183443763933257
UBR4,0.9999999,0.0029897600717543327,0.39183443763933257
BAZ1B,0.9999999,0.0029897600717543327,0.39183443763933257
KDM6A,0.9999999,0.0029897600717543327,0.39183443763933257
PRKDC,0.9999999,0.0029897600717543327,0.39183443763933257
AHI1,0.9999999,0.0029897600717543327,0.39183443763933257
NBEAL1,0.9999999,0.0029897600717543327,0.39183443763933257
PLB1,0.9999999,0.0029897600717543327,0.39183443763933257
ANK3,0.9999999,0.0029897600717543327,0.39183443763933257
CASP8,0.9999999,0.0029897600717543327,0.39183443763933257
DSP,0.9999999,0.0029897600717543327,0.39183443763933257
CSMD3,0.9999999,0.0029897600717543327,0.39183443763933257
BSN,0.9999999,0.0029897600717543327,0.39183443763933257
OR1S2,0.9999999,0.0029897600717543327,0.39183443763933257
SPATA5L1,0.99999976,0.003587712086105088,0.44407902932456317
OBSCN,0.99999976,0.003587712086105088,0.44407902932456317
CTCF,0.99999976,0.003587712086105088,0.44407902932456317
MDN1,0.99999976,0.003587712086105088,0.44407902932456317
DDX3X,0.99999976,0.003587712086105088,0.44407902932456317
CEBPZ,0.99999976,0.003587712086105088,0.44407902932456317
ZBTB7A,0.99999964,0.004110920098662096,0.45044901540094184
YY2,0.99999964,0.004110920098662096,0.45044901540094184
CUL7,0.99999964,0.004110920098662096,0.45044901540094184
MUC17,0.99999964,0.004110920098662096,0.45044901540094184
PGR,0.99999964,0.004110920098662096,0.45044901540094184
CELSR1,0.99999964,0.004110920098662096,0.45044901540094184
NOTCH3,0.99999964,0.004110920098662096,0.45044901540094184
ATRX,0.99999964,0.004110920098662096,0.45044901540094184
IFT74,0.99999964,0.004110920098662096,0.45044901540094184
HLA-A,0.99999964,0.004110920098662096,0.45044901540094184
OR10G7,0.99999964,0.004110920098662096,0.45044901540094184
RNF2,0.99999964,0.004110920098662096,0.45044901540094184
CIC,0.99999964,0.004110920098662096,0.45044901540094184
TMTC1,0.99999964,0.004110920098662096,0.45044901540094184
MKI67,0.9999995,0.004484640107631388,0.47960535167053114
BAP1,0.9999995,0.004484640107631388,0.47960535167053114
BCL2L11,0.9999995,0.004484640107631388,0.47960535167053114
ATM,0.9999994,0.004783616114806821,0.5035226789191936
FBN2,0.9999994,0.004783616114806821,0.5035226789191936
CHD4,0.9999993,0.0050825921219822545,0.5067258923899977
FAT2,0.9999993,0.0050825921219822545,0.5067258923899977
CPN1,0.9999993,0.0050825921219822545,0.5067258923899977
SRRM2,0.9999993,0.0050825921219822545,0.5067258923899977
LRP2,0.9999993,0.0050825921219822545,0.5067258923899977
DNAH8,0.9999993,0.0050825921219822545,0.5067258923899977
ERBB3,0.99999917,0.0053068241273638295,0.5067258923899977
ZNF347,0.99999917,0.0053068241273638295,0.5067258923899977
XRCC6,0.99999917,0.0053068241273638295,0.5067258923899977
MED1,0.99999917,0.0053068241273638295,0.5067258923899977
AHNAK2,0.99999917,0.0053068241273638295,0.5067258923899977
CHD8,0.99999917,0.0053068241273638295,0.5067258923899977
KMT2A,0.99999917,0.0053068241273638295,0.5067258923899977
COL6A3,0.99999905,0.005456312130951546,0.5100697941717501
ACVR2A,0.99999905,0.005456312130951546,0.5100697941717501
PTBP1,0.99999905,0.005456312130951546,0.5100697941717501
NF1,0.9999989,0.005680544136333121,0.5176463383994225
MYH13,0.9999989,0.005680544136333121,0.5176463383994225
TAF3,0.9999988,0.005830032139920838,0.5176463383994225
NCOR1,0.9999988,0.005830032139920838,0.5176463383994225
MKL1,0.9999988,0.005830032139920838,0.5176463383994225
HDAC2,0.99999857,0.006129008147096271,0.5176463383994225
CENPE,0.99999857,0.006129008147096271,0.5176463383994225
SHPRH,0.99999845,0.006129008147096271,0.5176463383994225
FBXO11,0.9999982,0.006278496150683988,0.5176463383994225
DYNC1H1,0.9999982,0.006278496150683988,0.5176463383994225
ASXL1,0.9999982,0.006278496150683988,0.5176463383994225
MAP2K5,0.9999982,0.006278496150683988,0.5176463383994225
CUL2,0.9999981,0.006278496150683988,0.5176463383994225
MYH9,0.9999981,0.006278496150683988,0.5176463383994225
CACNA1H,0.99999785,0.006353240152477846,0.5176463383994225
HEPH,0.99999785,0.006353240152477846,0.5176463383994225
RASA1,0.99999785,0.006353240152477846,0.5176463383994225
SMARCA4,0.99999774,0.006427984154271704,0.5176463383994225
DNAH2,0.99999774,0.006427984154271704,0.5176463383994225
VPS13B,0.99999774,0.006427984154271704,0.5176463383994225
HSPG2,0.99999774,0.006427984154271704,0.5176463383994225
OBSL1,0.99999774,0.006427984154271704,0.5176463383994225
TRRAP,0.99999774,0.006427984154271704,0.5176463383994225
MYH8,0.9999975,0.006577472157859421,0.5249917338201397
NF2,0.99999726,0.006801704163240885,0.5249917338201397
USP9X,0.99999726,0.006801704163240885,0.5249917338201397
LARP4B,0.99999726,0.006801704163240885,0.5249917338201397
FLNA,0.99999714,0.006876448165034743,0.5249917338201397
WNK3,0.99999714,0.006876448165034743,0.5249917338201397
TENM1,0.99999714,0.006876448165034743,0.5249917338201397
APC,0.9999969,0.006876448165034743,0.5249917338201397
BRCA2,0.9999968,0.006951192166828601,0.5249917338201397
B2M,0.9999968,0.006951192166828601,0.5249917338201397
AP3B1,0.9999968,0.006951192166828601,0.5249917338201397
COL7A1,0.99999666,0.00702593616862246,0.5276557005738486
ZRANB2,0.9999964,0.007399656177591751,0.5435088119892667
PLEC,0.9999964,0.007399656177591751,0.5435088119892667
LRRK2,0.9999963,0.007399656177591751,0.5435088119892667
GABRA3,0.9999963,0.007399656177591751,0.5435088119892667
HDAC1,0.99999595,0.007773376186561043,0.5640519928920877
AJUBA,0.9999958,0.007848120188354901,0.5640519928920877
SETD2,0.9999958,0.007848120188354901,0.5640519928920877
CEP128,0.9999957,0.007848120188354901,0.5640519928920877
KEAP1,0.99999535,0.008072352193736476,0.5739957666269638
MCM7,0.99999535,0.008072352193736476,0.5739957666269638
KDM3B,0.99999523,0.008221840197324193,0.5815320622107397
EPHA2,0.9999951,0.008296584199118051,0.58367813012709
DNAH5,0.9999949,0.008520816204499626,0.58367813012709
HNRNPA1,0.99999475,0.008520816204499626,0.58367813012709
RPL22,0.99999475,0.008520816204499626,0.58367813012709
ENO1,0.99999475,0.008520816204499626,0.58367813012709
ZNF440,0.9999945,0.008670304208087343,0.58367813012709
MACF1,0.9999944,0.008670304208087343,0.58367813012709
TP73,0.9999943,0.008670304208087343,0.58367813012709
HEATR1,0.9999939,0.008745048209881201,0.58367813012709
TDRD1,0.9999939,0.008745048209881201,0.58367813012709
ACTRT3,0.9999938,0.00881979221167506,0.58367813012709
ABCA13,0.9999932,0.00881979221167506,0.58367813012709
B4GALT5,0.9999931,0.00881979221167506,0.58367813012709
GTF3C1,0.99999297,0.008894536213468918,0.5857249266091256
BTRC,0.9999927,0.009044024217056634,0.5926495869294759
ZNF236,0.9999925,0.009193512220644351,0.5995066895881643
GRB2,0.99999166,0.009343000224232068,0.6033682463648999
EYS,0.99999154,0.009343000224232068,0.6033682463648999
ING5,0.9999914,0.009417744226025926,0.6052711769880509
ROBO1,0.9999912,0.009492488227819784,0.6061363054287923
ZCCHC13,0.9999907,0.009567232229613643,0.6061363054287923
RUNX2,0.9999907,0.009567232229613643,0.6061363054287923
SMAD3,0.9999902,0.00971672023320136,0.6083882701746571
MDM2,0.99999,0.009791464234995217,0.6083882701746571
HERC1,0.9999896,0.009940952238582934,0.6083882701746571
HNRNPL,0.9999895,0.010015696240376792,0.6083882701746571
SI,0.99998915,0.010015696240376792,0.6083882701746571
RBPJ,0.99998915,0.010015696240376792,0.6083882701746571
SRCAP,0.9999888,0.010165184243964509,0.6083882701746571
ANKRD36,0.99998844,0.010239928245758367,0.6083882701746571
MGA,0.99998844,0.010239928245758367,0.6083882701746571
THAP7,0.9999883,0.010239928245758367,0.6083882701746571
FAM198B,0.9999882,0.010239928245758367,0.6083882701746571
LRP1,0.9999877,0.010239928245758367,0.6083882701746571
SUZ12,0.99998736,0.010239928245758367,0.6083882701746571
RNF217,0.99998736,0.010239928245758367,0.6083882701746571
PARK2,0.9999869,0.010688392256521406,0.629375350279389
NLRC5,0.99998665,0.010763136258315265,0.629375350279389
MTOR,0.9999863,0.010837880260109123,0.629375350279389
WWC2,0.99998593,0.01098736826369684,0.629375350279389
RPA1,0.9999857,0.011062112265490698,0.629375350279389
ATRNL1,0.9999856,0.011062112265490698,0.629375350279389
KMT2E,0.999985,0.011211600269078414,0.629375350279389
MTMR9,0.9999846,0.011211600269078414,0.629375350279389
POLQ,0.9999844,0.011211600269078414,0.629375350279389
HERC2,0.99998426,0.011211600269078414,0.629375350279389
TAF1,0.99998426,0.011211600269078414,0.629375350279389
AHNAK,0.99998355,0.011510576276253848,0.629375350279389
CAND1,0.99998343,0.011510576276253848,0.629375350279389
RELN,0.99998236,0.011734808281635423,0.629375350279389
BLM,0.99998224,0.011809552283429281,0.629375350279389
KMT2B,0.999982,0.011809552283429281,0.629375350279389
MSH3,0.99998057,0.012033784288810856,0.629375350279389
ITGA4,0.99998057,0.012033784288810856,0.629375350279389
WDFY4,0.99998033,0.012183272292398573,0.629375350279389
MGAT4C,0.99998033,0.012183272292398573,0.629375350279389
