gene,Score,p,qvalue
TP53,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
BTG2,1.0,0.0,0.0
CSNK2A1,1.0,0.0,0.0
TNFAIP3,1.0,0.0,0.0
IGHG2,1.0,0.0,0.0
CTSH,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
CIITA,1.0,0.0,0.0
NFKBIE,1.0,0.0,0.0
HLA-B,1.0,0.0,0.0
IGLL5,1.0,0.0,0.0
PCDH7,1.0,0.0,0.0
CD79B,1.0,0.0,0.0
IGKJ4,1.0,0.0,0.0
IGLV3-1,1.0,0.0,0.0
B2M,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
IGHV2-70,1.0,0.0,0.0
MYD88,1.0,0.0,0.0
BIRC6,1.0,0.0,0.0
SOCS1,1.0,0.0,0.0
NXF1,1.0,0.0,0.0
PIM1,1.0,0.0,0.0
IGHG1,1.0,0.0,0.0
SETD1B,0.9999999,0.0017834394904459039,0.23321443736730937
ARHGAP21,0.9999999,0.0017834394904459039,0.23321443736730937
ITPKB,0.9999999,0.0017834394904459039,0.23321443736730937
CUL1,0.9999999,0.0017834394904459039,0.23321443736730937
NOTCH2,0.9999999,0.0017834394904459039,0.23321443736730937
HSP90AA1,0.99999976,0.0022929936305733367,0.26457100037468234
HIST1H1C,0.99999976,0.0022929936305733367,0.26457100037468234
MYC,0.99999976,0.0022929936305733367,0.26457100037468234
NF1,0.99999976,0.0022929936305733367,0.26457100037468234
ANKRD11,0.99999964,0.0028025477707006585,0.28932618169628116
CREBBP,0.99999964,0.0028025477707006585,0.28932618169628116
KLF2,0.99999964,0.0028025477707006585,0.28932618169628116
MYO9B,0.99999964,0.0028025477707006585,0.28932618169628116
SCN1A,0.9999995,0.0033121019108280914,0.316911604784844
ARID1A,0.9999995,0.0033121019108280914,0.316911604784844
JUNB,0.9999995,0.0033121019108280914,0.316911604784844
EP300,0.9999993,0.003821656050955524,0.3569608735213934
EPS8L2,0.99999905,0.004331210191082846,0.3775852795470668
BCOR,0.9999989,0.004331210191082846,0.3775852795470668
MCM3AP,0.9999989,0.004331210191082846,0.3775852795470668
FAS,0.9999987,0.004585987261146562,0.39110495707560794
NFKBIA,0.99999833,0.005095541401273995,0.39195703759211536
UHRF1BP1,0.99999833,0.005095541401273995,0.39195703759211536
IGHM,0.99999833,0.005095541401273995,0.39195703759211536
FN1,0.9999982,0.005095541401273995,0.39195703759211536
UACA,0.9999981,0.005095541401273995,0.39195703759211536
SRSF1,0.9999975,0.0058598726114650335,0.44208231259187164
HIST1H1E,0.9999951,0.007643312101910937,0.5451766068326656
BRCA1,0.99999464,0.007643312101910937,0.5451766068326656
WDR13,0.99999464,0.007643312101910937,0.5451766068326656
HIST1H3B,0.9999937,0.00815286624203826,0.561117443289756
SCN9A,0.9999937,0.00815286624203826,0.561117443289756
DDX3X,0.9999913,0.008662420382165692,0.5859081924006209
BEGAIN,0.9999894,0.009681528662420447,0.6226333925028756
UBE2A,0.99998915,0.009681528662420447,0.6226333925028756
CD58,0.99998915,0.009681528662420447,0.6226333925028756
TET2,0.99998844,0.010445859872611485,0.6265462496435047
IGHV4-34,0.9999877,0.010700636942675201,0.6265462496435047
PRKD1,0.99998665,0.010700636942675201,0.6265462496435047
UBR5,0.99998593,0.010700636942675201,0.6265462496435047
HIST1H2BD,0.9999857,0.010700636942675201,0.6265462496435047
SIRT7,0.99998474,0.010700636942675201,0.6265462496435047
STAT3,0.99997556,0.012229299363057389,0.7055226676657962
IGLV4-69,0.9999747,0.012484076433121105,0.7097830702483202
C17orf89,0.999972,0.012738853503184822,0.7139217470427722
ACTB,0.9999639,0.013757961783439576,0.7462861995753726
SPEN,0.9999591,0.014267515923566898,0.7462861995753726
IGKV1-5,0.99995875,0.014267515923566898,0.7462861995753726
IGHV1-69,0.9999571,0.014267515923566898,0.7462861995753726
EZH2,0.9999566,0.014267515923566898,0.7462861995753726
CSK,0.9999472,0.015031847133758047,0.7759202145491161
EFHD1,0.9999299,0.016560509554140235,0.8348684900711886
TMSB4X,0.9999294,0.01681528662420384,0.8348684900711886
CHD4,0.9999254,0.01681528662420384,0.8348684900711886
TMEM30A,0.9999169,0.017070063694267557,0.8348684900711886
PTEN,0.9999052,0.01757961783439499,0.8348684900711886
ETV6,0.99989855,0.01757961783439499,0.8348684900711886
CUL7,0.9998921,0.01808917197452231,0.8348684900711886
SMARCA4,0.99988985,0.01808917197452231,0.8348684900711886
BTG1,0.9998883,0.01808917197452231,0.8348684900711886
PARK2,0.9998764,0.018343949044586028,0.83678269885943
SGK1,0.999859,0.0196178343949045,0.8846064865656361
XPO1,0.9998456,0.020636942675159253,0.9199855240301108
PEG3,0.9998429,0.02089171974522297,0.9208788377585362
OSMR,0.99983335,0.021146496815286686,0.9217523000707741
ZFHX4,0.999818,0.022675159235668874,0.9474336518046715
RHOA,0.99981445,0.02292993630573259,0.9474336518046715
HLA-A,0.99981076,0.02292993630573259,0.9474336518046715
MGA,0.9998074,0.023184713375796195,0.9474336518046715
FBXW11,0.99980146,0.023184713375796195,0.9474336518046715
FAT1,0.9997975,0.023184713375796195,0.9474336518046715
IGHJ5,0.9997738,0.024458598726114666,0.9509714921773568
HNRNPA1,0.9997445,0.024713375796178383,0.9509714921773568
HLA-C,0.999741,0.024713375796178383,0.9509714921773568
