gene,Score,p,qvalue
NXF1,1.0,0.0,0.0
CUL1,1.0,0.0,0.0
NTRK1,1.0,0.0,0.0
SMAD4,1.0,0.0,0.0
APP,1.0,0.0,0.0
C12orf74,1.0,0.0,0.0
C10orf76,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
DNAH10,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
HMCN1,1.0,0.0,0.0
PTCH1,1.0,0.0,0.0
MUC6,1.0,0.0,0.0
PIK3R1,1.0,0.0,0.0
NOTCH1,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
FLG,1.0,0.0,0.0
CNTLN,1.0,0.0,0.0
CDKN2A,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
APC,1.0,0.0,0.0
DNAH5,1.0,0.0,0.0
CREBBP,1.0,0.0,0.0
CDC42BPA,1.0,0.0,0.0
OBSCN,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
TRIM49C,1.0,0.0,0.0
PNLIPRP3,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
NFE2L2,1.0,0.0,0.0
EP300,1.0,0.0,0.0
AP2B1,1.0,0.0,0.0
HDAC4,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
ERBB2,1.0,0.0,0.0
KPNB1,1.0,0.0,0.0
CIC,1.0,0.0,0.0
TP53,1.0,0.0,0.0
ZNF750,1.0,0.0,0.0
PRKDC,1.0,0.0,0.0
CRYBG3,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
EPHA3,1.0,0.0,0.0
RB1,1.0,0.0,0.0
CSMD3,1.0,0.0,0.0
CSMD1,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
PCDH7,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
NSD1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
CHD8,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
TPTE,0.9999999,0.0020547305501074087,0.3232272455073375
UNC13C,0.9999999,0.0020547305501074087,0.3232272455073375
PTEN,0.9999999,0.0020547305501074087,0.3232272455073375
RYR2,0.9999999,0.0020547305501074087,0.3232272455073375
FN1,0.9999999,0.0020547305501074087,0.3232272455073375
FMN2,0.9999999,0.0020547305501074087,0.3232272455073375
CMYA5,0.9999999,0.0020547305501074087,0.3232272455073375
OCA2,0.9999999,0.0020547305501074087,0.3232272455073375
SMARCA4,0.9999999,0.0020547305501074087,0.3232272455073375
DYNC2H1,0.9999999,0.0020547305501074087,0.3232272455073375
SPTA1,0.9999999,0.0020547305501074087,0.3232272455073375
RASA1,0.9999999,0.0020547305501074087,0.3232272455073375
HTT,0.9999999,0.0020547305501074087,0.3232272455073375
SETD2,0.9999999,0.0020547305501074087,0.3232272455073375
DNAH11,0.99999976,0.0023349210796674846,0.32864014196319846
ZC3H13,0.99999976,0.0023349210796674846,0.32864014196319846
BCOR,0.99999976,0.0023349210796674846,0.32864014196319846
RPL23,0.99999976,0.0023349210796674846,0.32864014196319846
BCHE,0.99999976,0.0023349210796674846,0.32864014196319846
SF3A1,0.99999976,0.0023349210796674846,0.32864014196319846
KMT2C,0.99999976,0.0023349210796674846,0.32864014196319846
RGS12,0.99999976,0.0023349210796674846,0.32864014196319846
MYC,0.99999964,0.0029886989819744025,0.38787269460879803
APOB,0.99999964,0.0029886989819744025,0.38787269460879803
HYDIN,0.99999964,0.0029886989819744025,0.38787269460879803
LRRK2,0.99999964,0.0029886989819744025,0.38787269460879803
ZNF804B,0.99999964,0.0029886989819744025,0.38787269460879803
COPS5,0.9999995,0.0030820958251610575,0.38787269460879803
FAT3,0.9999995,0.0030820958251610575,0.38787269460879803
NLRC5,0.9999995,0.0030820958251610575,0.38787269460879803
MAP3K1,0.9999995,0.0030820958251610575,0.38787269460879803
KMT2A,0.9999994,0.0033622863547211335,0.41340663375232145
ESR1,0.9999994,0.0033622863547211335,0.41340663375232145
SMC1B,0.9999993,0.003922667413841396,0.47146936321192606
SRPK1,0.9999993,0.003922667413841396,0.47146936321192606
NPHP3,0.99999917,0.004109461100214817,0.4830648943845923
