gene,Score,p,qvalue
CUL1,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
KIF5B,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
NFE2L2,1.0,0.0,0.0
NEB,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
GPR98,1.0,0.0,0.0
FAT1,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
FGFR3,1.0,0.0,0.0
HMCN1,1.0,0.0,0.0
FN1,1.0,0.0,0.0
FAT2,1.0,0.0,0.0
CASP8,1.0,0.0,0.0
EED,1.0,0.0,0.0
BIRC6,1.0,0.0,0.0
DNAH5,1.0,0.0,0.0
CSMD3,1.0,0.0,0.0
KRT5,1.0,0.0,0.0
MYC,1.0,0.0,0.0
PKHD1L1,1.0,0.0,0.0
PLEC,1.0,0.0,0.0
OR4D5,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
NXF1,1.0,0.0,0.0
NUMA1,1.0,0.0,0.0
HERC2,1.0,0.0,0.0
KIAA1217,1.0,0.0,0.0
FAM21C,1.0,0.0,0.0
NSD1,1.0,0.0,0.0
ZFP36L2,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
HLA-A,1.0,0.0,0.0
HLA-B,1.0,0.0,0.0
DNAH8,1.0,0.0,0.0
CREBBP,1.0,0.0,0.0
CTCF,1.0,0.0,0.0
CYLD,1.0,0.0,0.0
TGFBR2,1.0,0.0,0.0
SI,1.0,0.0,0.0
RHOA,1.0,0.0,0.0
AJUBA,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
MB21D2,1.0,0.0,0.0
CDKN2A,1.0,0.0,0.0
ZNF750,1.0,0.0,0.0
NOTCH1,1.0,0.0,0.0
TP53,1.0,0.0,0.0
PRUNE2,1.0,0.0,0.0
EPHA2,1.0,0.0,0.0
EVI5,1.0,0.0,0.0
DMD,1.0,0.0,0.0
RASA1,1.0,0.0,0.0
HUWE1,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
FLG,1.0,0.0,0.0
HRAS,1.0,0.0,0.0
ERBB4,1.0,0.0,0.0
HIST1H3C,1.0,0.0,0.0
EP300,1.0,0.0,0.0
MYH9,1.0,0.0,0.0
USH2A,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
SYT6,1.0,0.0,0.0
APP,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
KMT2B,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
RB1,1.0,0.0,0.0
MAPK1,1.0,0.0,0.0
RAC1,1.0,0.0,0.0
RYR2,1.0,0.0,0.0
RELN,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
