gene,Score,p,qvalue
SLK,1.0,0.0,0.0
CDKN1A,1.0,0.0,0.0
USP9X,1.0,0.0,0.0
TP53,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
SQRDL,1.0,0.0,0.0
ANKRD17,0.99999976,0.0018951358180668842,0.42802996119482056
CUL7,0.9999982,0.005053695514845136,0.9543053551333007
VHL,0.9999963,0.006948831332912131,0.9543053551333007
HS6ST1,0.99999464,0.007580543272267759,0.9543053551333007
UBR5,0.99999344,0.008212255211623387,0.9543053551333007
DAZL,0.9999912,0.008212255211623387,0.9543053551333007
BAG3,0.99998546,0.008843967150979126,0.9543053551333007
ATM,0.99995303,0.013265950726468634,0.9543053551333007
HUWE1,0.99994004,0.014529374605180001,0.9543053551333007
HSPA8,0.99992764,0.015161086544535629,0.9543053551333007
SH3KBP1,0.9999138,0.015792798483891257,0.9543053551333007
SDR42E1,0.99991226,0.015792798483891257,0.9543053551333007
SETD2,0.9999081,0.016424510423246885,0.9543053551333007
ENO1,0.99990094,0.017687934301958252,0.9543053551333007
POLR2A,0.9998963,0.017687934301958252,0.9543053551333007
HDAC5,0.9998945,0.017687934301958252,0.9543053551333007
BIRC6,0.999876,0.01895135818066951,0.9543053551333007
HERC2,0.9998566,0.020846493998736504,0.9543053551333007
GALNS,0.9998362,0.02210991787744776,0.9543053551333007
FLT4,0.99983335,0.02210991787744776,0.9543053551333007
NOTCH1,0.9998259,0.02210991787744776,0.9543053551333007
CHD4,0.99972254,0.024005053695514755,0.9543053551333007
KRT40,0.99970824,0.025268477574226123,0.9543053551333007
MTOR,0.9996996,0.025268477574226123,0.9543053551333007
HSP90AB1,0.9995192,0.029058749210360002,0.9543053551333007
HECW2,0.99947613,0.02969046114971563,0.9543053551333007
LRP12,0.999448,0.02969046114971563,0.9543053551333007
FOXO1,0.9994241,0.02969046114971563,0.9543053551333007
HMCN1,0.99935764,0.031585596967782625,0.9543053551333007
FAT3,0.99935347,0.031585596967782625,0.9543053551333007
ILKAP,0.9993332,0.031585596967782625,0.9543053551333007
PPP6C,0.9992047,0.03474415666456088,0.9543053551333007
NOTCH2,0.99907315,0.036007580543272244,0.9543053551333007
CHUK,0.9990283,0.03663929248262787,0.9543053551333007
UNC80,0.9989531,0.03790271636133913,0.9543053551333007
DICER1,0.99889934,0.03790271636133913,0.9543053551333007
PAXBP1,0.99887985,0.038534428300694756,0.9543053551333007
HSPD1,0.99886703,0.038534428300694756,0.9543053551333007
ZAN,0.99880767,0.039797852179406124,0.9543053551333007
SHBG,0.9986248,0.04358812381554,0.9543053551333007
ITGA11,0.9984269,0.04421983575489574,0.9543053551333007
TP63,0.99832994,0.045483259633607,0.9543053551333007
MGA,0.9983285,0.045483259633607,0.9543053551333007
TRRAP,0.99815243,0.046746683512318365,0.9543053551333007
LRRK2,0.9981384,0.046746683512318365,0.9543053551333007
SYT6,0.9979797,0.04801010739102962,0.9543053551333007
DNAH5,0.99783945,0.04927353126974088,0.9543053551333007
RNF43,0.9978187,0.04990524320909662,0.9543053551333007
PKD2,0.99781394,0.04990524320909662,0.9543053551333007
EBF1,0.9977471,0.050536955148452245,0.9543053551333007
SYNE1,0.99739385,0.05306380290587487,0.9543053551333007
SUPT6H,0.99721944,0.05306380290587487,0.9543053551333007
NEB,0.99720734,0.05306380290587487,0.9543053551333007
TLE1,0.99719524,0.05306380290587487,0.9543053551333007
KIAA1324,0.99711895,0.05306380290587487,0.9543053551333007
KIAA1462,0.99707067,0.05306380290587487,0.9543053551333007
FLNA,0.9970367,0.054327226784586125,0.9543053551333007
ABL1,0.99701226,0.054327226784586125,0.9543053551333007
ATG2A,0.9969829,0.054958938723941864,0.9543053551333007
CXorf23,0.99692374,0.054958938723941864,0.9543053551333007
ABCE1,0.99672735,0.05938092229943137,0.9543053551333007
STXBP5,0.9966704,0.05938092229943137,0.9543053551333007
PGR,0.99658394,0.060012634238787,0.9543053551333007
ZNF521,0.99656373,0.06064434617814274,0.9543053551333007
SFI1,0.9965019,0.06064434617814274,0.9543053551333007
DNAH3,0.99643636,0.061276058117498367,0.9543053551333007
ZNF668,0.99622595,0.06380290587492099,0.9543053551333007
KIAA1429,0.9959098,0.06569804169298787,0.9543053551333007
ZBTB34,0.99583423,0.06569804169298787,0.9543053551333007
KIF2A,0.9956228,0.06759317751105487,0.9543053551333007
RUNX2,0.9955258,0.06759317751105487,0.9543053551333007
MYBPC3,0.99550027,0.06759317751105487,0.9543053551333007
PRPF40A,0.99531096,0.0682248894504105,0.9543053551333007
C3orf58,0.995259,0.0682248894504105,0.9543053551333007
OR13C2,0.9950748,0.06885660138976624,0.9543053551333007
MUC16,0.9947941,0.06948831332912186,0.9543053551333007
RNF103,0.99457043,0.07012002526847749,0.9543053551333007
CACNA1A,0.9940996,0.07327858496525574,0.9543053551333007
ALK,0.99396604,0.07391029690461148,0.9543053551333007
ZFHX4,0.99396414,0.07391029690461148,0.9543053551333007
MDC1,0.9938929,0.07454200884396711,0.9543053551333007
RFX6,0.9938041,0.07454200884396711,0.9543053551333007
GNB1,0.99379575,0.07454200884396711,0.9543053551333007
LATS2,0.99373144,0.07517372078332274,0.9543053551333007
LAMA4,0.9936712,0.07517372078332274,0.9543053551333007
TEX14,0.993486,0.07517372078332274,0.9543053551333007
TJP2,0.9930698,0.07770056854074536,0.9543053551333007
HCFC1,0.993049,0.07770056854074536,0.9543053551333007
AMPD1,0.9930433,0.07770056854074536,0.9543053551333007
RAPGEFL1,0.9929241,0.07896399241945662,0.9543053551333007
FAT4,0.9928409,0.07959570435881236,0.9543053551333007
PPP1CC,0.9927738,0.08085912823752361,0.9543053551333007
EEF1A2,0.9926838,0.08085912823752361,0.9543053551333007
HTRA3,0.9926247,0.08149084017687924,0.9543053551333007
