gene,Score,p,qvalue
SETD2,1.0,0.0,0.0
MGA,1.0,0.0,0.0
BAP1,1.0,0.0,0.0
MYC,1.0,0.0,0.0
NF2,1.0,0.0,0.0
VPS13C,1.0,0.0,0.0
PLXNB2,1.0,0.0,0.0
FN1,1.0,0.0,0.0
TP53,1.0,0.0,0.0
HDLBP,1.0,0.0,0.0
FSIP2,1.0,0.0,0.0
PTCH1,1.0,0.0,0.0
SETDB1,1.0,0.0,0.0
LATS2,1.0,0.0,0.0
EP300,1.0,0.0,0.0
PBRM1,0.9999999,0.0035885167464114742,0.5289895862651267
RDH16,0.9999999,0.0035885167464114742,0.5289895862651267
PTEN,0.9999989,0.004784688995215336,0.6310752958952438
CREBBP,0.9999989,0.004784688995215336,0.6310752958952438
HDAC1,0.9999987,0.0051834130781499566,0.6494816586921895
HTT,0.99999774,0.005582137161084466,0.6661350345560796
SEC24B,0.99999666,0.005980861244019087,0.6812744671596287
USP9X,0.99999344,0.0071770334928229484,0.7819846057832308
CTNNB1,0.99999034,0.00837320574162681,0.8564593301435351
NOTCH1,0.99998915,0.00917065390749594,0.8564593301435351
EZH2,0.9999881,0.009569377990430561,0.8564593301435351
MEGF8,0.99998784,0.009569377990430561,0.8564593301435351
KAT6B,0.9999846,0.009569377990430561,0.8564593301435351
YWHAQ,0.9999819,0.010366826156299802,0.895836770609907
FBN3,0.99997365,0.010765550239234423,0.8992822966507154
DNMT3A,0.99996865,0.011961722488038284,0.9083659562128467
COL7A1,0.99996376,0.011961722488038284,0.9083659562128467
SMARCA4,0.99996233,0.011961722488038284,0.9083659562128467
ASCC3,0.9999428,0.015151515151515138,1.0
LDB1,0.9999424,0.015151515151515138,1.0
SMURF1,0.99993634,0.015151515151515138,1.0
ATM,0.9999143,0.01594896331738438,1.0
HEATR3,0.99990606,0.01714513556618813,1.0
HDAC5,0.99990225,0.01834130781499199,1.0
VWF,0.9998957,0.019936204146730474,1.0
JUN,0.9998913,0.020733652312599715,1.0
SLC9A4,0.99988925,0.020733652312599715,1.0
ZFHX4,0.9998777,0.020733652312599715,1.0
IKBKE,0.99987507,0.020733652312599715,1.0
POLR2A,0.9998486,0.021929824561403466,1.0
FBLN1,0.9998437,0.021929824561403466,1.0
SCARF2,0.99980193,0.023125996810207328,1.0
FRY,0.99979335,0.023125996810207328,1.0
ROCK1,0.99975544,0.02472089314194581,1.0
EXOG,0.99974626,0.02511961722488032,1.0
ZC3H4,0.99971336,0.02591706539074956,1.0
ANKRD30A,0.9996774,0.02631578947368418,1.0
POLR2G,0.99966216,0.02631578947368418,1.0
CUL5,0.9995608,0.027910685805422664,1.0
ARRB2,0.9995572,0.028309409888357284,1.0
FOXO1,0.999516,0.028309409888357284,1.0
NRAS,0.9994825,0.029505582137161035,1.0
NIN,0.9994795,0.029505582137161035,1.0
NCOR1,0.9994648,0.029904306220095656,1.0
NPTXR,0.9994141,0.03149920255183414,1.0
FAT4,0.999374,0.03349282296650713,1.0
TM9SF2,0.9993315,0.03468899521531099,1.0
SYNE1,0.99931014,0.03508771929824561,1.0
SMARCB1,0.99926823,0.03548644338118023,1.0
RANBP3L,0.99916065,0.037081339712918604,1.0
MAPK8,0.9991574,0.037081339712918604,1.0
OGDHL,0.9991284,0.037480063795853225,1.0
ANKRD36,0.9990814,0.037878787878787845,1.0
SRGAP3,0.99897516,0.03947368421052633,1.0
ZNF469,0.9989184,0.04066985645933008,1.0
TGFBR2,0.99884474,0.04226475279106856,1.0
C2orf81,0.9988135,0.04226475279106856,1.0
LRRC47,0.9988003,0.04266347687400318,1.0
MDC1,0.998762,0.0430622009569378,1.0
PCDHB13,0.9987607,0.0430622009569378,1.0
PCBP1,0.9986701,0.04346092503987242,1.0
RUNX1,0.9985934,0.04425837320574166,1.0
DNAH6,0.99857605,0.045055821371610794,1.0
MTOR,0.99855644,0.045055821371610794,1.0
NEB,0.99852824,0.045055821371610794,1.0
DEPDC5,0.99852645,0.045055821371610794,1.0
TRMT13,0.9984925,0.045454545454545414,1.0
