gene,Score,p,qvalue
KANSL1,1.0,0.0,0.0
CASP8,1.0,0.0,0.0
DNMT3A,1.0,0.0,0.0
DNAH7,1.0,0.0,0.0
ARID2,1.0,0.0,0.0
RB1,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
DNAH11,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
FAT1,1.0,0.0,0.0
TRAPPC6B,1.0,0.0,0.0
ZFHX3,1.0,0.0,0.0
BRAF,1.0,0.0,0.0
RPL22,1.0,0.0,0.0
RPL5,1.0,0.0,0.0
ACVR2A,1.0,0.0,0.0
ELF3,1.0,0.0,0.0
RYR2,1.0,0.0,0.0
PTH2,1.0,0.0,0.0
HLA-A,1.0,0.0,0.0
CTNNB1,1.0,0.0,0.0
GINS1,1.0,0.0,0.0
NEB,1.0,0.0,0.0
ZFP36L1,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
ZNF292,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
KMT2C,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
CDH1,1.0,0.0,0.0
BAP1,1.0,0.0,0.0
CREBBP,1.0,0.0,0.0
CTCF,1.0,0.0,0.0
IDH1,1.0,0.0,0.0
FUBP1,1.0,0.0,0.0
FSIP2,1.0,0.0,0.0
ZFHX4,1.0,0.0,0.0
CDKN2A,1.0,0.0,0.0
STK11,1.0,0.0,0.0
VAMP1,1.0,0.0,0.0
SMAD4,1.0,0.0,0.0
MGA,1.0,0.0,0.0
HRAS,1.0,0.0,0.0
NFYB,1.0,0.0,0.0
DNAH8,1.0,0.0,0.0
MAP2K1,1.0,0.0,0.0
STAG2,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
USP9X,1.0,0.0,0.0
VHL,1.0,0.0,0.0
IDH2,1.0,0.0,0.0
CDKN1A,1.0,0.0,0.0
USH2A,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
ATM,1.0,0.0,0.0
GATA3,1.0,0.0,0.0
LAMTOR1,1.0,0.0,0.0
KMT2A,1.0,0.0,0.0
CDK4,1.0,0.0,0.0
KDM6A,1.0,0.0,0.0
CDKN1B,1.0,0.0,0.0
MYD88,1.0,0.0,0.0
IFNA10,1.0,0.0,0.0
B2M,1.0,0.0,0.0
MAP3K1,1.0,0.0,0.0
PBRM1,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
RPL12,1.0,0.0,0.0
RRAS2,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
SETD2,1.0,0.0,0.0
ATRX,1.0,0.0,0.0
BCOR,1.0,0.0,0.0
DDX3X,1.0,0.0,0.0
DMD,1.0,0.0,0.0
NFE2L2,1.0,0.0,0.0
ARHGAP35,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
MDS2,1.0,0.0,0.0
CIC,1.0,0.0,0.0
CEBPA,1.0,0.0,0.0
EP300,1.0,0.0,0.0
AKT1,1.0,0.0,0.0
CHD8,1.0,0.0,0.0
RNF43,1.0,0.0,0.0
PTTG1IP,1.0,0.0,0.0
APC,1.0,0.0,0.0
ZFP36L2,1.0,0.0,0.0
RUNX1,1.0,0.0,0.0
SOX9,1.0,0.0,0.0
SPOP,1.0,0.0,0.0
GNG2,1.0,0.0,0.0
PRKDC,1.0,0.0,0.0
DNAH5,1.0,0.0,0.0
CTDNEP1,1.0,0.0,0.0
NF1,1.0,0.0,0.0
NCOR1,1.0,0.0,0.0
RASA1,1.0,0.0,0.0
CSMD3,1.0,0.0,0.0
U2AF1,1.0,0.0,0.0
PIK3R1,1.0,0.0,0.0
ERBB2,1.0,0.0,0.0
GPS2,1.0,0.0,0.0
GPR98,1.0,0.0,0.0
NSD1,1.0,0.0,0.0
MAP2K4,1.0,0.0,0.0
NPM1,1.0,0.0,0.0
NIPBL,1.0,0.0,0.0
PHF5A,1.0,0.0,0.0
TRIP12,1.0,0.0,0.0
FGFR2,1.0,0.0,0.0
NRAS,1.0,0.0,0.0
SYNE2,1.0,0.0,0.0
RAC1,1.0,0.0,0.0
KMT2B,1.0,0.0,0.0
TP53,1.0,0.0,0.0
BRCA2,1.0,0.0,0.0
PTMA,1.0,0.0,0.0
HMCN1,1.0,0.0,0.0
OBSCN,1.0,0.0,0.0
SF3B1,1.0,0.0,0.0
PPP2R1A,0.9999999,0.005918737336034985,0.7481615110920865
ANK3,0.9999999,0.005918737336034985,0.7481615110920865
TDRD12,0.9999999,0.005918737336034985,0.7481615110920865
NOTCH1,0.9999999,0.005918737336034985,0.7481615110920865
ABCA13,0.9999999,0.005918737336034985,0.7481615110920865
JAK1,0.9999999,0.005918737336034985,0.7481615110920865
SMARCA4,0.9999999,0.005918737336034985,0.7481615110920865
BIRC6,0.9999999,0.005918737336034985,0.7481615110920865
RHOA,0.9999999,0.005918737336034985,0.7481615110920865
RYR3,0.9999999,0.005918737336034985,0.7481615110920865
COX7C,0.9999999,0.005918737336034985,0.7481615110920865
FAM209A,0.9999999,0.005918737336034985,0.7481615110920865
FLG,0.9999999,0.005918737336034985,0.7481615110920865
NF2,0.9999999,0.005918737336034985,0.7481615110920865
ATG5,0.9999999,0.005918737336034985,0.7481615110920865
RPL36A,0.9999999,0.005918737336034985,0.7481615110920865
SACS,0.9999999,0.005918737336034985,0.7481615110920865
FAT4,0.9999999,0.005918737336034985,0.7481615110920865
CYS1,0.9999999,0.005918737336034985,0.7481615110920865
XIRP2,0.9999999,0.005918737336034985,0.7481615110920865
FAT2,0.9999999,0.005918737336034985,0.7481615110920865
POLE3,0.99999976,0.006771888663751668,0.7698657829306614
PPP6C,0.99999976,0.006771888663751668,0.7698657829306614
HERC2,0.99999976,0.006771888663751668,0.7698657829306614
ERBB3,0.99999976,0.006771888663751668,0.7698657829306614
KRTAP4-12,0.99999976,0.006771888663751668,0.7698657829306614
TCEAL8,0.99999976,0.006771888663751668,0.7698657829306614
LRP2,0.99999976,0.006771888663751668,0.7698657829306614
TSPAN4,0.99999976,0.006771888663751668,0.7698657829306614
SPTA1,0.99999976,0.006771888663751668,0.7698657829306614
PSCA,0.99999976,0.006771888663751668,0.7698657829306614
ARID1B,0.99999976,0.006771888663751668,0.7698657829306614
MAX,0.99999976,0.006771888663751668,0.7698657829306614
SRCAP,0.99999976,0.006771888663751668,0.7698657829306614
MBD6,0.99999976,0.006771888663751668,0.7698657829306614
MZB1,0.99999976,0.006771888663751668,0.7698657829306614
APOB,0.99999976,0.006771888663751668,0.7698657829306614
