gene,Score,p,qvalue
MUC16,1.0,0.0,0.0
SIPA1L3,1.0,0.0,0.0
CDKN2A,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
U2AF1,1.0,0.0,0.0
NTRK1,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
KDM6A,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
SMAD4,1.0,0.0,0.0
DNAH2,1.0,0.0,0.0
RNF43,1.0,0.0,0.0
ATM,1.0,0.0,0.0
FN1,1.0,0.0,0.0
KMT2C,1.0,0.0,0.0
TP53,1.0,0.0,0.0
GNAS,1.0,0.0,0.0
EP300,1.0,0.0,0.0
CHD3,0.9999999,0.0023876709355329373,0.4780532460056164
CUL1,0.9999999,0.0023876709355329373,0.4780532460056164
CREB1,0.9999999,0.0023876709355329373,0.4780532460056164
HSP90AA1,0.9999999,0.0023876709355329373,0.4780532460056164
CTNND1,0.99999976,0.003907097894508382,0.6448812116204751
CD72,0.99999976,0.003907097894508382,0.6448812116204751
ZNF470,0.99999964,0.003907097894508382,0.6448812116204751
BCOR,0.99999964,0.003907097894508382,0.6448812116204751
CPE,0.9999995,0.0043412198827871284,0.6448812116204751
SYNE1,0.9999995,0.0043412198827871284,0.6448812116204751
ARHGAP5,0.9999994,0.0043412198827871284,0.6448812116204751
RNF165,0.9999994,0.0043412198827871284,0.6448812116204751
STXBP5L,0.9999989,0.00520946385934451,0.710802402141677
RREB1,0.9999988,0.0058606468417625734,0.710802402141677
ERCC2,0.99999857,0.006077707835901891,0.710802402141677
MDM2,0.99999845,0.006077707835901891,0.710802402141677
TGFBR2,0.99999785,0.00629476883004132,0.710802402141677
BRCA1,0.9999976,0.00629476883004132,0.710802402141677
VCX,0.99999714,0.00629476883004132,0.710802402141677
KLF4,0.99999654,0.006511829824180637,0.710802402141677
ZNF354A,0.9999958,0.006728890818319955,0.710802402141677
CACNA1A,0.9999957,0.006728890818319955,0.710802402141677
PBRM1,0.9999956,0.006728890818319955,0.710802402141677
NF1,0.9999956,0.006728890818319955,0.710802402141677
PARK2,0.99999535,0.006945951812459383,0.710802402141677
MUC6,0.99999523,0.006945951812459383,0.710802402141677
CAND1,0.9999939,0.007597134794877447,0.7189859824294914
IRS1,0.9999937,0.007814195789016765,0.7189859824294914
ATP8B4,0.99999297,0.008031256783156082,0.7189859824294914
CACNA2D3,0.9999926,0.008031256783156082,0.7189859824294914
AHNAK,0.9999924,0.008031256783156082,0.7189859824294914
RBM10,0.99999154,0.008031256783156082,0.7189859824294914
FLNC,0.99998987,0.00824831777729551,0.7189859824294914
CREBBP,0.9999893,0.008465378771434828,0.7189859824294914
CCDC8,0.9999887,0.008682439765574146,0.7189859824294914
CACNA1D,0.9999883,0.008682439765574146,0.7189859824294914
CTNNB1,0.9999871,0.008899500759713574,0.7189859824294914
ANKRD50,0.999987,0.008899500759713574,0.7189859824294914
SMARCA4,0.9999865,0.009116561753852892,0.7238235668360787
GRHL2,0.9999858,0.00933362274799221,0.7284971653305784
TAF4,0.99997973,0.009984805730410273,0.7438629789854698
CASP8,0.99997866,0.009984805730410273,0.7438629789854698
DAAM1,0.9999757,0.010201866724549702,0.7438629789854698
KHDRBS2,0.9999721,0.010853049706967766,0.7438629789854698
PCDH15,0.9999713,0.011070110701107083,0.7438629789854698
ZNF451,0.99996996,0.011070110701107083,0.7438629789854698
SMAD2,0.9999672,0.0112871716952464,0.7438629789854698
PNLIP,0.9999671,0.0112871716952464,0.7438629789854698
CUL2,0.9999622,0.011938354677664464,0.7438629789854698
SACS,0.9999608,0.012155415671803782,0.7438629789854698
PLXNB2,0.9999602,0.012155415671803782,0.7438629789854698
FAT4,0.9999577,0.01237247666594321,0.7438629789854698
BMP2,0.99995434,0.012806598654221846,0.7438629789854698
HNRNPA1,0.99995315,0.013023659648361274,0.7438629789854698
MAP3K5,0.9999523,0.013023659648361274,0.7438629789854698
NOTCH1,0.9999505,0.013023659648361274,0.7438629789854698
FUS,0.9999498,0.013023659648361274,0.7438629789854698
BMP1,0.9999497,0.013023659648361274,0.7438629789854698
BAP1,0.9999478,0.013023659648361274,0.7438629789854698
ASB4,0.99994755,0.013023659648361274,0.7438629789854698
PLEC,0.999943,0.01345778163663991,0.7438629789854698
OBSCN,0.9999429,0.01345778163663991,0.7438629789854698
MEN1,0.9999417,0.01345778163663991,0.7438629789854698
COG3,0.9999409,0.013674842630779338,0.7438629789854698
PPP2R5A,0.9999398,0.013674842630779338,0.7438629789854698
HERC2,0.99993944,0.013891903624918656,0.7438629789854698
SMC2,0.99993885,0.013891903624918656,0.7438629789854698
FAT2,0.9999378,0.014108964619057973,0.746802092767379
SPARCL1,0.999931,0.014760147601476037,0.7715947128511569
BIN1,0.9999206,0.016062513566312164,0.7715947128511569
TNIK,0.9999206,0.016062513566312164,0.7715947128511569
RYR1,0.9999201,0.016062513566312164,0.7715947128511569
NLRP10,0.99991953,0.016062513566312164,0.7715947128511569
RELN,0.9999163,0.01649663555459091,0.7715947128511569
