gene,Score,p,qvalue
CSMD3,1.0,0.0,0.0
OR4P4,1.0,0.0,0.0
CHD6,1.0,0.0,0.0
MED12,1.0,0.0,0.0
SETD2,1.0,0.0,0.0
IL6ST,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
EP300,1.0,0.0,0.0
USP28,1.0,0.0,0.0
BRCA2,1.0,0.0,0.0
ZFHX3,1.0,0.0,0.0
RB1,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
ROCK1,1.0,0.0,0.0
IDH1,1.0,0.0,0.0
NXF1,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
CDKN1B,1.0,0.0,0.0
ITPR2,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
FOXA1,1.0,0.0,0.0
HEXB,1.0,0.0,0.0
KMT2A,1.0,0.0,0.0
ATM,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
HRAS,1.0,0.0,0.0
CASZ1,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
KDM6A,1.0,0.0,0.0
SMARCA1,1.0,0.0,0.0
FOXP1,1.0,0.0,0.0
EPPK1,1.0,0.0,0.0
CHD3,1.0,0.0,0.0
CDK12,1.0,0.0,0.0
NCOR1,1.0,0.0,0.0
RNF213,1.0,0.0,0.0
SPOP,1.0,0.0,0.0
TP53,1.0,0.0,0.0
NTRK1,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
LCE1F,1.0,0.0,0.0
CTNNB1,1.0,0.0,0.0
KMT2C,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
ABCA13,1.0,0.0,0.0
ANK3,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
SPTA1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
APC,1.0,0.0,0.0
PDE4DIP,0.9999999,0.0027063599458727605,0.39963915200721095
OBSCN,0.9999999,0.0027063599458727605,0.39963915200721095
RNF31,0.9999999,0.0027063599458727605,0.39963915200721095
GPR98,0.9999999,0.0027063599458727605,0.39963915200721095
SACS,0.9999999,0.0027063599458727605,0.39963915200721095
COL7A1,0.9999999,0.0027063599458727605,0.39963915200721095
FN1,0.9999999,0.0027063599458727605,0.39963915200721095
CHD1,0.9999999,0.0027063599458727605,0.39963915200721095
ZNF48,0.9999999,0.0027063599458727605,0.39963915200721095
USH2A,0.99999976,0.0032701849345962986,0.413419812421264
