gene,Score,p,qvalue
TBC1D7,1.0,0.0,0.0
APP,1.0,0.0,0.0
NRAS,1.0,0.0,0.0
ATM,1.0,0.0,0.0
EP300,1.0,0.0,0.0
SACS,1.0,0.0,0.0
TP53,1.0,0.0,0.0
PIK3R1,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
RYR2,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
ESR1,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
SMAD4,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
DNAH5,1.0,0.0,0.0
TGIF1,1.0,0.0,0.0
SOX9,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
ERBB2,1.0,0.0,0.0
PCBP1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
NEB,1.0,0.0,0.0
APC,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
MYCBP2,0.9999999,0.002568218298555358,0.5158804950033619
CREBBP,0.9999999,0.002568218298555358,0.5158804950033619
FAT4,0.9999999,0.002568218298555358,0.5158804950033619
NBEA,0.9999999,0.002568218298555358,0.5158804950033619
FN1,0.9999999,0.002568218298555358,0.5158804950033619
SMAD2,0.99999976,0.0032102728731941976,0.6057687630721293
TLR3,0.99999976,0.0032102728731941976,0.6057687630721293
ATP8B4,0.9999995,0.004173354735152457,0.634309791332252
PTEN,0.9999995,0.004173354735152457,0.634309791332252
CSMD3,0.9999994,0.004333868378812111,0.634309791332252
MKI67,0.9999994,0.004333868378812111,0.634309791332252
WDR19,0.9999994,0.004333868378812111,0.634309791332252
CHMP7,0.9999993,0.004494382022471877,0.634309791332252
DNAH11,0.99999917,0.004654895666131531,0.634309791332252
PI15,0.99999917,0.004654895666131531,0.634309791332252
PPFIA2,0.99999905,0.004654895666131531,0.634309791332252
DNAJC24,0.99999905,0.004654895666131531,0.634309791332252
OTOP3,0.99999905,0.004654895666131531,0.634309791332252
RNF2,0.9999989,0.0048154093097912964,0.634309791332252
FCGBP,0.99999845,0.005136436597110716,0.634309791332252
ZFP37,0.99999833,0.005136436597110716,0.634309791332252
MGA,0.9999982,0.005136436597110716,0.634309791332252
MDM2,0.99999785,0.005296950240770371,0.634309791332252
TCF7L2,0.99999774,0.005296950240770371,0.634309791332252
CSMD1,0.99999774,0.005296950240770371,0.634309791332252
OBSCN,0.9999976,0.005296950240770371,0.634309791332252
ZFHX4,0.99999666,0.00561797752808979,0.6385812377385364
PCLO,0.99999666,0.00561797752808979,0.6385812377385364
CUL7,0.9999962,0.005778491171749556,0.6385812377385364
PCDHGA10,0.9999958,0.00593900481540921,0.6385812377385364
ABCA13,0.9999956,0.0060995184590689755,0.6385812377385364
SETD2,0.9999949,0.006581059390048161,0.6385812377385364
SIN3A,0.99999475,0.006581059390048161,0.6385812377385364
HIF1A,0.99999464,0.006581059390048161,0.6385812377385364
BCL9L,0.9999945,0.006581059390048161,0.6385812377385364
FLG,0.9999945,0.006581059390048161,0.6385812377385364
PTPN13,0.9999943,0.006741573033707815,0.6385812377385364
