gene,Score,p,qvalue
SPTBN1,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
CUL1,1.0,0.0,0.0
NTRK2,1.0,0.0,0.0
PRKDC,1.0,0.0,0.0
NF1,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
UBC,1.0,0.0,0.0
HYDIN,1.0,0.0,0.0
LRP1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
RB1,1.0,0.0,0.0
TP53,1.0,0.0,0.0
NTRK1,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
GATAD2A,1.0,0.0,0.0
USH2A,1.0,0.0,0.0
COL4A3,1.0,0.0,0.0
ATRX,1.0,0.0,0.0
ATM,0.9999999,0.0032674653804263265,0.5907252075759941
DNAH5,0.9999999,0.0032674653804263265,0.5907252075759941
FN1,0.9999999,0.0032674653804263265,0.5907252075759941
PTEN,0.9999999,0.0032674653804263265,0.5907252075759941
TNK2,0.9999999,0.0032674653804263265,0.5907252075759941
DNAH8,0.9999999,0.0032674653804263265,0.5907252075759941
TERF1,0.9999999,0.0032674653804263265,0.5907252075759941
RYR1,0.9999999,0.0032674653804263265,0.5907252075759941
EP300,0.9999999,0.0032674653804263265,0.5907252075759941
SUZ12,0.99999976,0.003578652559514617,0.5907252075759941
TSC2,0.99999976,0.003578652559514617,0.5907252075759941
PIK3CA,0.99999976,0.003578652559514617,0.5907252075759941
CHRD,0.99999976,0.003578652559514617,0.5907252075759941
CSMD1,0.99999976,0.003578652559514617,0.5907252075759941
DNMT3A,0.99999976,0.003578652559514617,0.5907252075759941
RYR2,0.99999964,0.0037342461490587064,0.5907252075759941
LGALS3BP,0.9999995,0.003889839738602796,0.5907252075759941
DMD,0.9999995,0.003889839738602796,0.5907252075759941
OBSCN,0.9999994,0.003889839738602796,0.5907252075759941
NOTCH1,0.9999994,0.003889839738602796,0.5907252075759941
KMT2D,0.9999994,0.003889839738602796,0.5907252075759941
TJP2,0.9999993,0.004045433328146886,0.5907252075759941
UGT1A5,0.99999917,0.004045433328146886,0.5907252075759941
LRP2,0.99999917,0.004045433328146886,0.5907252075759941
SNAP91,0.99999905,0.004356620507235176,0.6085062338910001
SYNE2,0.99999905,0.004356620507235176,0.6085062338910001
HUWE1,0.9999988,0.004512214096779266,0.6168292674852507
KIF13B,0.999998,0.004978994865411535,0.6188549793653328
KAT7,0.999998,0.004978994865411535,0.6188549793653328
AFM,0.99999774,0.005601369223588004,0.6188549793653328
CSMD3,0.99999774,0.005601369223588004,0.6188549793653328
KHSRP,0.9999976,0.005601369223588004,0.6188549793653328
PTPRZ1,0.9999975,0.005756962813132094,0.6188549793653328
CEP350,0.99999726,0.006068149992220384,0.6188549793653328
SYNE1,0.9999969,0.006068149992220384,0.6188549793653328
MDM2,0.9999968,0.006068149992220384,0.6188549793653328
AP3B2,0.9999968,0.006068149992220384,0.6188549793653328
DNAH9,0.99999666,0.006068149992220384,0.6188549793653328
GPALPP1,0.99999666,0.006068149992220384,0.6188549793653328
STXBP5L,0.9999963,0.006068149992220384,0.6188549793653328
PTMA,0.9999963,0.006068149992220384,0.6188549793653328
BRCA2,0.9999962,0.006068149992220384,0.6188549793653328
MACF1,0.9999956,0.006068149992220384,0.6188549793653328
ARHGEF15,0.9999951,0.006534930760852653,0.6459527713612045
ARFGEF1,0.99999475,0.006534930760852653,0.6459527713612045
NSG1,0.9999944,0.006690524350396743,0.6513124083530162
NFKB1,0.9999939,0.007157305119029123,0.6863535132800316
PRMT2,0.99999297,0.0076240858876615025,0.709923939539495
ZNF234,0.9999925,0.0076240858876615025,0.709923939539495
KMT2A,0.99999166,0.008090866656293771,0.7317309867039699
APOB,0.9999896,0.008557647424926151,0.7317309867039699
CAND1,0.9999896,0.008557647424926151,0.7317309867039699
NEB,0.9999893,0.008557647424926151,0.7317309867039699
GPR98,0.9999893,0.008557647424926151,0.7317309867039699
AHNAK,0.9999887,0.008713241014470241,0.7317309867039699
DBN1,0.9999883,0.00886883460401433,0.7317309867039699
MUC17,0.99998784,0.00886883460401433,0.7317309867039699
