gene,Score,p,qvalue
ZFX,1.0,0.0,0.0
GPR98,1.0,0.0,0.0
RELN,1.0,0.0,0.0
ARID2,1.0,0.0,0.0
DNAH3,1.0,0.0,0.0
DNMT3A,1.0,0.0,0.0
MAP2K1,1.0,0.0,0.0
GNG2,1.0,0.0,0.0
RB1,1.0,0.0,0.0
RYR2,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
RAC1,1.0,0.0,0.0
UBC,1.0,0.0,0.0
SVEP1,1.0,0.0,0.0
IDH1,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
CCND1,1.0,0.0,0.0
APOB,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
ATM,1.0,0.0,0.0
HYDIN,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
NDUFAF4,1.0,0.0,0.0
CUL1,1.0,0.0,0.0
TP53,1.0,0.0,0.0
DNAH7,1.0,0.0,0.0
RPRD2,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
ANK3,1.0,0.0,0.0
AHNAK,1.0,0.0,0.0
RYR3,1.0,0.0,0.0
NF1,1.0,0.0,0.0
USH2A,1.0,0.0,0.0
MYO15A,1.0,0.0,0.0
FLG,1.0,0.0,0.0
MYH2,1.0,0.0,0.0
PBRM1,1.0,0.0,0.0
KMT2B,1.0,0.0,0.0
XIRP2,1.0,0.0,0.0
NEB,1.0,0.0,0.0
PRKAR1A,1.0,0.0,0.0
CDKN2A,1.0,0.0,0.0
PRRG4,1.0,0.0,0.0
RLN1,1.0,0.0,0.0
STXBP5L,1.0,0.0,0.0
HUWE1,1.0,0.0,0.0
ASPM,1.0,0.0,0.0
RPL5,1.0,0.0,0.0
ITGA2,1.0,0.0,0.0
RQCD1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
DDX3X,1.0,0.0,0.0
FAT4,1.0,0.0,0.0
HMCN1,1.0,0.0,0.0
PCDH15,1.0,0.0,0.0
FN1,1.0,0.0,0.0
NRAS,1.0,0.0,0.0
MEMO1,1.0,0.0,0.0
PLXNC1,1.0,0.0,0.0
MGAM,1.0,0.0,0.0
DNAH5,1.0,0.0,0.0
APC,1.0,0.0,0.0
FCGBP,1.0,0.0,0.0
DNAH9,1.0,0.0,0.0
COPS5,1.0,0.0,0.0
EP300,1.0,0.0,0.0
APP,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
PTPRT,1.0,0.0,0.0
KCNB2,1.0,0.0,0.0
CHD7,1.0,0.0,0.0
BRAF,1.0,0.0,0.0
CSMD2,1.0,0.0,0.0
ESR1,1.0,0.0,0.0
NUTF2,1.0,0.0,0.0
DNAH8,1.0,0.0,0.0
CSMD1,1.0,0.0,0.0
BRD7,1.0,0.0,0.0
CSMD3,1.0,0.0,0.0
KIT,1.0,0.0,0.0
OBSCN,1.0,0.0,0.0
TMEM47,1.0,0.0,0.0
PKHD1L1,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
LRP2,1.0,0.0,0.0
SPRED1,1.0,0.0,0.0
NTRK1,1.0,0.0,0.0
KMT2A,1.0,0.0,0.0
B2M,1.0,0.0,0.0
NUP98,1.0,0.0,0.0
KIAA1109,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
NXF1,1.0,0.0,0.0
DSCAM,1.0,0.0,0.0
CREBBP,0.9999999,0.0036453433678268476,0.4958541862652791
ABL1,0.9999999,0.0036453433678268476,0.4958541862652791
GRIN3A,0.9999999,0.0036453433678268476,0.4958541862652791
FBN2,0.9999999,0.0036453433678268476,0.4958541862652791
RYR1,0.9999999,0.0036453433678268476,0.4958541862652791
CDK4,0.9999999,0.0036453433678268476,0.4958541862652791
UBA52,0.9999999,0.0036453433678268476,0.4958541862652791
HEY1,0.9999999,0.0036453433678268476,0.4958541862652791
PPP6C,0.9999999,0.0036453433678268476,0.4958541862652791
EFTUD2,0.9999999,0.0036453433678268476,0.4958541862652791
POLR2D,0.9999999,0.0036453433678268476,0.4958541862652791
SNRPD1,0.9999999,0.0036453433678268476,0.4958541862652791
HECTD4,0.9999999,0.0036453433678268476,0.4958541862652791
UBR4,0.9999999,0.0036453433678268476,0.4958541862652791
DNER,0.9999999,0.0036453433678268476,0.4958541862652791
CCDC90B,0.9999999,0.0036453433678268476,0.4958541862652791
ATP6V1D,0.9999999,0.0036453433678268476,0.4958541862652791
ZFHX4,0.9999999,0.0036453433678268476,0.4958541862652791
CNOT1,0.9999999,0.0036453433678268476,0.4958541862652791
PLEKHA7,0.9999999,0.0036453433678268476,0.4958541862652791
FAT2,0.9999999,0.0036453433678268476,0.4958541862652791
PLCB4,0.9999999,0.0036453433678268476,0.4958541862652791
PTPRB,0.9999999,0.0036453433678268476,0.4958541862652791
RASA2,0.9999999,0.0036453433678268476,0.4958541862652791
SACS,0.9999999,0.0036453433678268476,0.4958541862652791
COL4A4,0.9999999,0.0036453433678268476,0.4958541862652791
FAT3,0.9999999,0.0036453433678268476,0.4958541862652791
KEL,0.9999999,0.0036453433678268476,0.4958541862652791
GMCL1,0.9999999,0.0036453433678268476,0.4958541862652791
