gene,Score,p,qvalue
NRAS,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
PDS5A,1.0,0.0,0.0
PTPRO,1.0,0.0,0.0
KIT,1.0,0.0,0.0
PTMA,1.0,0.0,0.0
SRCAP,1.0,0.0,0.0
ZNF277,1.0,0.0,0.0
KMT2C,1.0,0.0,0.0
RNF213,1.0,0.0,0.0
APP,1.0,0.0,0.0
CREBBP,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
NXF1,0.9999999,0.003674781809829941,0.45728066146071833
TP53,0.99999976,0.003674781809829941,0.45728066146071833
OBSCN,0.99999976,0.003674781809829941,0.45728066146071833
MYH10,0.99999964,0.004134129536058739,0.45728066146071833
ABCA13,0.9999995,0.004134129536058739,0.45728066146071833
KMT2B,0.9999994,0.0045934772622875375,0.45728066146071833
GRB10,0.99999905,0.005052824988516225,0.45728066146071833
CTNND1,0.9999989,0.005052824988516225,0.45728066146071833
ZFC3H1,0.9999989,0.005052824988516225,0.45728066146071833
NF1,0.9999988,0.005052824988516225,0.45728066146071833
EGFR,0.99999857,0.005052824988516225,0.45728066146071833
BAHD1,0.99999845,0.005512172714745023,0.4676734037666499
LARP4B,0.999998,0.005971520440973821,0.4676734037666499
TRIP12,0.99999714,0.006430868167202508,0.4676734037666499
HIVEP1,0.9999963,0.006430868167202508,0.4676734037666499
NOTCH1,0.99999607,0.006890215893431306,0.4676734037666499
CNTN5,0.9999957,0.006890215893431306,0.4676734037666499
EP300,0.9999949,0.006890215893431306,0.4676734037666499
ATCAY,0.9999944,0.006890215893431306,0.4676734037666499
BIRC6,0.999987,0.01010564997703256,0.665135507579234
MYO18A,0.99998426,0.011483693155718844,0.7205634665441677
ZNF217,0.9999757,0.011943040881947531,0.7205634665441677
EPHB4,0.99996984,0.011943040881947531,0.7205634665441677
KDM2A,0.99996316,0.012402388608176329,0.7280537312691617
HNRNPA1,0.9998062,0.017914561322921352,1.0
MUC16,0.999775,0.01837390904915015,1.0
UBR5,0.9996908,0.021129995406522717,1.0
NIPBL,0.9996586,0.021589343132751404,1.0
SACS,0.99959165,0.022967386311437687,1.0
CSNK2A1,0.9995221,0.02434542949012397,1.0
