gene,Score,p,qvalue
PTEN,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
ATM,1.0,0.0,0.0
USP9X,1.0,0.0,0.0
NRAS,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
DNMT3A,1.0,0.0,0.0
PRUNE2,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
ADPGK,1.0,0.0,0.0
TG,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
BCOR,1.0,0.0,0.0
CUL1,1.0,0.0,0.0
AKT1,1.0,0.0,0.0
UBC,1.0,0.0,0.0
BRAF,1.0,0.0,0.0
ESR1,1.0,0.0,0.0
EIF1AX,1.0,0.0,0.0
TP53,1.0,0.0,0.0
ARID2,1.0,0.0,0.0
MEN1,1.0,0.0,0.0
TACC2,1.0,0.0,0.0
CAND1,1.0,0.0,0.0
ZFHX3,1.0,0.0,0.0
HRAS,1.0,0.0,0.0
GBF1,0.9999999,0.00255264837268665,0.41335299165987965
KMT2E,0.9999999,0.00255264837268665,0.41335299165987965
GRM6,0.9999999,0.00255264837268665,0.41335299165987965
LTBP1,0.99999976,0.0029780897681344065,0.45113256616642494
DICER1,0.99999976,0.0029780897681344065,0.45113256616642494
MMP12,0.9999995,0.0036162518613060968,0.5306849606466697
FOXP4,0.99999917,0.004467134652201721,0.6169901272570376
FN1,0.99999905,0.004467134652201721,0.6169901272570376
JMJD1C,0.9999989,0.0046798553499255435,0.6209604626962688
CHD2,0.9999987,0.004892576047649477,0.6209604626962688
EPRS,0.9999987,0.004892576047649477,0.6209604626962688
EEF1A1,0.99999857,0.0051052967453733,0.6309071977966584
CHEK2,0.9999982,0.005956179536268924,0.6822004659102163
UBR5,0.9999981,0.005956179536268924,0.6822004659102163
SETD2,0.9999981,0.005956179536268924,0.6822004659102163
BACH1,0.99999774,0.007445224420336127,0.7946084972249648
NUP93,0.99999726,0.007445224420336127,0.7946084972249648
NSD1,0.99999726,0.007445224420336127,0.7946084972249648
CREBBP,0.99999666,0.007870665815783884,0.8213477037982471
SLA,0.9999957,0.008508827908955574,0.8590853009997927
RBBP6,0.99999356,0.00893426930440333,0.8590853009997927
FBXW8,0.9999932,0.00893426930440333,0.8590853009997927
SFI1,0.9999927,0.009146990002127264,0.8590853009997927
SACS,0.9999925,0.009146990002127264,0.8590853009997927
MAP3K1,0.999992,0.00957243139757502,0.8644641892886981
RNF2,0.9999918,0.00957243139757502,0.8644641892886981
KEAP1,0.9999893,0.009997872793022777,0.8858492572836785
SIKE1,0.99998856,0.010423314188470534,0.9064422857232893
PHC1,0.9999871,0.010636034886194468,0.9081239968285313
COTL1,0.9999856,0.011061476281642224,0.9113103968174014
LRRK2,0.9999846,0.011061476281642224,0.9113103968174014
BTRC,0.9999819,0.011699638374813914,0.9312118950529855
DHX30,0.99998164,0.011699638374813914,0.9312118950529855
VCP,0.99997973,0.011912359072537737,0.9323406367439536
DOK5,0.9999778,0.01212507977026167,0.9334323705106362
ANKLE1,0.9999757,0.012337800467985494,0.9344888870590303
BRCA1,0.99997103,0.01340140395660494,0.9489895766858113
DGKB,0.99996865,0.013826845352052808,0.9489895766858113
RPL23,0.99996555,0.01403956604977663,0.9489895766858113
PLEC,0.99996436,0.01403956604977663,0.9489895766858113
INTU,0.9999634,0.014252286747500564,0.9489895766858113
MAP3K3,0.99996185,0.014252286747500564,0.9489895766858113
ARAP3,0.99995434,0.014890448840672255,0.9489895766858113
GRID2,0.99994946,0.015103169538396077,0.9489895766858113
KMT2A,0.99994755,0.015103169538396077,0.9489895766858113
USP6,0.9999474,0.015103169538396077,0.9489895766858113
PPP2R1A,0.9999399,0.015528610933843834,0.9489895766858113
RAI1,0.9999392,0.015528610933843834,0.9489895766858113
CUL2,0.9999349,0.015528610933843834,0.9489895766858113
KLHL22,0.99993265,0.015741331631567768,0.9489895766858113
DGCR8,0.99992895,0.0159540523292917,0.9489895766858113
ZNF624,0.99992836,0.0159540523292917,0.9489895766858113
CSNK2A1,0.9999237,0.016166773027015524,0.9489895766858113
BPIFC,0.9999193,0.016166773027015524,0.9489895766858113
