gene,Score,p,qvalue
DOCK4,1.0,0.0,0.0
SLC25A47,1.0,0.0,0.0
TP53,1.0,0.0,0.0
BDP1,1.0,0.0,0.0
FAT4,1.0,0.0,0.0
GTF2I,1.0,0.0,0.0
EP300,1.0,0.0,0.0
PLXNB2,1.0,0.0,0.0
HRAS,1.0,0.0,0.0
ARHGAP5,1.0,0.0,0.0
BCOR,0.9999999,0.0016242555495398214,0.24959393611261924
PBRM1,0.9999999,0.0016242555495398214,0.24959393611261924
CYLD,0.99999964,0.0037899296155928797,0.5375869393194823
USP9X,0.99999475,0.008662696264212233,0.8134913473300043
VHL,0.9999944,0.008662696264212233,0.8134913473300043
EED,0.9999927,0.00920411478072547,0.8134913473300043
NR2C2,0.99999213,0.009745533297238707,0.8134913473300043
MRGPRX3,0.99999154,0.010286951813752054,0.8134913473300043
FZR1,0.9999907,0.010286951813752054,0.8134913473300043
SMARCA4,0.99998665,0.010828370330265291,0.8134913473300043
DNAH1,0.9999856,0.010828370330265291,0.8134913473300043
HECTD4,0.9999845,0.011369788846778528,0.8134913473300043
MPP6,0.9999752,0.011369788846778528,0.8134913473300043
KCNH4,0.9999722,0.011911207363291765,0.8134913473300043
CTNND2,0.99996173,0.013535462912831586,0.8134913473300043
ATP1A2,0.99995935,0.013535462912831586,0.8134913473300043
CTNNB1,0.99995565,0.013535462912831586,0.8134913473300043
NOTCH1,0.99995124,0.013535462912831586,0.8134913473300043
NIPBL,0.9999448,0.013535462912831586,0.8134913473300043
NF2,0.9999429,0.013535462912831586,0.8134913473300043
PLXNA1,0.9999392,0.014076881429344823,0.8134913473300043
IDH3B,0.9999368,0.01461829994585817,0.8134913473300043
SPEG,0.9999356,0.01461829994585817,0.8134913473300043
PLEKHG4B,0.99992585,0.015159718462371408,0.8134913473300043
ATXN1,0.999915,0.017325392528424466,0.8134913473300043
SYNE2,0.9999137,0.017325392528424466,0.8134913473300043
RABAC1,0.99987113,0.021115322144017346,0.8134913473300043
NISCH,0.9998704,0.021115322144017346,0.8134913473300043
CLOCK,0.9998603,0.021115322144017346,0.8134913473300043
INPP5F,0.99985063,0.021115322144017346,0.8134913473300043
XPO1,0.99984074,0.021656740660530582,0.8134913473300043
SF3B1,0.9998332,0.021656740660530582,0.8134913473300043
MUC16,0.99983203,0.021656740660530582,0.8134913473300043
HUWE1,0.9998258,0.021656740660530582,0.8134913473300043
RNF169,0.99981827,0.021656740660530582,0.8134913473300043
AKT1,0.99981624,0.02219815917704382,0.8134913473300043
HSPA4,0.99979967,0.022739577693557056,0.8134913473300043
COX18,0.9997906,0.022739577693557056,0.8134913473300043
HERC2,0.9997888,0.022739577693557056,0.8134913473300043
PPP2R1A,0.9997726,0.023280996210070404,0.8134913473300043
MAP3K1,0.99975246,0.023280996210070404,0.8134913473300043
ZNF492,0.9997508,0.02382241472658364,0.8134913473300043
BRD7,0.99974257,0.02382241472658364,0.8134913473300043
DMXL1,0.99972934,0.02382241472658364,0.8134913473300043
CTCF,0.9996755,0.024363833243096877,0.8168528818231026
MGA,0.99964786,0.024905251759610114,0.8183407741397195
SOX4,0.9996306,0.025446670276123462,0.8183407741397195
RHOA,0.99961734,0.0259880887926367,0.8183407741397195
DSTYK,0.9996126,0.026529507309149936,0.8183407741397195
GET4,0.999597,0.027070925825663172,0.8183407741397195
FANCG,0.9995814,0.027070925825663172,0.8183407741397195
COL17A1,0.99954516,0.028153762858689757,0.8240561700226019
HECW2,0.9995413,0.028153762858689757,0.8240561700226019
CELSR1,0.9995388,0.028695181375202994,0.8267799133730362
TGFBR2,0.99946123,0.032485110990795873,0.9215776102619629
NEDD4,0.99937004,0.034109366540335695,0.9529950287936215
SIN3A,0.99936455,0.03465078505684893,0.953672352907902
