gene,Score,p,qvalue
USP9X,1.0,0.0,0.0
ACVR2A,1.0,0.0,0.0
CSMD3,1.0,0.0,0.0
PTCH1,1.0,0.0,0.0
ZFHX4,1.0,0.0,0.0
FAT2,1.0,0.0,0.0
NSD1,1.0,0.0,0.0
PPP2R1A,1.0,0.0,0.0
CIC,1.0,0.0,0.0
ABCA13,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
SYNE2,1.0,0.0,0.0
NXF1,1.0,0.0,0.0
SETD2,1.0,0.0,0.0
NIPBL,1.0,0.0,0.0
RYR2,1.0,0.0,0.0
RNF43,1.0,0.0,0.0
SMARCA4,1.0,0.0,0.0
FN1,1.0,0.0,0.0
VPS13A,1.0,0.0,0.0
DMD,1.0,0.0,0.0
XIRP2,1.0,0.0,0.0
KIAA1109,1.0,0.0,0.0
KLF3,1.0,0.0,0.0
CEP290,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
SYNE1,1.0,0.0,0.0
ATM,1.0,0.0,0.0
CHD4,1.0,0.0,0.0
PCLO,1.0,0.0,0.0
EP300,1.0,0.0,0.0
UBR5,1.0,0.0,0.0
INPPL1,1.0,0.0,0.0
LIPN,1.0,0.0,0.0
SCAF4,1.0,0.0,0.0
TP53,1.0,0.0,0.0
CUL3,1.0,0.0,0.0
ELAVL1,1.0,0.0,0.0
RYR1,1.0,0.0,0.0
DOCK11,1.0,0.0,0.0
FGFR2,1.0,0.0,0.0
CASP8,1.0,0.0,0.0
B2M,1.0,0.0,0.0
EYS,1.0,0.0,0.0
KRTAP4-8,1.0,0.0,0.0
USH2A,1.0,0.0,0.0
MDN1,1.0,0.0,0.0
CCDC88A,1.0,0.0,0.0
APP,1.0,0.0,0.0
ESR1,1.0,0.0,0.0
RYR3,1.0,0.0,0.0
FOXA2,1.0,0.0,0.0
MUC5B,1.0,0.0,0.0
DYRK1A,1.0,0.0,0.0
SIN3A,1.0,0.0,0.0
LRP2,1.0,0.0,0.0
LRP1B,1.0,0.0,0.0
KMT2C,1.0,0.0,0.0
UBC,1.0,0.0,0.0
FSIP2,1.0,0.0,0.0
TNRC18,1.0,0.0,0.0
ROCK1,1.0,0.0,0.0
LAMA2,1.0,0.0,0.0
NEB,1.0,0.0,0.0
ARID1B,1.0,0.0,0.0
BRCA1,1.0,0.0,0.0
MAP3K1,1.0,0.0,0.0
CREBBP,1.0,0.0,0.0
BIRC6,1.0,0.0,0.0
CTCF,1.0,0.0,0.0
DNAH10,1.0,0.0,0.0
ZNF292,1.0,0.0,0.0
SMAD2,1.0,0.0,0.0
NF1,1.0,0.0,0.0
HERC2,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
GPR98,1.0,0.0,0.0
JAK1,1.0,0.0,0.0
ZFHX3,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
FAT3,1.0,0.0,0.0
CTNNB1,1.0,0.0,0.0
GATSL2,1.0,0.0,0.0
PCDH15,1.0,0.0,0.0
HMCN1,1.0,0.0,0.0
PIK3R1,1.0,0.0,0.0
LOR,1.0,0.0,0.0
RB1,1.0,0.0,0.0
APC,1.0,0.0,0.0
ARID5B,1.0,0.0,0.0
FOXD2,1.0,0.0,0.0
DNAH7,1.0,0.0,0.0
C1orf115,1.0,0.0,0.0
FAT4,1.0,0.0,0.0
MOV10,1.0,0.0,0.0
FAT1,1.0,0.0,0.0
ANKRD30A,1.0,0.0,0.0
KREMEN2,1.0,0.0,0.0
MACF1,1.0,0.0,0.0
MYCBP2,1.0,0.0,0.0
CHD3,1.0,0.0,0.0
ESRP1,1.0,0.0,0.0
NBEA,1.0,0.0,0.0
HMGA1,1.0,0.0,0.0
HUWE1,1.0,0.0,0.0
MGA,1.0,0.0,0.0
CUL1,1.0,0.0,0.0
TRPV1,1.0,0.0,0.0
MXRA7,1.0,0.0,0.0
KMT2B,1.0,0.0,0.0
DOCK3,1.0,0.0,0.0
ARHGAP35,1.0,0.0,0.0
BRCA2,1.0,0.0,0.0
TCERG1,1.0,0.0,0.0
EIF1AX,1.0,0.0,0.0
OBSCN,1.0,0.0,0.0
CCDC73,1.0,0.0,0.0
C4orf32,1.0,0.0,0.0
DNAH8,1.0,0.0,0.0
DNAH11,1.0,0.0,0.0
KMT2D,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
UPF3A,1.0,0.0,0.0
LRRK2,1.0,0.0,0.0
HSP90AA1,1.0,0.0,0.0
DYNC2H1,1.0,0.0,0.0
MUC16,1.0,0.0,0.0
FUBP1,1.0,0.0,0.0
TAF1,1.0,0.0,0.0
EGFR,1.0,0.0,0.0
