gene,Score,p,qvalue
NTRK1,1.0,0.0,0.0
PPP2R1A,1.0,0.0,0.0
TP53,1.0,0.0,0.0
APP,1.0,0.0,0.0
FBXW7,1.0,0.0,0.0
ARID1A,1.0,0.0,0.0
KRAS,1.0,0.0,0.0
ARHGAP35,1.0,0.0,0.0
RB1,1.0,0.0,0.0
CHD4,1.0,0.0,0.0
PIK3CA,1.0,0.0,0.0
PIK3R1,1.0,0.0,0.0
GTF3C1,1.0,0.0,0.0
PTEN,1.0,0.0,0.0
SYNE1,0.9999999,0.002517080186983156,0.44364537136921023
ARSB,0.99999976,0.003236245954692629,0.44364537136921023
LRP1B,0.99999976,0.003236245954692629,0.44364537136921023
DNAH7,0.99999964,0.003236245954692629,0.44364537136921023
MAP3K4,0.9999995,0.003236245954692629,0.44364537136921023
DSP,0.9999995,0.003236245954692629,0.44364537136921023
CTCFL,0.9999993,0.003595828838547366,0.44364537136921023
SPATA31D1,0.99999905,0.003955411722401991,0.44364537136921023
FRAS1,0.9999988,0.003955411722401991,0.44364537136921023
ZFP36L1,0.99999857,0.004314994606256728,0.44364537136921023
KIF21A,0.99999833,0.004314994606256728,0.44364537136921023
CREBBP,0.99999726,0.004314994606256728,0.44364537136921023
NIPBL,0.9999969,0.004314994606256728,0.44364537136921023
ESF1,0.9999951,0.005753326141675674,0.5507321851479887
NOTCH1,0.999995,0.005753326141675674,0.5507321851479887
MUC16,0.99999404,0.006472491909385147,0.5614886731391616
LRIF1,0.9999939,0.006472491909385147,0.5614886731391616
RFC1,0.9999937,0.006472491909385147,0.5614886731391616
LYST,0.9999906,0.0071916576770946206,0.6049709609580202
AGRN,0.9999877,0.007551240560949357,0.6054668387948703
KMT2D,0.99998367,0.008629989212513567,0.6054668387948703
ADAMTSL1,0.9999802,0.008989572096368192,0.6054668387948703
CHD7,0.99997926,0.009349154980222929,0.6054668387948703
PAK4,0.99997807,0.009349154980222929,0.6054668387948703
CHDC2,0.99997616,0.009349154980222929,0.6054668387948703
USP50,0.99997497,0.009349154980222929,0.6054668387948703
TPTE,0.99997354,0.009349154980222929,0.6054668387948703
MYC,0.9999727,0.009349154980222929,0.6054668387948703
MTBP,0.99996257,0.010427903631787139,0.6054668387948703
ROCK2,0.9999546,0.010787486515641875,0.6054668387948703
USP10,0.99995196,0.011147069399496612,0.6054668387948703
PBRM1,0.9999516,0.011147069399496612,0.6054668387948703
CRTC2,0.99995077,0.011147069399496612,0.6054668387948703
VPS13B,0.99995065,0.011147069399496612,0.6054668387948703
DNAH8,0.9999461,0.011506652283351348,0.6054668387948703
TBXAS1,0.9999331,0.011506652283351348,0.6054668387948703
ZBTB7B,0.99993134,0.011506652283351348,0.6054668387948703
KMT2B,0.99992704,0.011866235167206085,0.6054668387948703
LRP2,0.99992096,0.011866235167206085,0.6054668387948703
STAT3,0.9999192,0.012225818051060822,0.6054668387948703
OBSL1,0.9999126,0.012225818051060822,0.6054668387948703
CSMD1,0.9999099,0.012225818051060822,0.6054668387948703
TCF20,0.99989367,0.012944983818770295,0.6054668387948703
HERC1,0.99989045,0.013304566702625031,0.6054668387948703
KMT2C,0.99988353,0.013304566702625031,0.6054668387948703
