gene,Score,p,qvalue
BAP1,1.0,0.0,0.0
ESR1,1.0,0.0,0.0
EIF1B,1.0,0.0,0.0
EP300,1.0,0.0,0.0
SF3B1,1.0,0.0,0.0
GNA11,1.0,0.0,0.0
GNAQ,1.0,0.0,0.0
PLCB4,0.99999976,0.006419400855920077,0.9593152639087024
CYSLTR2,0.9999993,0.007845934379457908,0.9593152639087024
CAND1,0.99999917,0.00855920114122688,0.9593152639087024
EIF1AX,0.99999905,0.00855920114122688,0.9593152639087024
HUWE1,0.9999987,0.00927246790299574,0.9593152639087024
CCDC8,0.9999975,0.00927246790299574,0.9593152639087024
CUL7,0.9999902,0.011412268188302432,0.9593152639087024
CDH4,0.99998736,0.011412268188302432,0.9593152639087024
PPP2R1A,0.9999769,0.012838801711840264,0.9593152639087024
OBSL1,0.9999753,0.012838801711840264,0.9593152639087024
ITGA4,0.99997485,0.012838801711840264,0.9593152639087024
SMARCA4,0.9999448,0.014978601997146956,0.9593152639087024
JAK1,0.99993455,0.014978601997146956,0.9593152639087024
SETD2,0.9999275,0.014978601997146956,0.9593152639087024
TRAF2,0.9998907,0.016405135520684788,0.9593152639087024
ARID1B,0.9998796,0.016405135520684788,0.9593152639087024
ATXN1,0.9998307,0.01711840228245365,0.9593152639087024
MUC4,0.99981934,0.01711840228245365,0.9593152639087024
EWSR1,0.9997569,0.0199714693295292,0.9882651883863388
HDAC5,0.9996996,0.020684736091298173,0.9882651883863388
PRKDC,0.9996731,0.022111269614836004,0.9882651883863388
CBL,0.9996642,0.022824536376604865,0.9882651883863388
B3GAT3,0.99966,0.022824536376604865,0.9882651883863388
FUS,0.9996424,0.023537803138373725,0.9882651883863388
HERC2,0.99962616,0.024251069900142697,0.9882651883863388
HTT,0.9996092,0.024251069900142697,0.9882651883863388
ITPR1,0.99952006,0.02639087018544939,0.9882651883863388
AHI1,0.9995173,0.02639087018544939,0.9882651883863388
FBXW7,0.9995117,0.02639087018544939,0.9882651883863388
FBLN2,0.9994729,0.02710413694721825,0.9882651883863388
NOTCH2,0.9993728,0.02924393723252494,0.9882651883863388
SYNE1,0.9993556,0.02924393723252494,0.9882651883863388
NPHP3,0.99929,0.029957203994293913,0.9882651883863388
MTOR,0.99921906,0.032097004279600605,0.9882651883863388
ACTB,0.9991897,0.032810271041369465,0.9882651883863388
ALG1,0.99902153,0.03566333808844513,0.9882651883863388
PER1,0.9988952,0.03566333808844513,0.9882651883863388
DTNA,0.99876803,0.03566333808844513,0.9882651883863388
COL9A1,0.9987612,0.03566333808844513,0.9882651883863388
UBR5,0.9986463,0.03708987161198285,0.9882651883863388
TP63,0.99833184,0.03922967189728965,0.9882651883863388
PCCA,0.99817777,0.041369472182596345,0.9882651883863388
NFE2L2,0.9981148,0.041369472182596345,0.9882651883863388
MYH9,0.9977264,0.042796005706134066,0.9882651883863388
RUNX1,0.99758554,0.04493580599144076,0.9882651883863388
GIT1,0.9975841,0.04493580599144076,0.9882651883863388
ZBTB11,0.99721366,0.04778887303851642,0.9882651883863388
PPP2R5D,0.9970445,0.049215406562054254,0.9882651883863388
FLNA,0.9969536,0.049215406562054254,0.9882651883863388
MYCBPAP,0.99678457,0.049928673323823114,0.9882651883863388
FAM198B,0.9966994,0.049928673323823114,0.9882651883863388
MAOB,0.9964114,0.051355206847360946,0.9882651883863388
MAP7D2,0.9964014,0.051355206847360946,0.9882651883863388
CACNA1D,0.99618846,0.05349500713266764,0.9882651883863388
BCOR,0.9961552,0.05349500713266764,0.9882651883863388
PPARD,0.995998,0.0542082738944365,0.9882651883863388
STYXL1,0.9958692,0.05563480741797433,0.9882651883863388
STK11IP,0.99567175,0.05706134094151216,0.9882651883863388
OPRM1,0.99549013,0.058487874465049994,0.9882651883863388
UNC5C,0.9954846,0.058487874465049994,0.9882651883863388
GNB1,0.9952655,0.059201141226818854,0.9882651883863388
PADI2,0.9945363,0.06205420827389441,0.9882651883863388
DENND3,0.9944419,0.06205420827389441,0.9882651883863388
APC,0.9934528,0.06562054208273893,0.9882651883863388
NEDD4,0.9930629,0.06776034236804562,0.9882651883863388
ARSJ,0.9930341,0.0684736091298146,0.9882651883863388
HCN4,0.9923011,0.07061340941512129,0.9882651883863388
ERCC2,0.992255,0.07132667617689015,0.9882651883863388
GTF2E2,0.99217457,0.07132667617689015,0.9882651883863388
NR3C1,0.9921588,0.07132667617689015,0.9882651883863388
MAGED1,0.9915699,0.07203994293865912,0.9882651883863388
CHST2,0.9915172,0.07203994293865912,0.9882651883863388
MDN1,0.9911521,0.07417974322396581,0.9882651883863388
IRAK3,0.99112684,0.07417974322396581,0.9882651883863388
NCOA6,0.9911011,0.07489300998573467,0.9882651883863388
FGFR2,0.99036074,0.07917261055634806,0.9882651883863388
PTPRB,0.990231,0.08059914407988589,0.9882651883863388
ATP2C2,0.9898846,0.08273894436519258,0.9882651883863388
TNPO1,0.98981184,0.08273894436519258,0.9882651883863388
PDE4D,0.98921424,0.08559201141226824,0.9882651883863388
GMEB2,0.9889732,0.08701854493580596,0.9882651883863388
PARD3,0.98891664,0.08701854493580596,0.9882651883863388
SLC7A2,0.9889158,0.08701854493580596,0.9882651883863388
PKHD1L1,0.98885417,0.08701854493580596,0.9882651883863388
WDR47,0.9887427,0.08701854493580596,0.9882651883863388
CLCN5,0.9881132,0.0884450784593438,0.9882651883863388
NEB,0.98781073,0.08915834522111266,0.9882651883863388
FBXL13,0.98754287,0.08915834522111266,0.9882651883863388
DSCAML1,0.98720676,0.09129814550641946,0.9882651883863388
ZNF836,0.9869348,0.09201141226818832,0.9882651883863388
MBP,0.98690736,0.09201141226818832,0.9882651883863388
LRPPRC,0.98672444,0.09201141226818832,0.9882651883863388
SRRM2,0.9865175,0.09415121255349501,0.9882651883863388
CACNA1A,0.98645604,0.09415121255349501,0.9882651883863388
STK4,0.986426,0.09415121255349501,0.9882651883863388
PVRL1,0.9861618,0.09557774607703284,0.9882651883863388
DENND6A,0.9859638,0.0962910128388017,0.9882651883863388
DYNC1H1,0.9858439,0.0962910128388017,0.9882651883863388
TTBK1,0.9857405,0.0962910128388017,0.9882651883863388
CDC27,0.9856522,0.0962910128388017,0.9882651883863388
ZFHX3,0.98553455,0.0962910128388017,0.9882651883863388
MED12,0.9848387,0.09914407988587737,0.9882651883863388
MAN1A1,0.9848343,0.09914407988587737,0.9882651883863388
EIF5A,0.98470426,0.09914407988587737,0.9882651883863388
NDUFA5,0.98439467,0.09914407988587737,0.9882651883863388
PMPCA,0.9841291,0.10057061340941509,0.9882651883863388
GLI2,0.9841225,0.10057061340941509,0.9882651883863388
NLRC5,0.9840984,0.10057061340941509,0.9882651883863388
ITPR3,0.98361486,0.10271041369472189,0.9882651883863388
SQSTM1,0.98355377,0.10271041369472189,0.9882651883863388
OR2B2,0.9833513,0.10271041369472189,0.9882651883863388
YAP1,0.98319256,0.10342368045649075,0.9882651883863388
NEDD9,0.9828577,0.10485021398002858,0.9882651883863388
HOXA4,0.9826499,0.10770328102710414,0.9882651883863388
PRPF8,0.9819693,0.11126961483594866,0.9882651883863388
PPP6R2,0.98170024,0.11340941512125535,0.9882651883863388
PTPN21,0.9810033,0.11340941512125535,0.9882651883863388
LIPI,0.98089707,0.11340941512125535,0.9882651883863388
TADA3,0.98087615,0.11340941512125535,0.9882651883863388
MUC16,0.980368,0.11626248216833102,0.9882651883863388
GRM6,0.9800756,0.11626248216833102,0.9882651883863388
PDGFRA,0.9793632,0.11982881597717543,0.9882651883863388
RABL6,0.979112,0.11982881597717543,0.9882651883863388
TWF2,0.9790452,0.11982881597717543,0.9882651883863388
FXR2,0.97869796,0.12196861626248223,0.9882651883863388
CHAT,0.97858846,0.12196861626248223,0.9882651883863388
OTUD4,0.9783447,0.12196861626248223,0.9882651883863388
KNDC1,0.9782598,0.12196861626248223,0.9882651883863388
ITGA2,0.9782422,0.12196861626248223,0.9882651883863388
RGS12,0.9781618,0.12268188302425109,0.9882651883863388
CHD5,0.97798187,0.12268188302425109,0.9882651883863388
GPATCH8,0.97776836,0.12482168330955778,0.9882651883863388
IGFBP3,0.9776764,0.12553495007132665,0.9882651883863388
TNFRSF1A,0.97739047,0.12696148359486448,0.9882651883863388
SLIT3,0.9772159,0.12767475035663345,0.9882651883863388
MTNR1B,0.97546935,0.1326676176890157,0.9882651883863388
NBN,0.97493523,0.13338088445078455,0.9882651883863388
COX16,0.9748502,0.13338088445078455,0.9882651883863388
SALL3,0.97425663,0.13409415121255353,0.9882651883863388
E2F7,0.9740416,0.13409415121255353,0.9882651883863388
TPCN1,0.9737724,0.13480741797432239,0.9882651883863388
CYTH3,0.97341216,0.13623395149786022,0.9882651883863388
ZNF780A,0.9733617,0.13623395149786022,0.9882651883863388
ROS1,0.97306526,0.13694721825962908,0.9882651883863388
CSMD2,0.97299,0.13694721825962908,0.9882651883863388
GREB1,0.97284734,0.13766048502139805,0.9882651883863388
POLD1,0.97189754,0.13980028530670474,0.9882651883863388
TMTC1,0.97079414,0.14194008559201143,0.9882651883863388
CAMTA1,0.9704779,0.14407988587731813,0.9882651883863388
ANO10,0.96980816,0.14550641940085596,0.9882651883863388
PLXND1,0.9691824,0.14621968616262482,0.9882651883863388
KL,0.9686322,0.14907275320970048,0.9882651883863388
MYH2,0.9680762,0.14978601997146934,0.9882651883863388
WDR66,0.968031,0.14978601997146934,0.9882651883863388
SORCS2,0.96784043,0.14978601997146934,0.9882651883863388
ITPR2,0.96728253,0.1504992867332382,0.9882651883863388
HIRA,0.96724373,0.15121255349500717,0.9882651883863388
WDR7,0.9671623,0.15121255349500717,0.9882651883863388
THOC2,0.9669238,0.152639087018545,0.9882651883863388
ZCCHC2,0.96689457,0.152639087018545,0.9882651883863388
ITGAX,0.9668675,0.152639087018545,0.9882651883863388
KDM3B,0.96671826,0.1547788873038517,0.9882651883863388
DHPS,0.9655666,0.15905848787446508,0.9882651883863388
EPHA5,0.9652583,0.16119828815977177,0.9882651883863388
NLRP3,0.9651961,0.16119828815977177,0.9882651883863388
PPEF1,0.96478236,0.16119828815977177,0.9882651883863388
SMC1A,0.9646457,0.16119828815977177,0.9882651883863388
UBR4,0.96461993,0.16119828815977177,0.9882651883863388
MYBPC2,0.96407586,0.1626248216833096,0.9882651883863388
PCDH10,0.9636064,0.16333808844507847,0.9882651883863388
PTPRU,0.9634611,0.16405135520684733,0.9882651883863388
SZT2,0.9629677,0.16405135520684733,0.9882651883863388
DOCK10,0.96277386,0.1647646219686163,0.9882651883863388
