Hugo_Symbol,Score
ACBD3,0.9462919
ACTN2,0.74106115
ADAM15,0.75520957
ADAM30,0.72056997
ADAMTSL4,0.9217442
ADSS,0.8034369
AGL,0.6714461
AHCYL1,0.80586976
ALG6,0.71068025
ANGPTL7,0.26293188
ANKRD35,0.7151241
ARHGEF11,0.99819404
ARID1A,0.8063727
ARTN,0.2262816
ASH1L,0.9736859
ASPM,0.9985656
ASTN1,0.99975187
ATF6,0.6406067
ATP13A2,0.59335077
ATP1A2,0.97672415
ATP1A4,0.9315165
ATP5F1,0.69030845
ATP8B2,0.98605496
BAI2,0.80771554
BCAN,0.8134248
BMP8B,0.55417246
BRDT,0.21533959
C1QC,0.14521909
C1orf158,0.25628456
C1orf226,0.3652866
C1orf54,0.5422177
C1orf87,0.6839194
C8B,0.51558304
CACNA1S,0.8792894
CADM3,0.8385974
CAMTA1,0.86575645
CAPN2,0.9735397
CCDC30,0.6291679
CCNL2,0.7144094
CD1A,0.08923296
CD1C,0.82299155
CD1E,0.43955567
CD5L,0.35755062
CDC7,0.7118484
CDC73,0.9956862
CEP104,0.7125228
CEP350,0.8452217
CHD5,0.9595422
CHIA,0.5676641
CHRNB2,0.380233
CLK2,0.72744566
CR2,0.63186383
CRB1,0.6467991
CSMD2,0.6548734
CTBS,0.3646775
CYP4A22,0.800412
DENND2C,0.84130925
DENND4B,0.49044317
DHCR24,0.78171974
DISC1,0.99497813
DLGAP3,0.49707904
DMAP1,0.9348547
DMRTB1,0.449199
DNAH14,0.8576484
DPYD,0.9910287
DSTYK,0.74875534
DTL,0.6841809
DUSP12,0.40350223
DUSP27,0.7272708
DVL1,0.76176345
AGO3,0.9954267
EIF2D,0.83521897
ELAVL4,0.7001848
ELK4,0.61547065
ELTD1,0.7630517
EMC1,0.99643505
EPB41,0.56979257
EPHA10,0.60453016
EPHA8,0.2274522
EPRS,0.9905448
ESPN,0.3202476
EXO1,0.989442
F5,0.9283594
FBXO6,0.9998865
FCRL3,0.47550878
FCRL5,0.9999032
FCRL6,0.6523659
FGGY,0.9835501
FH,0.79136044
FHAD1,0.27195758
FLG,0.9492723
FLG2,0.9960769
FMO1,0.9514994
FOXJ3,0.7824244
FUCA1,0.6234832
GATAD2B,0.98788655
GLMN,0.6661445
GMEB1,0.80766135
GNB1,0.99181056
GPA33,0.6721466
GPATCH2,0.6372274
H3F3A,0.6284924
HCN3,0.53575546
HDAC1,0.99876523
HEATR1,0.93359095
HFM1,0.9096809
HHIPL2,0.9137002
HIVEP3,0.9999738
HMCN1,0.999874
HMGCS2,0.999608
HOOK1,0.856358
HPCAL4,0.36974806
HRNR,0.98839337
HSD11B1,0.94608456
HSPG2,0.99909234
IFI16,0.64381963
IFI44L,0.7756051
IFI6,0.33325142
IGFN1,0.87610817
IGSF21,0.7468688
IGSF3,0.9481427
IL23R,0.7294419
IL6R,0.42607465
ILDR2,0.9809394
INPP5B,0.65857714
INSRR,0.29516497
INTS3,0.86183065
IPP,0.5403023
IQGAP3,0.7009425
ITLN1,0.10705049
ITLN2,0.2294545
JAK1,0.98847127
KAZN,0.919232
KCNC4,0.7180302
KCND3,0.9996916
KCNH1,0.96566665
KCNK2,0.99778455
KCNN3,0.50867546
KCNQ4,0.6815265
