Hugo_Symbol,Score
AADACL3,0.47522178
AADACL4,0.13196374
ABCA4,0.97482204
ABCB10,0.9374085
ABCD3,0.9685324
ABL2,0.99982125
ACADM,0.7719245
ACAP3,0.3125883
ACBD3,0.82533765
ACBD6,0.5160013
ACOT11,0.38378683
ACOT7,0.40698093
ACTA1,0.8546183
ACTL8,0.7649334
ACTN2,0.7167685
ACTRT2,0.3469798
ADAM15,0.6838882
ADAM30,0.6140478
ADAMTS4,0.8380642
ADAMTSL4,0.85504633
ADAR,0.8099498
ADCK3,0.9943534
ADCY10,0.9922051
ADIPOR1,0.5351453
ADORA1,0.087594055
ADORA3,0.32073084
ADPRHL2,0.2027209
ADSS,0.6229401
AGL,0.9823929
AGMAT,0.59342337
AGRN,0.818484
AGT,0.42962542
AGTRAP,0.93292016
AHCTF1,0.9944669
AHCYL1,0.8353138
AHDC1,0.9635886
AIDA,0.6894792
AIM1L,0.9929877
AIM2,0.1556967
AJAP1,0.42226458
AK2,0.43308145
AK4,0.21162759
AK5,0.46724236
AKNAD1,0.86082
AKR1A1,0.35551602
AKR7A2,0.49136877
AKR7L,0.0006720126
AKT3,0.52914673
ALDH4A1,0.45213366
ALDH9A1,0.9953538
ALG14,0.17843278
ALG6,0.22172153
ALPL,0.8018325
AMIGO1,0.102572456
AMPD1,0.97051233
AMPD2,0.8099591
AMY2A,0.9519357
AMY2B,0.37471974
ANGPTL1,0.13219894
ANGPTL3,0.5462797
ANKRD13C,0.6297634
ANKRD34A,0.39112556
ANKRD35,0.90593714
ANKRD45,0.3409823
ANP32E,0.72067463
ANXA9,0.99934477
AP4B1,0.1657425
APCS,0.9208278
APH1A,0.42923173
APITD1,0.1218983
APOA1BP,0.32445404
APOA2,0.9426692
APOBEC4,0.26436907
AQP10,0.5933643
ARHGAP29,0.9932191
ARHGAP30,0.8386263
ARHGEF10L,0.9593694
ARHGEF11,0.9986588
ARHGEF16,0.2179556
ARHGEF19,0.5095832
ARHGEF2,0.9949545
ARID1A,1.0
ARID4B,0.98719317
ARL8A,0.9393863
ARNT,0.83494854
ARPC5,0.6513849
ARTN,0.108466834
ARV1,0.3104811
ASAP3,0.673818
ASB17,0.40225765
ASH1L,0.99999
ASPM,0.99980515
ASTN1,0.98797625
ATAD3A,0.6825058
ATAD3B,0.4327142
ATAD3C,0.2180021
ATF6,0.9892402
ATG4C,0.8872427
ATP13A2,0.80090815
ATP1A1,0.9929501
ATP1A2,0.97401166
ATP1A4,0.9068242
ATP1B1,0.6740312
ATP2B4,0.92072946
ATP5F1,0.7804842
ATP6V0B,0.23225546
ATP6V1G3,0.6022473
ATP8B2,0.70538896
ATPAF1,0.42734057
ATXN7L2,0.5313347
AUNIP,0.8926577
AURKAIP1,0.41807076
AVPR1B,0.7129836
AXDND1,0.74771
B3GALNT2,0.32502833
B3GALT2,0.85767967
B3GALT6,0.25229248
B4GALT3,0.70377326
BAI2,0.7762429
BARHL2,0.85734576
BATF3,0.42271107
BCAN,0.58779097
BCAR3,0.86708117
BCAS2,0.94357413
BCL10,0.73156446
BCL9,0.9438344
BEND5,0.3440383
BEST4,0.7181999
BGLAP,0.9921292
BLZF1,0.98255205
BMP8A,0.091264546
BMP8B,0.85643214
BNIPL,0.6845141
BOLA1,0.94409937
BPNT1,0.36561203
BRDT,0.5418116
BROX,0.6389007
BSDC1,0.9129954
BSND,0.1758563
BTBD8,0.9672359
BTF3L4,0.79593486
BTG2,0.9884084
C1QA,0.12518029
C1orf101,0.041298505
C1orf106,0.65765834
C1orf109,0.48316497
C1orf110,0.6927017
C1orf111,0.455466
C1orf112,0.789418
CCDC181,0.32304993
C1orf115,0.33435798
C1orf116,0.7928439
C1orf123,3.3998717e-07
C1orf127,0.79032755
C1orf131,0.7759485
C1orf141,0.06882227
C1orf146,0.12368562
C1orf158,0.34110755
C1orf162,0.09113108
C1orf168,0.39328605
C1orf174,0.07696079
C1orf177,0.08724023
C1orf186,0.909773
C1orf189,0.026010228
C1orf194,0.061577782
C1orf198,0.88532376
C1orf21,0.23732367
C1orf216,0.2716024
C1orf229,0.02823412
C1orf27,0.3300893
C1orf35,0.15594137
C1orf43,0.38147098
C1orf52,0.45979917
C1orf54,0.223005
C1orf56,0.38147715
C1orf64,0.10046547
C1orf74,0.015736261
C1orf87,0.109763525
C1orf94,0.47696158
C1orf95,0.51255095
C4BPA,0.35354748
C4BPB,0.32583442
C8A,0.44297165
C8B,0.3399805
CA14,0.45454448
CA6,0.00040205152
CACHD1,0.85718113
CACNA1S,0.80390346
CACYBP,0.5443691
CADM3,0.9997397
CALML6,0.11848382
CAMK1G,0.30498272
CAMSAP2,0.99487066
CAMTA1,0.9992981
CAP1,0.9999938
CAPN2,0.7506856
CAPN9,0.4968486
CAPZA1,0.7912206
CAPZB,0.5819414
CASP9,0.799436
CASQ1,0.8807774
CASQ2,0.70528215
CASZ1,0.9923665
CATSPER4,0.44735622
CC2D1B,0.402676
CCBL2,0.09686474
CCDC17,0.8523253
CCDC18,0.9980415
CCDC23,0.36790022
CCDC24,0.8411339
CCDC27,0.36189324
CCDC30,0.96860236
CCNL2,0.97160655
CCSAP,0.179125
CCT3,0.9409621
CD101,0.92958075
CD160,0.7769427
CD1A,0.18330339
