Hugo_Symbol,Score
AADACL3,0.38163188
ABCA4,0.76535505
ABCB10,0.88617414
ABCD3,0.94588226
ABL2,0.8003656
ACAP3,0.38277492
ACBD3,0.84176445
ACOT7,0.66588104
ACP6,0.10111124
ACTA1,0.99661946
ACTL8,0.4029114
ACTN2,0.9120241
ADAM15,0.73737264
ADAM30,0.3973447
ADAMTS4,0.4282069
ADAMTSL4,0.85711837
ADAR,0.81068826
ADCK3,0.6551132
ADCY10,0.98575103
ADORA1,0.41251627
ADORA3,0.91989124
ADPRHL2,0.4630012
AGL,0.9968449
AGMAT,0.15780935
AGRN,0.887135
AHCTF1,0.99593866
AHCYL1,0.8363174
AHDC1,0.9856543
AIM2,0.23470165
AJAP1,0.9310387
AK5,0.19616729
AKIRIN1,0.40211284
AKNAD1,0.9112053
AKR1A1,0.77456015
AKT3,0.31695202
ALDH4A1,0.4959736
ALDH9A1,0.7683969
ALG14,0.3440107
ALG6,0.65572923
ALPL,0.29667768
AMIGO1,0.39093754
AMPD1,0.8550305
AMPD2,0.99386555
AMY2A,0.7264057
AMY2B,0.19067232
ANGPTL1,0.39128393
ANGPTL3,0.8055081
ANGPTL7,0.06988556
ANKRD13C,0.3747504
ANKRD34A,0.47767636
ANKRD35,0.8558469
ANKRD65,0.34280875
ANP32E,0.1542453
ANXA9,0.48669106
AP4B1,0.40087175
APCS,0.34839362
APH1A,0.74125844
APOBEC4,0.18719476
AQP10,0.97158134
ARF1,0.009082655
ARHGAP29,0.7910834
ARHGAP30,0.79602146
ARHGEF10L,0.97094935
ARHGEF11,0.9993723
ARHGEF16,0.2611837
ARHGEF19,0.9624602
ARHGEF2,0.97611976
ARID1A,0.9945103
ARID4B,0.89120454
ARNT,0.99938667
ARPC5,0.38594136
ARV1,0.51820153
ASAP3,0.7435255
ASB17,0.57404447
ASH1L,0.9937937
ASPM,0.9970471
ASTN1,0.9598231
ATAD3A,0.622052
ATAD3B,0.41632783
ATAD3C,0.7525343
ATF6,0.68241686
ATG4C,0.70218253
ATP13A2,0.66406274
ATP1A2,0.999428
ATP1A4,0.9134216
ATP1B1,0.6517362
ATP2B4,0.7861952
ATP5F1,0.73662674
ATP6V1G3,0.33259845
ATP8B2,0.85602087
ATPAF1,0.25766045
ATPIF1,0.33456492
ATXN7L2,0.9997557
AUNIP,0.45634297
AURKAIP1,0.056104828
AVPR1B,0.9077883
AXDND1,0.8159383
B3GALT2,0.53225535
B4GALT3,0.87023866
BAI2,0.8908075
BARHL2,0.6112706
BCAN,0.7469452
BCAR3,0.94315404
BCL10,0.7485321
BCL9,0.80185306
BEND5,0.03224309
BEST4,0.87814367
BMP8B,0.031284075
BNIPL,0.2077293
BOLA1,0.8145983
BRDT,0.19590233
BSDC1,0.9896235
BSND,0.32629108
BTBD8,0.9634065
C1QA,0.86474216
C1QC,0.15829946
C1orf106,0.98671955
C1orf110,0.745743
C1orf112,0.81171227
CCDC181,0.51240647
C1orf116,0.864026
C1orf122,0.25344732
C1orf127,0.6464457
C1orf131,0.4150247
C1orf141,0.15022813
C1orf158,0.090726554
C1orf168,0.64952374
C1orf174,0.18662108
C1orf177,0.3933363
C1orf186,0.10727827
C1orf21,0.101501696
C1orf228,0.18629879
C1orf27,0.62037235
C1orf43,0.4490694
C1orf53,0.8638659
C1orf54,0.07442428
C1orf61,0.119390614
C1orf68,0.92052406
C1orf86,0.05168634
C1orf94,0.9976883
C2CD4D,0.022471322
C4BPA,0.3904827
C8B,0.13524301
CA14,0.64444727
CA6,0.35725936
CACHD1,0.9999647
CACNA1S,0.5914964
CADM3,0.78164166
CAMK1G,0.62640494
CAMSAP2,0.9963225
CAMTA1,0.99703985
CAPN2,0.7428036
CAPN8,0.47044063
CAPN9,0.9896563
CAPZA1,0.84805167
CAPZB,0.62795836
CASP9,0.6828009
CASQ1,0.50503623
