Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ADAM30,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2373.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.258611949,0.241,0.0,3.0,3.0,0.259201659,1.0,0.744047619,0.964025478,18.57346302,560.0,0.009313993,0.0,0.0,5.234286,1.0467396,10.145,1.3128083,-1.3133333,0.045634332,1.740353653,0.010615671,0.0
AMPD1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2343.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.844202309,0.534,0.0,1.0,1.0,0.301295571,0.584976798,0.290023202,0.470624259,19.19616553,472.0,0.01059793,1.56e-06,5.0,19.113334,10.8454935,28.704998,16.170983,-0.07,3.512319,1.908459492,0.031927407,0.0
ANGEL2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1635.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.959284537,0.176,0.0,1.0,1.0,0.879507476,1.0,0.469263257,0.824303779,18.26903671,412.0,0.01206556,1.67e-06,7.0,16.766667,8.413607,25.185,12.575114,-0.07,3.512319,0.048170691,0.031927407,0.0
ANKRD34A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1491.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.88787293,0.256,0.0,1.0,1.0,0.762776506,1.0,0.630914826,0.921504358,19.22547434,466.8741959,0.018313406,0.0,0.0,-0.33,0.003698,0.1,3.2186646,-0.76,3.512319,0.482861738,0.031927407,0.0
ARID4B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3939.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.327795487,0.818,0.0,1.0,1.0,0.011725529,1.0,0.717360115,0.95565087,19.07137123,297.0,0.02157151,2.69e-05,21.0,11.055,2.3740206,11.055,2.3740206,-8.8916674,3.512319,0.482861738,0.031927407,0.0
ATAD3A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1905.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.25352764,0.147,0.0,1.0,1.0,1.0,1.0,0.438596491,0.800076949,20.70933039,248.0,0.02688662,0.000107121,52.0,2.255091688,3.978421135,8.337385514,3.15902447,-8.585875498,3.480420897,0.052286999,0.031927407,0.0
BRDT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2856.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.876434125,0.23,0.0,1.0,1.0,0.950570342,1.0,0.767459708,0.970582731,18.24962227,242.0,0.009175858,4.6e-08,3.0,18.55,6.80805,18.55,6.80805,-8.8916674,3.512319,1.618663013,0.031927407,0.0
C1orf94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1797.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.181211412,0.004,0.0,1.0,1.0,0.784313725,1.0,0.132890365,0.401093795,14.80451524,907.0,0.01607165,0.000214951,63.0,4.8666667,0.7549864,7.565,1.0731125,-0.53,3.512319,0.587291514,0.031927407,0.0
CA6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,942.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.406324439,0.034,0.0,1.0,1.0,0.853242321,1.0,0.328299409,0.693968895,19.68167131,264.0,0.03084746,1.93e-07,3.0,-18.906666,10.86622,0.125,0.0001805,-56.97,3.512319,1.794914535,0.031927407,0.0
CAMTA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5022.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.262895447,0.717,0.0,1.0,1.0,0.412031314,0.643915003,0.795878944,0.855068522,18.14428581,462.0,0.02256161,0.0,1.0,-29.69,18.228722,0.5,3.2186646,-59.88,3.512319,0.482861738,0.031927407,0.0
