Hugo_Symbol,Score
ADAM30,0.96254724
AMPD1,0.9280829
ANGEL2,0.6669017
ANKRD34A,0.13496834
ARID4B,0.8683172
ATAD3A,0.74704355
BRDT,0.5746913
C1orf94,0.6321744
CA6,0.7363121
CAMTA1,0.999464
CEP350,0.99669826
CHIA,0.5437329
CKS1B,0.8072892
CLCC1,0.9813778
CLCN6,0.67510664
CNTN2,0.7842201
CR2,0.67094487
CSF1,0.43773556
CSMD2,0.93918586
DDX59,0.86225367
DHX9,0.967702
DISP1,0.5858236
DNAJC11,0.2850083
DOCK7,0.99999595
DPH2,0.7787218
DRAM2,0.4847375
ELF3,0.88652676
EPHA2,0.99993324
EPHA8,0.935445
EPRS,0.8622612
BRINP3,0.2617333
FMN2,0.9046389
GPN2,0.97701967
HDGF,0.86497295
HMGCL,0.98572254
INADL,0.8555699
IVL,0.3235476
JMJD4,0.5942676
KCNT2,0.7910228
KLHL20,0.77321774
KMO,0.54424065
KTI12,0.6478977
LCE2B,0.07222383
LDLRAD1,0.55379903
LRP8,0.7601539
LRRC52,0.84970987
LRRC71,0.15356256
MAEL,0.7379384
MAN1A2,0.40571684
MAP10,0.79520166
MTR,0.82578
NBPF1,0.48230615
NID1,0.83451796
NR1I3,0.972728
NRAS,0.9683783
OBSCN,0.98602194
OLFM3,0.1599725
OPRD1,0.9670058
OR10J3,0.14265716
OR10X1,0.9636444
OR2L13,0.1535779
OR2T12,0.3602424
OR6P1,0.9384866
PDE4B,0.72675127
PEX11B,0.5902857
PLK3,0.91522616
PLOD1,0.6895807
POLR3C,0.716722
PPCS,0.3026122
PPM1J,0.6296434
PRAMEF12,0.9388669
PRRC2C,0.72160083
PSEN2,0.7531845
PSMA5,0.75157887
PTPRC,0.45251197
PTPRF,0.9836015
RD3,0.5533245
RNF220,0.9005497
RNPC3,0.79222757
ROR1,0.99984586
RPRD2,0.6629406
SASS6,0.65172803
SELENBP1,0.45456815
SELL,0.47862694
SH3GLB1,0.7614844
SMG7,0.40403005
SPTA1,0.7791186
ST6GALNAC3,0.36846933
STK40,0.86923087
TNNI3K,0.08386634
TPR,0.9075043
TUFT1,0.99124146
UBE4B,0.8489986
VAV3,0.9999896
VWA5B1,0.24873145
ZMYM4,0.97089267
ZNF683,0.25357932
ZNF691,0.32750973
ZZZ3,0.619314
ALDH16A1,0.9543435
AP2S1,0.6518902
ATP1A3,0.44668236
BCL3,0.81324124
C3,0.999688
CADM4,0.5148561
CAMSAP3,0.5848103
CAPN12,0.35230643
CEACAM5,0.39226192
CYP2A13,0.30223668
CYP2S1,0.36009634
CYP4F3,0.28891292
DNAAF3,0.3915284
DNM2,0.81293637
DPY19L3,0.6609953
EMR2,0.24465494
FBN3,0.8473279
FPR1,0.21027368
GATAD2A,0.4975435
GLTSCR1,0.85512125
GNA15,0.535857
HAS1,0.90671784
IZUMO2,0.09450144
KCNJ14,0.6552802
KEAP1,0.9526676
KIR3DL3,0.13185646
KIRREL2,0.5894429
KLK5,0.18766953
LAIR2,0.11782198
LIM2,0.51646835
LPHN1,0.84488165
MED16,0.70309514
MUC16,0.97973114
MYH14,0.5163925
NLRP5,0.9997844
NLRP7,0.6084503
OR10H1,0.063987195
OR10H4,0.3448851
PDCD2L,0.34654334
PDE4A,0.7755143
PEPD,0.47602478
PLA2G4C,0.31905687
PRR22,0.27501777
PSG5,0.6264932
PVR,0.5387536
RAB11B,0.7813327
RUVBL2,0.88213825
RYR1,0.99982387
S1PR5,0.27572677
SIGLEC10,0.97252816
SIPA1L3,0.9818471
TICAM1,0.80025405
TMC4,0.772357
TMEM147,0.50542647
WIZ,0.54687583
ZNF100,0.41172114
ZNF136,0.8097842
ZNF14,0.28210774
ZNF208,0.6623376
ZNF234,0.82645756
ZNF345,0.5568558
ZNF431,0.7273686
ZNF534,0.9996724
ZNF536,0.3536594
ZNF610,0.22299683
ZNF627,0.999998
ZNF649,0.97104925
ZNF653,0.45148194
ZNF728,1.0
ZSCAN1,0.82920694
AHNAK,0.98308796
AMBRA1,0.99852633
ANO1,0.997675
APOA4,0.9997547
ARFGAP2,0.8031797
ART5,0.53889376
ATM,0.9999659
B3GNT6,0.9335041
BAD,0.99603003
BCO2,0.30658805
BIRC2,0.8556127
C11orf52,0.9571538
CAPRIN1,0.6989274
CDC42BPG,0.7082467
CREB3L1,0.5292236
DCHS1,0.9047726
DDB2,0.91421056
DSCAML1,0.9283144
ETS1,0.32810158
FEZ1,0.51375717
GRM5,0.98725104
HNRNPUL2,0.6708782
IL10RA,0.6658562
KIAA1377,0.7668482
LRFN4,0.9947336
MAP3K11,0.8948706
MPZL3,0.37998196
MRVI1,0.9995695
MUC2,0.35086942
MUC5B,0.9147877
MYO7A,0.971538
NELL1,0.7768928
NOX4,0.99690646
OR51G2,0.9536754
OR51I1,0.101710364
OR52I1,0.07028724
OR5D16,0.315872
OR5L2,0.32461357
OR6T1,0.39294437
PAX6,0.55833584
PDE3B,0.70098615
PIH1D2,0.36671412
PPFIBP2,0.9775419
PRMT3,0.8334496
RBM4,0.99643815
ROBO4,0.2579052
RPS3,0.84958476
SCN3B,0.3425509
SLC17A6,0.8853243
SLC3A2,0.7484543
SPTY2D1,0.5794347
SRSF8,0.73261243
SSRP1,0.8839369
ST5,0.9349593
TIGD3,0.10730247
TRPC6,0.87411845
UBQLNL,0.10368542
USP28,0.9971644
USP47,0.67282826
ABHD1,0.2730383
ACSL3,0.73091793
ALMS1,0.7896661
ANKRD36,0.5205219
ANO7,0.33851203
ARID5A,0.32944772
ARMC9,0.9107618
BIN1,0.9976755
BIRC6,0.9361311
C2orf71,0.8180824
CAD,0.95061266
CAPN13,0.205046
CEP68,0.2004588
CLHC1,0.71688044
COL6A3,0.90945834
CTNNA2,0.99597615
DFNB59,0.28342333
DNAH7,0.8673898
DOCK10,0.99997973
EML6,0.2851828
ERBB4,0.96430314
ERLEC1,0.59963834
FSIP2,0.97248554
GAL3ST2,0.4924589
GALNT5,0.6581222
GPR113,0.6363517
GRB14,0.5911852
HADHB,0.57902116
HECW2,0.8992451
IDH1,0.99995136
IFT172,0.46081552
IGKV1-9,0.6280583
IL1F10,0.5119899
INPP5D,0.8117118
IRS1,0.845229
KIAA1715,0.28633812
KYNU,0.9644855
LRP1B,0.9593942
LRP2,0.9987858
7-Mar,0.76628196
MARCO,0.6276843
METTL8,0.81383
MTHFD2,0.52782714
NAB1,0.5993466
NEB,0.9915803
NFE2L2,0.97512746
NYAP2,0.7503166
OTOF,0.9409617
PAX3,0.80420965
PLCL1,0.27013204
PPP1CB,0.8661163
PRPF40A,0.9790436
PTPN4,0.6868842
REG3G,0.40878302
RGPD8,0.64346075
RNF103,0.5981182
SCLY,0.6910145
SCN7A,0.7147108
SEMA4C,0.57276905
SERPINE2,0.42701665
SF3B1,0.9964893
SLC25A12,0.66255367
SMARCAL1,0.43317577
SPEG,0.9300276
SPTBN1,0.96115565
STON1-GTF2A1L,0.23054661
TBC1D8,0.26719058
TMEM198,0.2150943
TRIP12,0.9918928
UGGT1,0.6799864
UNC80,0.5952932
UXS1,0.7952301
WDR92,0.6233365
ALDH3A1,0.99403137
ATAD5,0.8588857
ATP6V0A1,0.84171
C17orf77,0.74634874
CACNA1G,0.670743
CACNG5,0.45270628
CEP95,0.6286191
CPD,0.72457796
DNAH17,0.7830852
DNAH2,0.9943218
EFCAB5,0.59218407
ENGASE,0.99348986
ERBB2,0.9882459
FMNL1,0.64751077
GHDC,0.27079526
GPS2,0.9261604
GRB2,0.99741817
GSDMA,0.4221569
HEATR6,0.7894292
HSF5,0.68488157
KIAA0100,0.5799412
KIF19,0.774928
KLHL11,0.8786104
MED13,0.99744594
MYO15A,0.94933
MYO1C,0.64932764
NDEL1,0.8224871
NEURL4,0.9216488
PIP4K2B,0.24824105
PRR11,0.6359641
RARA,0.8357188
RNF112,0.4818942
RNF213,0.7496455
SCIMP,0.6365022
SCN4A,0.29187602
SDK2,0.69577247
SGCA,0.82405907
SMG6,0.9902778
SMG8,0.6911051
SPPL2C,0.6111726
STAT5A,0.63067955
TEX14,0.7490526
TMEM11,0.21901086
TMEM132E,0.723854
TMIGD1,0.80643535
TP53,1.0
TRAF4,0.91096616
TUBD1,0.94722676
UBTF,0.9000715
WDR81,0.53261256
WFIKKN2,0.80611897
YPEL2,0.53341573
ZBTB4,0.7439596
ZPBP2,0.9788461
APPL1,0.5861888
ATP13A3,0.85402954
ATR,0.98552215
BAP1,0.99999535
BOC,0.6085093
CADM2,0.6851954
CGGBP1,0.46845996
CHL1,0.3010461
COL6A6,0.8418911
COL7A1,0.9918107
CPNE9,0.69116664
DAZL,0.981513
DNAJB8,0.23144493
DNASE1L3,0.40855467
DZIP3,0.6041862
ETV5,0.59643704
GNL3,0.7677393
HTR1F,0.58347577
IMPG2,0.5910923
ISY1,0.2746963
KBTBD8,0.40811783
KIAA1407,0.3875586
LPP,0.9027143
LRCH3,0.85703313
NRROS,0.8856995
MME,0.93491226
NCKIPSD,0.7092672
NFKBIZ,0.99681085
NUP210,0.96709824
NXPE3,0.91852814
PBRM1,1.0
PIK3CA,0.9953382
PRKCD,0.9993536
PTH1R,0.8196824
PTPRG,0.7598258
SLC9A9,0.6899861
SLC9C1,0.21569142
STAB1,0.9507481
TGFBR2,0.9929971
TIGIT,0.28651547
TNIK,0.95093346
TRANK1,0.99685955
TRAT1,0.13047168
VPRBP,0.94686145
AIM1,0.990724
ANKS1A,0.50213975
ARID1B,0.9951015
BTN3A1,0.43853205
COL9A1,0.99519366
DAXX,0.84287465
DNAH8,0.9915558
EHMT2,0.8479283
EPHA7,0.6364335
EYS,0.33128232
F13A1,0.45568633
FAM184A,0.95038956
FAM50B,0.5819921
FGFR1OP,0.99591583
GMPR,0.40600318
GPR31,0.7915052
GRIK2,0.87769115
HIST1H3G,0.9905522
HLA-DMA,0.5336883
HLA-DOA,0.49342632
HLA-DRA,0.83794284
HSP90AB1,0.9964264
KIAA1586,0.76873225
KIF6,0.6212618
LAMA4,0.9927879
ME1,0.6488132
OR2J3,0.5042728
PGBD1,0.6532383
PHF3,0.6121273
PHIP,0.95347756
PKHD1,0.93075645
PNLDC1,0.25273874
PRDM1,0.9908024
PTPRK,0.98230034
REV3L,0.77478004
ROS1,0.7417688
RREB1,0.97374856
SERAC1,0.96738183
SYCP2L,0.771877
SYNE1,0.9990534
T,0.97389954
TRIM39,0.78529227
TUBB2A,0.74324113
VPS52,0.8078033
ZKSCAN4,0.41255
ZSCAN16,0.12563281
ZUFSP,0.25720063
ADAMTS20,0.9852841
AGAP2,0.9996419
ANKRD33,0.6050294
ATP2B1,0.7198326
ATP5G2,0.88301283
B4GALNT3,0.82600236
CAND1,0.9998616
CELA1,0.66173816
DGKA,0.7886081
DTX1,0.54303485
DYRK4,0.3642699
EP400,0.9965808
GCN1L1,0.957266
GXYLT1,0.8788585
ITPR2,0.9917201
KRAS,0.99667156
KRT1,0.7801528
KRT3,0.18768701
LRP1,0.9982331
KMT2D,0.99303496
MUCL1,0.38688427
NELL2,0.4458462
NR2C1,0.52156925
OR6C3,0.17700705
SCN8A,0.7271895
SOX5,0.8391379
SPATS2,0.93118477
STAB2,0.45946506
STAT6,0.8308215
TAS2R31,0.17899615
TMEM132C,0.4102131
TMEM132D,0.8997736
TMTC2,0.35548303
TRHDE,0.87447536
VWF,0.9896926
WNK1,0.8047508
WNT10B,0.5811753
ZDHHC17,0.9796863
ZFC3H1,0.824405
ZNF268,0.29900724
ZNF385A,0.46412575
ABCA13,0.8749042
ACHE,0.8396053
ARHGEF5,0.8099316
ASNS,0.76893985
BRAF,0.99212587
CALCR,0.8813997
CALD1,0.47667462
CHRM2,0.2473518
DGKI,0.95880103
ELN,0.5066385
FBXO24,0.15613657
FOXK1,0.55722845
GIMAP2,0.98631084
GPR85,0.9756315
GRM3,0.8913702
GSTK1,0.42842656
GTF2IRD1,0.83013654
HDAC9,0.77710885
HNRNPA2B1,0.9912661
HTR5A,0.6075628
KCNH2,0.67280173
KIAA1324L,0.21346177
KMT2C,0.99754936
NACAD,0.5037607
NFE2L3,0.4170187
NOM1,0.7787958
NOS3,0.9654758
OR2A12,0.0589474
PCLO,0.9196245
PLXNA4,0.8118659
PRSS58,0.36925137
SND1,0.7348725
TAS2R41,0.6164135
TMUB1,0.20721234
TRBV5-1,0.11252307
WBSCR22,0.8741003
