Hugo_Symbol,Score
AADACL3,0.326106
AADACL4,0.5262521
ABCA4,0.8424617
ABCD3,0.9878005
ABL2,0.7877893
ACAP3,0.8819638
ACOT11,0.06585509
ACP6,0.81580436
ACTA1,0.96867085
ACTL8,0.1546877
ACTN2,0.6728893
ACTRT2,0.40775022
ADAM15,0.85542375
ADAMTS4,0.6947979
ADAMTSL4,0.91796947
ADAR,0.77092737
ADCK3,0.335276
ADCY10,0.99999094
ADORA1,0.19701926
ADSS,0.84038806
AGBL4,0.9858403
AGL,0.9876254
AGMAT,0.6577417
AGRN,0.9655635
AGT,0.3302561
AHCTF1,0.9962639
AHDC1,0.99651754
AIM1L,0.8308904
AIM2,0.5139295
AJAP1,0.9883173
AK4,0.11478207
AK5,0.8921232
AKNAD1,0.98690784
AKR7A3,0.033297006
AKT3,0.89296484
ALDH4A1,0.900211
ALG14,0.3231922
ALPL,0.4640838
ALX3,0.106164515
AMIGO1,0.5112472
AMPD1,0.98637414
AMPD2,0.98284525
AMY2A,0.70594233
AMY2B,0.9785881
ANGEL2,0.23362672
ANGPTL1,0.98791623
ANKRD13C,0.43589708
ANKRD34A,0.46946922
ANKRD35,0.9616427
ANKRD45,0.14119403
AP4B1,0.42682815
APCS,0.9339397
APOA1BP,0.33301324
AQP10,0.9074765
ARHGAP29,0.89204544
ARHGAP30,0.7239293
ARHGEF10L,0.7783584
ARHGEF11,0.9996288
ARHGEF16,0.18283322
ARHGEF19,0.6809368
ARID1A,0.99791056
ARID4B,0.84542394
ASAP3,0.8718434
ASH1L,0.99918634
ASPM,0.9998122
ASTN1,0.9986646
ATAD3A,0.63185954
ATAD3B,0.7088469
ATAD3C,0.4411737
ATF6,0.8780979
ATG4C,0.9984059
ATP13A2,0.8134339
ATP1A1,0.9967721
ATP1A2,0.99497604
ATP1A4,0.98534805
ATP2B4,0.9935133
ATP8B2,0.9767104
ATXN7L2,0.5144128
AVPR1B,0.77969694
AXDND1,0.99671626
B3GALNT2,0.8899108
B3GALT2,0.8879253
BAI2,0.90819514
BCAN,0.49603587
BCAR3,0.8697595
BCAS2,0.97257227
BCL9,0.9747283
BEND5,0.7098129
BMP8A,0.06592455
BNIPL,0.5066802
BOLA1,0.45458114
BPNT1,0.9872635
BSDC1,0.0057400293
BSND,0.89718384
C1QA,0.3638953
C1QB,0.9735337
C1QC,0.024963072
C1orf101,0.95997447
CCDC181,0.8758121
C1orf115,0.15510917
C1orf116,0.2633899
C1orf127,0.814351
C1orf141,0.018961508
C1orf146,0.37542814
C1orf159,0.23977171
C1orf167,0.77917725
C1orf177,0.99756575
C1orf186,0.09299331
C1orf21,0.40884128
C1orf228,0.014254182
C1orf35,0.49194014
C1orf50,0.08851382
C1orf52,0.26272184
C1orf74,0.11401069
C1orf87,0.04463042
C1orf94,0.9772609
C1orf95,0.68553716
C2CD4D,0.0031052288
C8A,0.21827117
C8B,0.48454443
CA6,0.42299724
CACHD1,0.9998728
CACNA1S,0.9977132
CADM3,0.5607024
CAMSAP2,0.96448255
CAMTA1,0.9954358
CAP1,0.6806711
CAPN2,0.9783055
CAPN8,0.6019132
CAPN9,0.98053396
CASP9,0.7560493
CASQ1,0.032844916
CASQ2,0.9694019
CASZ1,0.97386837
CATSPER4,0.32914174
CC2D1B,0.20496646
CCDC17,0.7330714
CCDC18,0.99828583
CCDC27,0.47900447
CCDC28B,0.47170284
CCDC30,0.5291517
CCNL2,0.5190318
CCSAP,0.9986047
CCT3,0.8939524
CD101,0.604763
CD1A,0.26660022
CD1B,0.30113006
CD1C,0.5395268
CD1D,0.09666015
CD1E,0.99912864
CD34,0.893645
CD48,0.09830985
CD52,0.104033396
CD53,0.8435731
CD58,0.2563056
CD5L,0.028565712
CD84,0.13562153
CDC14A,0.38662887
CDC20,0.9318601
CDC42BPA,0.9988967
CDC73,0.98636556
CDCP2,0.99720615
CDK11A,0.99197125
CDK11B,0.83756226
CELA2A,0.6516118
CELA2B,0.11035561
CELA3B,0.726055
CELF3,0.6791198
CELSR2,0.9936832
CENPF,0.99937505
CEP170,0.9986266
CEP350,0.9982632
CEP85,0.96825075
CERS2,0.97751117
CFH,0.86378986
CFHR1,0.19409007
CFHR2,0.035231657
CFHR3,0.9949379
CFHR4,0.14714193
CFHR5,0.5305621
CGN,0.9893456
CHD1L,0.97628784
CHD5,0.99395657
CHI3L1,0.119047664
CHI3L2,0.95257586
CHIA,0.16848
CHIT1,0.58273596
CHRM3,0.9938306
CHRNB2,0.7544065
CHTOP,0.9993986
CLCA1,0.8027819
CLCA2,0.14157599
CLCA4,0.649763
CLCC1,0.9920254
CLCN6,0.6828246
CLCNKA,0.3725768
CLCNKB,0.70394564
CLDN19,0.06391743
CLK2,0.74127424
CLSPN,0.8933708
CLSTN1,0.9994869
CNKSR1,0.99251294
CNST,0.7723688
CNTN2,0.9267917
COG2,0.74812174
COL16A1,0.9911834
COL24A1,0.9889792
COL9A2,0.9260219
COLGALT2,0.9980282
COPA,0.98463124
CPSF3L,0.88510406
CPT2,0.52898246
CR1,0.99956447
CR1L,0.291455
CR2,0.9987815
CRB1,0.77386725
CREB3L4,0.17307813
CRNN,0.15736967
CROCC,0.99993825
CRP,0.018882912
CRTC2,0.9335519
CRYZ,0.44910866
CSDE1,0.9996014
CSF1,0.20637445
CSF3R,0.99404293
CSMD2,0.9999931
CTRC,0.6342436
CTSK,0.064315654
CTSS,0.55366826
CYB5R1,0.44073266
CYB5RL,0.7064553
CYP2J2,0.006515616
CYP4A11,0.013554776
CYP4A22,0.97382504
CYP4B1,0.4876942
CYP4X1,0.0015960011
CYP4Z1,0.9970931
DAB1,0.60224485
DAP3,0.7172047
DARS2,0.9964897
DBT,0.992969
DCAF6,0.7587609
DCDC2B,0.10900834
DCST1,0.69187504
DCST2,0.97817254
DDAH1,0.97215366
DDR2,0.97132236
DDX20,0.9983518
DEDD,0.8758958
DEGS1,0.25136936
DENND1B,0.48693162
DENND2C,0.9975938
DENND2D,0.98227316
DENND4B,0.7198126
DEPDC1,0.9675469
DFFA,0.38962135
DHX9,0.9992987
DIRAS3,0.19586194
DISP1,0.7249358
DLGAP3,0.35110813
DMAP1,0.98033214
DMBX1,0.482316
DMRTB1,0.6148512
DNAH14,0.9999336
DNAJC6,0.86885923
DNALI1,0.6127251
DNTTIP2,0.67373365
DOCK7,1.0
DPH2,0.75366324
DPT,0.04489594
DPYD,0.99901736
DR1,0.31594288
DRAXIN,0.99150944
DSTYK,0.83824694
DUSP10,0.70954305
DUSP12,0.40326706
DUSP27,0.87881744
DVL1,0.91283715
DYRK3,0.9999391
E2F2,0.43971026
ECE1,0.7785425
ECHDC2,0.45796624
EDARADD,0.15469448
EDEM3,0.47911653
EFCAB14,0.25259167
EFCAB7,0.41349164
EFNA3,0.9657954
AGO1,0.99887913
AGO3,0.9988839
AGO4,0.99551636
EIF2D,0.79836243
EIF3I,0.80105305
EIF4G3,0.9806244
ELAVL4,0.37215185
ELF3,0.42814186
ELOVL1,0.10560897
ELTD1,0.8635216
EMC1,0.99925596
ENO1,0.99744886
ENSA,0.09067037
EPB41,0.9952632
EPHA10,0.9983047
EPHA2,0.9950736
EPHA8,0.7785249
EPHB2,0.99406886
EPHX1,0.9968837
EPHX4,0.5919098
EPRS,0.9729239
EPS15,0.9990575
ERI3,0.20890902
ERRFI1,0.83111405
ESPN,0.25157106
ESRRG,0.7312348
ETNK2,0.30810812
ETV3,0.6455595
ETV3L,0.037105415
EVI5,0.986291
EXO1,0.9955592
EXO5,0.14094737
EXOC8,0.60746217
EXOSC10,0.9729388
EXTL1,0.09386813
F13B,0.9533288
F3,0.15893665
F5,0.7512708
FAAH,0.99994445
FAF1,0.9633226
FAM102B,0.9998417
FAM110D,0.48835525
FAM129A,0.99367106
FAM132A,0.6907904
FAM151A,0.77105296
FAM189B,0.9578148
FAM212B,0.06940244
FAM46B,0.3926158
FAM46C,0.7706835
BRINP2,0.6831052
BRINP3,0.8072657
FAM71A,0.942084
FAM73A,0.9969765
FAM78B,0.18474673
FASLG,0.6343089
FBXO2,0.5547632
FBXO28,0.8492256
FBXO42,0.96834564
FBXO44,0.95560884
FBXO6,0.9999906
FCER1A,0.002423823
FCGR1A,0.557415
FCGR3A,0.29991278
FCN3,0.513086
FCRL1,0.042164233
FCRL2,0.24359235
FCRL3,0.20269382
FCRL4,0.019755898
FCRL5,0.9258659
FCRL6,0.0864256
FCRLA,0.84009844
FDPS,0.4190038
FGGY,0.4355032
FH,0.82200426
