Hugo_Symbol,Score
AADACL3,0.7471964
ABCA4,0.43010706
ACADM,0.7553154
ACAP3,0.3427906
ADORA1,0.37030542
AGBL4,0.83031875
AGL,0.9012042
AHCYL1,0.8911321
AIDA,0.48557875
ALX3,0.78062093
AMPD2,0.81196165
AMY2B,0.48022923
ANGPTL7,0.4109654
ANKRD34A,0.4581451
ARHGAP29,0.8679042
ARHGEF11,0.8421907
ARHGEF2,0.96074617
ARID1A,0.97918713
ASPM,0.9999993
ATAD3A,0.58561546
ATG4C,0.81776756
ATP1A4,0.94709074
ATP2B4,0.7801527
ATPAF1,0.18885195
BARHL2,0.31430483
BCAR3,0.78333783
BCL10,0.83774114
BEND5,0.14685965
BTG2,0.99987495
C1orf101,0.81007934
C1orf112,0.2960132
CCDC181,0.49470264
C1orf27,0.9679471
C1orf61,0.70999473
C1orf87,0.3065094
C8A,0.6451915
CADM3,0.114981264
CAMSAP2,0.81817997
CAMTA1,0.4199871
CASZ1,0.8529841
CCDC17,0.420566
CD2,0.99927455
CD58,0.9656773
CDK11B,0.6680344
CELA3B,0.9999237
CEP104,0.6310886
CEP85,0.6188574
CEPT1,0.35608158
CFH,0.7728049
CGN,0.67261416
CHD5,0.99181247
CHIT1,0.6512223
CHRM3,0.97053146
CHRNB2,0.81325185
CLCA2,0.25082794
CLCN6,0.65912056
COL16A1,0.5913617
COL24A1,0.30524358
CRB1,0.5594965
CROCC,0.9776994
CSDE1,0.99964166
CTRC,0.31534734
CYP2J2,0.5538715
DAB1,0.6647238
DCAF6,0.8024427
DCST1,0.71761084
DDR2,0.4394138
DHRS3,0.954641
DISC1,0.99995565
DLGAP3,0.57821405
DNAH14,0.8501002
DNTTIP2,0.5080568
DPYD,0.9621613
DUSP27,0.2311941
EBNA1BP2,0.8180581
EMC1,0.701879
ENO1,0.97610664
EPHA2,0.7924534
EPHB2,0.9999113
EPHX1,0.46479392
ESPN,0.22788902
ESRRG,0.9075158
FAF1,0.8449246
FAIM3,0.55255467
FAM189B,0.77378917
FAM212B,0.32613757
BRINP2,0.11541868
FGGY,0.16266733
FLG,0.9542786
FLG2,0.7936541
FLVCR1,0.5300101
FMN2,0.9631927
FMO2,0.6156176
FNDC7,0.24825117
FPGT,0.1398799
GBA,0.48995328
GBP3,0.73495376
GGPS1,0.9140241
GLIS1,0.74637395
GNL2,0.81503356
GPBP1L1,0.5304367
H3F3A,0.82703656
HHLA3,0.24370083
HIPK1,0.33510825
HIST2H2AB,0.8278032
HIST2H2AC,0.89110655
HIST2H2BE,0.9387009
HIST2H2BF,0.10899935
HMCN1,0.96273845
HOOK1,0.9580812
HPDL,0.8608032
HRNR,0.7457896
HSD17B7,0.3694485
HSPG2,0.9324314
IBA57,0.77044785
ID3,0.9906301
IFNLR1,0.9985875
IGFN1,0.85650164
IGSF3,0.3021634
IGSF8,0.9044148
INPP5B,0.5946018
INTS3,0.83660746
INTS7,0.89414155
IRF2BP2,0.84289086
ISG20L2,0.7566069
ITGA10,0.3922525
ITLN1,0.24730399
ITPKB,0.9993217
IVL,0.11860459
KANK4,0.9951267
KCNA3,0.23554055
KCNH1,0.72342914
KCNK1,0.7812631
KCNT2,0.9629046
KIAA0754,0.6548486
KIAA1107,0.7510017
KIF14,0.7378229
KIF17,0.34467113
KLHL17,0.43937618
KLHL21,0.8688333
KPRP,0.6338909
KRTCAP2,0.49041516
LCE1A,0.19293436
LEPR,0.5566983
LGALS8,0.78098387
LHX4,0.96009815
LINGO4,0.46706855
LPHN2,0.94472104
LPPR4,0.79755646
LRIG2,0.7418802
LRP8,0.768409
LRRC38,0.73921853
LRRC39,0.5974502
LRRC7,0.3865141
LY9,0.7271022
LYST,0.90436697
MACF1,0.99895895
MAEL,0.72671443
MAPKAPK2,0.9218927
MARCKSL1,0.8120822
MARK1,0.15013535
MEX3A,0.6837556
MIB2,0.3632633
MMEL1,0.9999989
MPZL1,0.79114854
MYOG,0.39994237
NASP,0.7312684
NAV1,0.6398285
NBPF1,0.22681956
NBPF3,0.23352243
NCDN,0.5721217
NEGR1,0.042884074
NEK7,0.3346933
NFASC,0.88770807
NFYC,0.8997508
NOL9,0.99939597
NOTCH2,0.99367875
NUF2,0.41263762
OBSCN,0.9694913
OR14I1,0.26231977
OR2AK2,0.21874914
OR2L2,0.9628105
OR2L8,0.49214587
OR2M2,0.61174726
OR6K6,0.14100116
OR6N1,0.05412504
ORC1,0.6132219
PADI1,0.26519963
PAQR7,0.23019919
PDE4DIP,0.6513567
PEAR1,0.862811
PEX19,0.7965421
PFDN2,0.45132777
PGD,0.8037959
PIK3CD,0.7652945
PINK1,0.6002671
PIP5K1A,0.78228927
PKN2,0.80856967
PLA2G2E,0.905919
PLCH2,0.86820894
PLEKHA6,0.80201966
PLK3,0.3805649
PLXNA2,0.4655124
PODN,0.9803044
PPM1J,0.28555596
PPP2R5A,0.7988699
PRAMEF4,0.19395833
PRCC,0.6343171
PRDM16,0.48624423
PRDM2,0.6385925
PROX1,0.8514071
PTCHD2,0.95966816
PTGFRN,0.9388319
PTGS2,0.99978787
PTPN14,0.6423394
PTPRC,0.5610798
PTPRF,0.78645784
PTPRU,0.9929963
RAP1GAP,0.57101315
RC3H1,0.79300964
RCC2,0.43767032
RFX5,0.845819
RGS7,0.7561014
RGS8,0.56851715
RPAP2,0.57138526
RPTN,0.6207341
RUNX3,0.9770947
RYR2,0.9204755
SCYL3,0.41532245
SDHC,0.96342456
SERPINC1,0.87609446
SGIP1,0.99415886
SLAMF6,0.14379309
SLC16A1,0.9619775
SLC1A7,0.28283784
SLC2A5,0.40998462
SLC41A1,0.46616316
SLC45A1,0.89605635
SLC5A9,0.9999901
SLC9C2,0.96470445
SMG5,0.73268276
SMPDL3B,0.27313277
SNX27,0.643554
SPAG17,0.99999857
SPATA17,0.95823616
SPATA21,0.37504974
SPEN,0.9692273
SPOCD1,0.66003513
SPTA1,0.9120976
SRM,0.58756614
ST7L,0.56265897
STXBP3,0.92464614
SYCP1,0.47630465
TAF5L,0.74267924
TBCE,0.389782
TBX19,0.27305397
TCEA3,0.98191917
TDRD5,0.5553197
TGFBR3,0.47405687
TMEM201,0.801455
TMEM206,0.7547062
TMEM240,0.7135483
TNFRSF14,0.9127649
TNFRSF25,0.9998698
TNFRSF8,0.4983795
TNN,0.8385657
TPR,0.98814595
TRIM11,0.9529609
TRIM46,0.68862826
TRMT13,0.98227787
TTC13,0.9864158
TTLL10,0.3244138
UBAP2L,0.6546483
UBR4,0.9952193
USH2A,0.9999974
USP24,0.8870098
VANGL1,0.45689803
VCAM1,0.9914904
VPS13D,0.9678928
DCAF8,0.8402298
WDR64,0.990765
WDTC1,0.7026831
YTHDF2,0.43961543
YY1AP1,0.4738851
ZBTB17,0.5950701
ZBTB40,0.71447587
ZC3H12A,0.99452716
ZMYM4,0.9429034
ZNF436,0.6679754
ZNF648,0.64735186
ZP4,0.7165387
ZSCAN20,0.85166776
ABCA7,0.91569513
ACPT,0.39837596
ADAMTSL5,0.58695894
ADAT3,0.14703609
AKT2,0.65011156
ANO8,0.78086007
AP1M1,0.8403766
APBA3,0.26586378
ARHGEF1,0.6990305
ATP1A3,0.9157652
AXL,0.8247455
AZU1,0.8678104
B3GNT8,0.4315858
BCL3,0.6002332
BIRC8,0.65658534
BRD4,0.67582965
C19orf24,0.17338099
C19orf26,0.29275972
C19orf40,0.8889728
C19orf80,0.07147152
C3,0.96465963
CACNA1A,0.97377026
CACNG7,0.7267746
CACTIN,0.3347554
CAPN12,0.32768187
CCDC130,0.6542706
CD177,0.99402726
CD320,0.64728165
CD70,0.9035013
CD79A,0.5270641
CILP2,0.6628524
CNOT3,0.9989778
COL5A3,0.8362656
COMP,0.3258177
CPAMD8,0.7779888
CYP4F3,0.2883857
DAZAP1,0.78481394
DHX34,0.99929774
DOCK6,0.99999976
DYRK1B,0.5269299
ELAVL1,1.0
ELAVL3,0.2454679
EML2,0.8094131
EPS8L1,0.7996605
EXOSC5,0.6705641
FAM71E2,0.16353235
FCGBP,0.87043804
FGF21,0.7037928
FKRP,0.9208138
FOXA3,0.7471454
FSD1,0.5699589
GLTSCR1,0.8416478
HIF3A,0.16436988
