Hugo_Symbol,Score
A3GALT2,0.104106404
AADACL4,0.14506301
ABCA4,0.6802869
ACOT11,0.104236595
ACTA1,0.8285869
ACTN2,0.83656245
ACTRT2,0.1911482
ADAMTSL4,0.884745
ADAR,0.7640103
ADCK3,0.5159357
ADCY10,0.8360351
ADIPOR1,0.30336973
ADORA1,0.15096028
AGBL4,0.9078644
AGL,0.9993032
AGRN,0.92384017
AHCTF1,0.8325875
AHCYL1,0.8575013
AHDC1,0.97077346
AIDA,0.7133598
AIM1L,0.8606967
AJAP1,0.48263332
AK4,0.1503994
AK5,0.45231035
AKNAD1,0.888703
AKR1A1,0.4685039
AKT3,0.8080768
ALDH9A1,0.25942615
ALG14,0.3130543
ALG6,0.84153855
AMPD1,0.8787815
AMPD2,0.943155
AMY2A,0.30324525
AMY2B,0.7966441
ANGEL2,0.47326493
ANGPTL3,0.5039039
ANKRD35,0.4190505
AQP10,0.26197812
ARF1,0.7015193
ARHGAP29,0.7113233
ARHGAP30,0.96375936
ARHGEF11,0.8283099
ARHGEF16,0.28478906
ARHGEF2,0.80102026
ARID1A,1.0
ARID4B,0.9997956
ARNT,0.5375348
ARV1,0.24622864
ASB17,0.31871757
ASH1L,0.8350785
ASPM,0.9364594
ASTN1,0.9704396
ATAD3A,0.6799813
ATAD3B,0.28352803
ATF6,0.61073786
ATP13A2,0.65734106
ATP1A1,0.999984
ATP1A2,0.99224526
ATP1B1,0.69747216
ATP2B4,0.8208893
ATP5F1,0.68906623
ATP8B2,0.7063369
ATPAF1,0.23344564
ATXN7L2,0.15265194
AUNIP,0.1112421
AXDND1,0.26580057
B3GALT2,0.35443467
B4GALT3,0.56684273
BAI2,0.95472443
BCAN,0.49149686
BCL9,0.51799804
BEND5,0.99283904
BMP8B,0.62003344
BNIPL,0.2627935
BSDC1,0.7277928
C1QC,0.014082769
C1orf101,0.99992824
C1orf105,0.23832744
C1orf106,0.19074413
C1orf111,0.95088625
C1orf127,0.9993438
C1orf158,0.15861483
C1orf168,0.23596573
