Hugo_Symbol,Score
A3GALT2,0.18623485
AADACL3,0.090801165
AADACL4,0.20478036
ABCA4,0.58164865
ABCB10,0.6787227
ABCD3,0.99994075
ABL2,0.9465703
ACBD3,0.8395726
ACOT11,0.2815187
ACP6,0.67223674
ACTL8,0.38202924
ACTRT2,0.6667826
ADAM30,0.13532872
ADAMTS4,0.6162409
ADAMTSL4,0.79485077
ADCK3,0.9206033
ADCY10,0.9836855
AGL,0.9884848
AGRN,0.8313494
AHCTF1,0.7648687
AHDC1,0.8583934
AIDA,0.9999455
AIM2,0.042595174
AK5,0.9786294
AKR1A1,0.35755312
AMPD1,0.98499066
AMPD2,0.7183124
AMY2A,0.5845114
AMY2B,0.12154029
ANGEL2,0.49014992
ANGPTL1,0.058861583
ANKRD35,0.54753906
ANP32E,0.4828607
AP4B1,0.13170145
APH1A,0.6847186
APITD1,0.053775612
AQP10,0.30568922
ARHGAP30,0.9843143
ARHGEF10L,0.71445185
ARHGEF11,0.91333747
ARHGEF16,0.11778204
ARHGEF19,0.58710855
ARID1A,0.94259995
ARID4B,0.96706176
ASB17,0.33555487
ASH1L,0.99739933
ASPM,0.9899304
ATAD3B,0.5092737
ATAD3C,0.16764128
ATP13A2,0.68851346
ATP1A1,0.9957788
ATP1A2,0.9516706
ATP1A4,0.46488512
ATP6V1G3,3.1616705e-06
AURKAIP1,0.48206338
AVPR1B,0.8757514
AXDND1,0.46622038
B4GALT2,0.43959138
BAI2,0.999871
BCAN,0.41169316
BCAR3,0.761434
BCL9,0.87868714
BLZF1,0.9996698
BPNT1,0.4360472
BRDT,0.17790538
BSDC1,0.99977344
BSND,0.25769025
C1QC,0.015655622
C1orf100,0.99936587
C1orf110,0.3747699
C1orf112,0.11778582
C1orf116,0.45466268
C1orf141,0.018961905
C1orf177,0.37857527
C1orf198,0.32174808
C1orf50,0.09980989
C1orf86,0.58549684
C4BPA,0.9310752
C8A,0.16298045
C8B,0.47817564
CACHD1,0.73797506
CACNA1S,0.9606527
CACYBP,0.6993401
CADM3,0.5968936
CAMSAP2,0.72625107
CAMTA1,0.9976082
CASQ2,0.7406841
CASZ1,0.9176769
CATSPER4,0.50272655
CCDC17,0.33116972
CCDC18,0.7319285
CCDC27,0.3813691
CCT3,0.8902857
CD101,0.9859437
CD1B,0.43991515
CD1D,0.6799706
CD1E,0.18163577
CD2,0.4827669
CD244,0.08539803
CD34,0.25670904
CD46,0.5015686
CD53,0.08248433
CD55,0.4280103
CD58,0.11039526
CD84,0.042233635
CDA,0.6151613
CDCP2,0.089126326
CELA3A,0.5430051
CELA3B,0.011634404
CELSR2,0.86959434
CENPF,0.971153
CEP104,0.58044463
CEP170,0.99677604
CEP350,0.9954737
CFH,0.9860801
CFHR2,0.060822684
CFHR3,0.50147647
CFHR4,0.38560817
CFHR5,0.08117004
CGN,0.5551657
CHD1L,0.7741525
CHD5,0.9989793
CHML,0.40504065
CHRM3,0.97999257
CHRNB2,0.94197685
CLCA1,0.77619827
CLCA4,0.29459324
CLCN6,0.9806246
CLCNKA,0.39363098
CLCNKB,0.7430662
CLDN19,0.034808256
CLIC4,0.83324355
CLSTN1,0.46030772
CNKSR1,0.20447025
CNR2,0.09687237
CNTN2,0.9992957
COG2,0.57042265
COL16A1,0.71931946
COL24A1,0.98160124
COL8A2,0.5508131
COL9A2,0.5656356
CORT,0.23202972
CPSF3L,0.55574447
CPT2,0.7241847
CR1L,0.87665516
CR2,0.94186527
CRB1,0.5222756
CREB3L4,0.116552144
CRNN,0.12751842
CROCC,0.9564351
CRP,0.03137931
CRTC2,0.12106342
CSDE1,0.85707027
CSF3R,0.4029194
CSMD2,0.9970789
CTSS,0.36144882
CYB5R1,0.9210182
CYP4A11,0.38854176
CYP4A22,0.21990368
CYP4B1,0.6143153
CYP4X1,0.13066812
CYP4Z1,0.92631125
DAB1,0.9932985
DBT,0.2201092
DCAF6,0.5317617
DCLRE1B,0.6245627
DDR2,0.67255145
DDX20,0.7896308
DDX59,0.8307188
DENND1B,0.4148626
DENND2C,0.74675035
DENND2D,0.7814111
DENND4B,0.33802998
DFFB,0.40251485
DIEXF,0.9961979
DISC1,0.96391654
DISP1,0.8532678
DMAP1,0.99539953
DMBX1,0.16590743
DMRTB1,0.45373285
DNAJB4,0.7482103
DNAJC11,0.41158116
DNAJC16,0.3571771
DNAJC6,0.96296424
DNALI1,0.62301546
DNTTIP2,0.16482976
DOCK7,0.99941707
DPH2,0.5213526
DPT,0.9073533
DPYD,0.899438
DR1,0.6673828
DSTYK,0.69644225
DUSP10,0.75038326
DUSP27,0.57896984
DVL1,0.61619884
E2F2,0.77065945
ECHDC2,0.075772844
EDARADD,0.7948506
EFNA3,0.30338454
AGO3,0.9431609
EIF4G3,0.6875212
ELK4,0.30320376
ELTD1,0.99021494
EMC1,0.5764378
EPB41,0.6050614
EPHA10,0.9924217
EPHA8,0.9873088
EPHB2,0.7730666
EPHX1,0.3145398
EPHX4,0.6477352
EPRS,0.81959724
EPS15,0.7936964
EPS8L3,0.683643
ESPN,0.24391487
ESRRG,0.6618143
ETV3L,0.1305247
EXO1,0.680494
EXO5,0.13187708
EXOSC10,0.7515611
EXTL1,0.260394
EXTL2,0.028304487
EYA3,0.6329454
F11R,0.89882493
F5,0.99999094
FAAH,0.9943305
FAF1,0.99955064
FAM129A,0.3414868
FAM131C,0.05279576
FAM159A,8.704689e-06
FAM46C,0.75059044
BRINP3,0.15878108
FAM63A,0.12435946
FAM78B,0.12679882
FBLIM1,0.9662543
FCAMR,0.76166713
FCER1A,0.025397558
FCGR1B,0.081083536
FCGR3B,0.071553804
FCRL1,0.05034185
FCRL2,0.2619135
FCRL3,0.7333599
FCRL4,0.8595393
FCRL5,0.4781442
