Hugo_Symbol,Score
AADACL3,0.65825564
AADACL4,0.122906834
ABCA4,0.7972854
ABCD3,0.96834207
ABL2,0.96268535
ACADM,0.79217917
ACAP3,0.4045254
ACBD3,0.86068714
ACBD6,0.0047347075
ACOT11,0.5230287
ACP6,0.9747361
ACTA1,0.922451
ACTL8,0.9948612
ACTN2,0.8406432
ACTRT2,0.4930865
ADAM15,0.55582327
ADAM30,0.32323658
ADAMTS4,0.75379366
ADAMTSL4,0.8798179
ADAR,0.7693874
ADCK3,0.72706705
ADCY10,0.7935176
ADIPOR1,0.30715567
ADORA1,0.129348
ADORA3,0.6156328
ADSS,0.6675563
AGL,0.97040606
AGMAT,0.61332256
AGRN,0.9881649
AGT,0.6937574
AGTRAP,0.88951474
AHCTF1,0.8428733
AHDC1,0.9999894
AIDA,0.68609
AIM1L,0.86454254
AIM2,0.6141463
AJAP1,0.94260895
AK2,0.42307466
AK4,0.33678722
AK5,0.9849058
AKNAD1,0.83262724
AKR7A2,0.9596958
AKR7A3,0.03485627
AKT3,0.38093266
ALDH9A1,0.58642304
ALG6,0.35061342
ALPL,0.71035624
ALX3,0.2578028
AMIGO1,0.15284643
AMPD1,0.9993255
AMY2A,0.31981266
AMY2B,0.1670433
ANGEL2,0.6161173
ANGPTL1,0.06043794
ANGPTL3,0.9754286
ANGPTL7,0.48459408
ANKRD13C,0.2806128
ANKRD34A,0.18151785
ANKRD35,0.5008209
ANKRD45,0.69773155
ANP32E,0.692921
AP4B1,0.56562454
APCS,0.06708088
APH1A,0.6521571
APITD1,0.2378954
APOA1BP,0.1953491
AQP10,0.20673749
ARF1,0.7433229
ARHGAP29,0.803634
ARHGAP30,0.7081846
ARHGEF10L,0.9873926
ARHGEF11,0.9556346
ARHGEF16,0.078180365
ARHGEF19,0.67788845
ARHGEF2,0.7897479
ARID1A,0.99999964
ARID4B,0.9434069
ARL8A,0.98550725
ARNT,0.82022303
ARV1,0.15649268
ASAP3,0.29162592
ASB17,0.9994324
ASH1L,0.9985745
ASPM,0.997401
ASTN1,0.9862071
ATAD3A,0.97539675
ATAD3B,0.4256741
ATAD3C,0.08807692
ATF6,0.65139025
ATG4C,0.4680563
ATP13A2,0.5857068
ATP1A1,0.9644712
ATP1A2,0.98693347
ATP1A4,0.72654265
ATP1B1,0.5198554
ATP2B4,0.767031
ATP5F1,0.79873174
ATP6V0B,0.21932828
ATP6V1G3,0.1785142
ATP8B2,0.96042275
ATXN7L2,0.52461904
AUNIP,0.16108409
AVPR1B,0.963568
AXDND1,0.3784643
B3GALNT2,0.31528336
B3GALT2,0.3650897
B4GALT2,0.3456257
B4GALT3,0.58187926
BAI2,0.83695304
BARHL2,0.9269051
BCAN,0.6434885
BCAR3,0.99179673
BCAS2,0.9966948
BCL10,0.590735
BCL9,0.85378367
BEND5,0.26090515
BEST4,0.44288442
BLZF1,0.66670775
BMP8A,0.054203726
BMP8B,0.4983047
BOLA1,0.7443533
BPNT1,0.30485368
BRDT,0.417123
BROX,0.8649981
BSDC1,0.9905432
BSND,0.253177
BTBD8,0.91626805
BTG2,0.913311
C1QA,0.33268562
C1QC,0.008899061
C1orf101,0.4693042
C1orf105,0.1361871
C1orf109,0.4331117
C1orf110,0.066439636
C1orf112,0.4551461
CCDC181,0.63874584
C1orf116,0.15526225
C1orf123,0.20346314
C1orf127,0.9883343
C1orf141,0.022259897
C1orf158,0.11739959
C1orf159,0.7542931
C1orf162,0.053470887
C1orf168,0.3595335
C1orf174,0.07890827
C1orf177,0.39005986
C1orf186,0.9517564
C1orf189,0.18132643
C1orf198,0.9805901
C1orf27,0.28664482
C1orf35,0.8744777
C1orf52,0.2948361
C1orf56,0.5439436
C1orf64,0.10568291
C1orf74,0.161383
C1orf87,0.17560278
C1orf94,0.67713565
C4BPA,0.23078333
C4BPB,0.25538585
C8A,0.40436253
C8B,0.9389407
CA14,0.22722909
CA6,0.23577695
CACHD1,0.85091615
CACNA1S,0.96545434
CACYBP,0.61557955
CADM3,0.9993462
CAMK1G,0.491632
CAMSAP2,0.95520985
CAMTA1,0.9994197
CAP1,0.68945956
CAPN2,0.9119791
CAPN9,0.6623042
CAPZA1,0.9998037
CAPZB,0.98333967
CASP9,0.9181228
CASQ1,0.1598181
CASQ2,0.83012277
CASZ1,0.99999356
CATSPER4,0.98930526
