Hugo_Symbol,Score
ACAP3,0.7396269
ADAMTS4,0.51439357
ADORA3,0.5627568
AGBL4,0.6163293
AGRN,0.7916425
AJAP1,0.9888658
AK5,0.6528236
AMPD1,0.9795424
AMPD2,0.98023546
ARHGAP29,0.71458334
ARHGEF2,0.98519105
ASTN1,0.97000116
ATAD3B,0.586356
ATP13A2,0.800082
BCAN,0.7955328
C1orf167,0.72043884
CAP1,0.9687592
CD52,0.6204487
CD5L,0.8839047
CELSR2,0.70439255
CGN,0.99921525
CHIA,0.64455825
CLCA1,0.6403768
COL16A1,0.4560465
CPSF3L,0.72509193
CPT2,0.72651553
CRNN,0.30533573
CSMD2,0.93288136
DCST2,0.9166659
DFFA,0.6565022
DNM3,0.93540496
DOCK7,0.99999785
ELAVL4,0.43676013
ENAH,0.91748524
ENO1,0.99957675
EPHX1,0.44389853
F11R,0.36173862
F13B,0.24345122
FAM163A,0.56914145
FAM189B,0.8186234
FAM73A,0.66490304
FCRLA,0.80655754
FLAD1,0.7856612
FMN2,0.97482693
GBP2,0.62421685
GNB1,0.99403304
GPR161,0.5278465
HMCN1,0.9999379
HSPG2,0.935723
IFI16,0.49129197
IFNLR1,0.51837516
IGSF21,0.6643737
INADL,0.83899087
IQGAP3,0.91887695
KIAA1324,0.8354347
KIF21B,0.602537
LCK,0.7645316
LEPR,0.84085757
LPPR5,0.99970895
LRRC38,0.36040574
LYPLAL1,0.999403
MAP7D1,0.88587743
MR1,0.6740043
MROH9,0.8763837
MTOR,0.9998703
MYBPHL,0.93119615
NFIA,0.9865818
NRAS,0.9893546
OBSCN,0.9886995
OPRD1,0.8789323
OR10K1,0.83264405
OR10Z1,0.31390885
OR2C3,0.63746715
OR2M2,0.90264827
OR6F1,0.3723348
OR6N2,0.56965613
PEAR1,0.8126462
PER3,0.91727245
PIK3C2B,0.99773383
PKN2,0.83421546
POLR3C,0.53928363
PPP1R15B,0.8235754
PRDM16,0.96455485
PRDM2,0.5951233
PTGFRN,0.73136985
PTPRF,0.9969234
RC3H1,0.8947189
RD3,0.63467824
RGS16,0.9820499
RNF115,0.63642913
RPRD2,0.85223156
SCNN1D,0.99230593
SESN2,0.76398367
SFPQ,0.9582959
SHC1,0.98171866
SKI,0.9264876
SLC35D1,0.27408335
SLC9C2,0.9906515
SOX13,0.94263685
SPAG17,0.62923294
SPOCD1,0.81247646
SPTA1,0.91977316
STIL,0.99997103
SYT6,0.9970073
TAL1,0.920008
TAS1R1,0.7131899
TAS1R3,0.5149795
TCHHL1,0.939491
TIMM17A,0.4128204
TMEM51,0.66694534
TMEM61,0.357319
TPR,0.9388349
TRIM11,0.9819713
UBR4,0.9926524
VAV3,0.6965774
WNT2B,0.6671272
ZBTB48,0.99865216
ZC3H12A,0.8716257
ACTN4,0.9854204
AKT1S1,0.5935092
ANKRD27,0.43122745
ARHGEF18,0.62896574
C19orf18,0.4063294
C19orf70,0.1494307
CACNA1A,0.9843051
CC2D1A,0.49213293
CEACAM5,0.20451586
CLEC4G,0.15191333
COL5A3,0.67387086
COX7A1,0.23504551
CYP2A6,0.4003149
CYP2F1,0.06885773
CYP4F11,0.10947033
EML2,0.76865375
EPOR,0.49612018
ICAM1,0.77120495
IZUMO2,0.093586706
KCNN4,0.5739956
KIAA0355,0.71138644
KIR2DL1,0.25566372
LILRA6,0.15066437
LILRB5,0.16645841
LMTK3,0.9901183
LSM14A,0.7160081
MAG,0.37358978
MAST1,0.80031395
MUC16,0.99922824
MYO1F,0.973917
MYO9B,0.4385982
NFKBIB,0.6804863
NLRP11,0.47081438
NLRP4,0.5480453
NLRP7,0.7401126
NLRP8,0.57831496
NLRP9,0.5478637
NOSIP,0.06965205
NPHS1,0.74975055
OR10H2,0.154882
PALM3,0.28715757
PEG3,0.5886599
PLIN5,0.39242122
PRKCG,0.73160106
PVRL2,0.97527176
RASGRP4,0.5689867
RFX1,0.48157233
RLN3,0.74733496
RNASEH2A,0.6909779
RPL18A,0.93637395
RTN2,0.5730408
RYR1,0.9978781
SEMA6B,0.47412476
SIGLEC14,0.07051017
SIN3B,0.681378
SPTBN4,0.86419386
TSHZ3,0.85745174
UNC13A,0.96544015
UQCRFS1,0.83359724
ZFP30,0.97117496
ZFP82,0.22230528
ZNF101,0.77169216
ZNF136,0.63825846
ZNF14,0.46112934
ZNF155,0.7094288
ZNF180,0.9990596
ZNF208,0.44802874
ZNF419,0.55657756
ZNF440,0.6074697
ZNF45,0.76978
ZNF497,0.5626716
ZNF528,0.63448954
ZNF560,0.49947625
ZNF653,0.5746119
ZNF793,0.93246096
ZNF799,0.8766376
ZNF808,0.6442014
ZNF812,0.5124399
ZNF836,0.87347025
ZNF837,0.26618087
ZNF845,0.49395776
ZNF846,0.5723772
ZNF98,0.890171
ADAMTS8,0.5888189
APOA1,0.87513405
ARAP1,0.83889896
ARHGAP32,0.8648651
ATG2A,0.97874695
ATM,0.9999777
BDNF,0.32538614
BIRC3,0.85757583
BRSK2,0.19834657
CASP1,0.79840744
CCDC73,0.9762256
CCDC82,0.8685641
CD44,0.8683159
CD5,0.568781
CEP164,0.45592073
CPSF7,0.83436775
CTSD,0.92821383
DDI1,0.87524986
DSCAML1,0.95539546
DYNC2H1,0.7766782
EHBP1L1,0.99898654
FAT3,0.966128
FERMT3,0.5782677
FOLH1,0.19307964
FOLR2,0.54474545
GAL3ST3,0.6950483
GDPD5,0.62026024
GLB1L2,0.8914062
GRIA4,0.9730786
GYLTL1B,0.75753325
INTS4,0.68463707
KDM2A,0.63642246
KIAA1377,0.83494425
KLC2,0.809824
MED17,0.9334875
MICALCL,0.7678694
MRPL49,0.6004764
MS4A5,0.08665897
MTCH2,0.73478395
MTL5,0.2255952
MUC2,0.58118856
MUC6,0.9826596
MYBPC3,0.7657706
MYO7A,0.8690643
MYRF,0.9644059
NAA40,0.8499148
NARS2,0.5233614
NLRP6,0.88990194
NTM,0.9923626
OR1S2,0.29432452
OR4C12,0.109242044
OR4X1,0.50401175
OR51M1,0.45531175
OR52L1,0.30686355
OR52N1,0.3436728
OR56A1,0.9893499
OR5AK2,0.62086064
OR5D18,0.16202955
OR5M9,0.96730834
OR6A2,0.95736474
OSBPL5,0.7023328
PACS1,0.9290652
PAMR1,0.5530877
PARVA,0.74714386
PGR,0.89975536
PHRF1,0.99999976
PLEKHB1,0.2946416
PRKCDBP,0.4751641
PTS,0.49625614
QSER1,0.5659561
RCOR2,0.94571966
SCT,0.7161545
SHANK2,0.53811336
SIPA1,0.84779555
SMPD1,0.997426
SORL1,0.9697325
SYT7,0.9964
TBC1D10C,0.85587656
TRIM22,0.2125853
TUB,0.9671095
UBQLN3,0.12337103
UCP2,0.8624409
VWCE,0.36371484
WEE1,0.8458573
YAP1,0.96449625
ABCA12,0.8304034
ADD2,0.5257059
AFF3,0.77893025
ALK,0.99681526
ALLC,0.5061657
ALPP,0.56795484
AOX1,0.94973904
ARL4C,0.19886582
ATP6V1B1,0.9396696
BIRC6,0.9906324
C2orf49,0.39435482
C2orf78,0.89181584
C2orf82,0.69876957
CCDC74A,0.7320302
CCDC85A,0.3808867
CEP68,0.46851936
COL3A1,0.9626227
COL6A3,0.9683308
CREG2,0.8667412
CSRNP3,0.07707059
CTNNA2,0.3145801
DUSP11,0.8035173
ECEL1,0.33730453
EPT1,0.9987363
ERBB4,0.9879965
FAM179A,0.99547726
FASTKD1,0.7859944
FBXO41,0.99301046
FOSL2,0.9568184
GAL3ST2,0.55454427
GBX2,0.69727606
GPR35,0.2724903
GTF3C2,0.8267693
HADHB,0.9246864
HDLBP,0.9264391
HECW2,0.9997757
HNRNPLL,0.9550822
HS6ST1,0.97981906
HSPD1,0.99952865
IGFBP5,0.767187
IL18RAP,0.8526121
ILKAP,0.9884354
KYNU,0.9776964
