Hugo_Symbol,Score
ACAP3,0.5418044
ADAMTS4,0.6503507
ADORA3,0.59722674
AGBL4,0.9697299
AGRN,0.84761935
AJAP1,0.8715516
AK5,0.62174886
AMPD1,0.9930433
AMPD2,0.9921407
ARHGAP29,0.8632092
ARHGEF2,0.95164955
ASTN1,0.46658307
ATAD3B,0.4803767
ATP13A2,0.76772326
BCAN,0.49224848
C1orf167,0.40907222
CAP1,0.89030325
CD52,0.3194683
CD5L,0.4580816
CELSR2,0.7719362
CGN,0.9887012
CHIA,0.3186957
CLCA1,0.4543582
COL16A1,0.44702297
CPSF3L,0.6698103
CPT2,0.72989595
CRNN,0.16339025
CSMD2,0.98993134
DCST2,0.891269
DFFA,0.518744
DNM3,0.9557404
DOCK7,0.9566682
ELAVL4,0.6477274
ENAH,0.7806129
ENO1,0.99990094
EPHX1,0.22483134
F11R,0.13704266
F13B,0.20000559
FAM163A,0.45242998
FAM189B,0.9857845
FAM73A,0.5389587
FCRLA,0.53913176
FLAD1,0.7536306
FMN2,0.81981397
GBP2,0.48518464
GNB1,0.99379575
GPR161,0.7569608
HMCN1,0.99935764
HSPG2,0.9858279
IFI16,0.3408608
IFNLR1,0.5795206
IGSF21,0.6113599
INADL,0.7087116
IQGAP3,0.7608828
KIAA1324,0.99711895
KIF21B,0.64360553
LCK,0.7289391
LEPR,0.5159762
LPPR5,0.74679303
LRRC38,0.3526218
LYPLAL1,0.4310133
MAP7D1,0.63413626
MR1,0.67378616
MROH9,0.5130415
MTOR,0.9996996
MYBPHL,0.8094801
NFIA,0.935601
NRAS,0.9866236
OBSCN,0.9524728
OPRD1,0.8911258
OR10K1,0.4353251
OR10Z1,0.17586705
OR2C3,0.5235435
OR2M2,0.7365889
OR6F1,0.20911749
OR6N2,0.33690736
PEAR1,0.9325791
PER3,0.78359306
PIK3C2B,0.9908432
PKN2,0.9618612
POLR3C,0.43237755
PPP1R15B,0.6478338
PRDM16,0.9133311
PRDM2,0.5218639
PTGFRN,0.4173417
PTPRF,0.9725089
RC3H1,0.7825879
RD3,0.7165168
RGS16,0.8040251
RNF115,0.56725174
RPRD2,0.9180592
SCNN1D,0.70521164
SESN2,0.5272965
SFPQ,0.96665555
SHC1,0.96352094
SKI,0.59952384
SLC35D1,0.5618492
SLC9C2,0.9453706
SOX13,0.7649092
SPAG17,0.91398627
SPOCD1,0.8238105
SPTA1,0.9893054
STIL,0.972784
SYT6,0.9979797
TAL1,0.7188936
TAS1R1,0.55376047
TAS1R3,0.51911294
TCHHL1,0.8478934
TIMM17A,0.7460312
TMEM51,0.6494636
TMEM61,0.2352507
TPR,0.92079556
TRIM11,0.89962846
UBR4,0.9848245
VAV3,0.8187757
WNT2B,0.30525517
ZBTB48,0.9729364
ZC3H12A,0.93201214
ACTN4,0.96673954
AKT1S1,0.77456486
ANKRD27,0.26473317
ARHGEF18,0.95491993
C19orf18,0.707286
C19orf70,0.323446
CACNA1A,0.9940996
CC2D1A,0.50225383
CEACAM5,0.15650739
CLEC4G,0.26053923
COL5A3,0.69680786
COX7A1,0.60569733
CYP2A6,0.5217925
CYP2F1,0.21014363
CYP4F11,0.14398593
EML2,0.8038938
EPOR,0.49833176
ICAM1,0.75564677
IZUMO2,0.058326505
KCNN4,0.61604697
KIAA0355,0.9251005
KIR2DL1,0.18259537
LILRA6,0.30089003
LILRB5,0.3193397
LMTK3,0.9184589
LSM14A,0.7113311
MAG,0.8708541
MAST1,0.8340797
MUC16,0.9947941
MYO1F,0.61832005
MYO9B,0.5652336
NFKBIB,0.6479295
NLRP11,0.42706868
NLRP4,0.56610084
NLRP7,0.6064177
NLRP8,0.84385914
NLRP9,0.9302416
NOSIP,0.35139546
NPHS1,0.81243724
OR10H2,0.25762072
PALM3,0.17898412
PEG3,0.6949877
PLIN5,0.4989844
PRKCG,0.70361817
PVRL2,0.5084066
RASGRP4,0.59140533
RFX1,0.6221061
RLN3,0.2603292
RNASEH2A,0.6896914
RPL18A,0.88766044
RTN2,0.69368637
RYR1,0.9408831
SEMA6B,0.60401434
SIGLEC14,0.041374333
SIN3B,0.64546204
SPTBN4,0.8044156
TSHZ3,0.8368287
UNC13A,0.8375142
UQCRFS1,0.8498793
ZFP30,0.2202652
ZFP82,0.32487664
ZNF101,0.48783568
ZNF136,0.33038363
ZNF14,0.1645679
ZNF155,0.37083364
ZNF180,0.85798484
ZNF208,0.3903577
ZNF419,0.32475823
ZNF440,0.49619213
ZNF45,0.88471365
ZNF497,0.4091906
ZNF528,0.33975393
ZNF560,0.3171558
ZNF653,0.33954322
ZNF793,0.07683029
ZNF799,0.12384854
ZNF808,0.1323608
ZNF812,0.31283948
ZNF836,0.9209103
ZNF837,0.31386343
ZNF845,0.21106948
ZNF846,0.31989962
ZNF98,0.935012
ADAMTS8,0.2626395
APOA1,0.8040022
ARAP1,0.776222
ARHGAP32,0.847533
ATG2A,0.9969829
ATM,0.99995303
BDNF,0.30069476
BIRC3,0.62556744
BRSK2,0.25188795
CASP1,0.8258691
CCDC73,0.8812313
CCDC82,0.8215172
CD44,0.7677582
CD5,0.31780687
CEP164,0.31893456
CPSF7,0.7973768
CTSD,0.70920396
DDI1,0.6986157
DSCAML1,0.9346019
DYNC2H1,0.6798714
EHBP1L1,0.68855894
FAT3,0.99935347
FERMT3,0.49013266
FOLH1,0.11527786
FOLR2,0.34712923
GAL3ST3,0.4379058
GDPD5,0.6102919
GLB1L2,0.33336854
GRIA4,0.45178777
GYLTL1B,0.58180463
INTS4,0.78217053
KDM2A,0.60883963
KIAA1377,0.8423021
KLC2,0.72921973
MED17,0.9300351
MICALCL,0.43506053
MRPL49,0.22308314
MS4A5,0.07720644
MTCH2,0.41284582
MTL5,0.14834565
MUC2,0.30551907
MUC6,0.96648884
MYBPC3,0.99550027
MYO7A,0.89371383
MYRF,0.97245264
NAA40,0.63738096
NARS2,0.5187185
NLRP6,0.9897967
NTM,0.9809169
OR1S2,0.75772333
OR4C12,0.1722962
OR4X1,0.2883629
OR51M1,0.11083755
OR52L1,0.74446803
OR52N1,0.6154305
OR56A1,0.93063223
OR5AK2,0.42954433
OR5D18,0.09218425
OR5M9,0.8218072
OR6A2,0.7217969
OSBPL5,0.8889863
PACS1,0.7365874
PAMR1,0.39885113
PARVA,0.72151035
PGR,0.99658394
PHRF1,0.6656418
PLEKHB1,0.3019664
PRKCDBP,0.38126692
PTS,0.41162184
QSER1,0.55079645
RCOR2,0.8937387
SCT,0.5991343
SHANK2,0.60261
SIPA1,0.7677556
SMPD1,0.554204
SORL1,0.9080857
SYT7,0.99034727
TBC1D10C,0.5463326
TRIM22,0.24094114
TUB,0.982851
UBQLN3,0.22403441
UCP2,0.87878627
VWCE,0.20318596
WEE1,0.72379684
YAP1,0.97999865
ABCA12,0.8746943
