Hugo_Symbol,Score
AADACL3,0.56272906
AADACL4,0.09421214
ABCA4,0.9438109
ABCD3,0.86341906
ABL2,0.92820024
ACADM,0.74111277
ACTL8,0.37462017
ACTN2,0.8480567
ACTRT2,0.29921797
ADAM15,0.8587323
ADAM30,0.9734957
ADAR,0.9659522
ADCK3,0.0002587013
ADCY10,0.9968635
AGL,0.99985063
AGMAT,0.7626877
AGRN,0.9477789
AGT,0.31516805
AHCTF1,0.9912937
AHCYL1,0.8254502
AHDC1,0.7889247
AIDA,0.7035482
AIM1L,0.99140114
AK2,0.7495078
AK5,0.44348824
AKNAD1,0.8428626
AKR1A1,0.5343807
AKT3,0.19801445
ALPL,0.41302767
AMPD1,0.99958974
AMPD2,0.73826104
AMY2A,0.5980589
AMY2B,0.07825395
ANGPTL1,0.5203426
ANGPTL3,0.52902484
ANGPTL7,0.93668455
ANKRD13C,0.47542858
ANKRD34A,0.18898752
ANKRD35,0.5654767
AP4B1,0.50205195
APOBEC4,0.1246523
ARF1,0.7252995
ARHGAP30,0.89069885
ARHGEF11,0.9682532
ARHGEF2,0.7633573
ARID1A,1.0
ARNT,0.39536336
ASAP3,0.14818613
ASH1L,0.9736022
ASPM,0.8053304
ASTN1,0.43829152
ATAD3A,0.4129982
ATG4C,0.9443757
ATP13A2,0.64638376
ATP1A1,0.9934121
ATP1A2,0.98797256
ATP1A4,0.7517088
ATP8B2,0.6756071
ATXN7L2,0.4498468
AUNIP,0.13055919
AXDND1,0.123337045
B3GALNT2,0.620744
B3GALT2,0.86950916
BCAN,0.6902515
BCAR3,0.7435863
BCAS2,0.84535235
BCL9,0.66986924
BRDT,0.99902153
BSDC1,0.98783153
BSND,0.08294967
BTBD8,0.30024114
BTG2,0.99203
C1QC,0.29581615
C1orf101,0.41261005
C1orf110,0.1517384
C1orf112,0.70116013
CCDC181,0.9830111
C1orf122,0.5413107
C1orf123,0.24603035
C1orf159,0.2530064
C1orf168,0.98644173
C1orf198,0.9970567
C1orf204,0.0905755
C1orf52,0.27586436
C1orf94,0.9451437
C4BPA,0.31221882
C8A,0.8031269
C8B,0.101948395
CA14,0.52174824
CACHD1,0.9519817
CACNA1S,0.931782
CACYBP,0.9941766
CADM3,0.45661408
CAMSAP2,0.8862034
CAMTA1,0.8863357
CAPN2,0.785002
CAPN9,0.70141244
CASQ1,0.0006101889
CASQ2,0.99697673
CATSPER4,0.37925586
CCBL2,0.056123663
CCDC163P,0.9391121
CCDC18,0.8083873
CCDC24,0.45490837
CCDC27,0.27134478
CCDC30,0.3317519
CD101,0.6205688
CD1B,0.08388034
CD1D,0.99736804
CD1E,0.969737
CD2,0.98034006
CD34,0.74424684
CD53,0.17817877
CD55,0.20719475
CD5L,0.07419152
CDC14A,0.49561793
CDC20,0.84504116
CDC42BPA,0.9918359
CDC7,0.4931203
CDC73,0.9781879
CDCP2,0.9552709
