Hugo_Symbol,Score
ABCA4,0.607151
ABCB10,0.79640484
ABCD3,0.9294329
ABL2,0.9946614
ACADM,0.7592234
ACAP3,0.2644143
ACOT7,0.88894427
ACTA1,0.9953583
ADAM15,0.9527399
ADAM30,0.17007987
ADAMTSL4,0.82293075
ADAR,0.95260555
ADCK3,0.63079846
ADCY10,0.99774194
ADORA3,0.57269245
AGBL4,0.71216273
AGL,0.86349547
AGMAT,0.8739306
AGRN,0.9978404
AGT,0.8579896
AGTRAP,0.8288972
AHCTF1,0.99965847
AHCYL1,0.78818357
AHDC1,0.9940175
AIM2,0.1748411
AJAP1,0.8501
AKIRIN1,0.29076752
AKR1A1,0.567924
ALDH4A1,0.44281396
ALG14,0.3737971
ALPL,0.93436986
ALX3,0.82075286
AMIGO1,0.42135274
AMPD2,0.73939985
AMY2B,0.10041662
ANGPTL3,0.651596
ANGPTL7,0.09508406
ANKRD35,0.79755193
ANP32E,0.5762508
APH1A,0.47731784
AQP10,0.9735807
ARHGAP29,0.75943226
ARHGAP30,0.75457764
ARHGEF10L,0.9114338
ARHGEF11,0.99972945
ARHGEF19,0.7183298
ARID1A,0.9865594
ARID4B,0.7900627
ASAP3,0.536205
ASH1L,0.92400926
ASPM,0.9998642
ASTN1,0.8714253
ATAD3B,0.5768981
ATF3,0.5183761
ATF6,0.62918806
ATG4C,0.93271965
ATP13A2,0.81068355
ATP1A1,0.927128
ATP1A2,0.9994247
ATP1A4,0.85554093
ATP1B1,0.72452754
ATP5F1,0.62779236
ATP8B2,0.7023769
ATXN7L2,0.9858991
AXDND1,0.9936388
B4GALT2,0.8600761
BAI2,0.77904016
BCAN,0.7969971
BCAR3,0.6920037
BCL10,0.99303126
BCL9,0.9730961
BEST4,0.95729625
BMP8B,0.5368779
BNIPL,0.49000248
BPNT1,0.43241283
BSND,0.12653282
BTBD19,0.4179902
BTBD8,0.9935668
C1orf110,0.38563588
C1orf112,0.37034252
C1orf123,0.22857364
C1orf127,0.5400242
C1orf146,0.18507491
C1orf177,0.5124291
C1orf185,0.14883694
C1orf21,0.8650315
C1orf27,0.9257842
C1orf35,0.07530294
C1orf52,0.5562888
C1orf54,0.0451839
C1orf61,0.14348035
C1orf74,0.06748173
C1orf86,0.117015496
C1orf94,0.9301276
C1orf95,0.03806113
C2CD4D,0.04875361
C4BPB,0.5973685
C8A,0.13632779
C8B,0.24490048
CA14,0.43848103
CACHD1,0.78154606
CACNA1S,0.76557535
CACYBP,0.62238693
CADM3,0.049030516
CAMK1G,0.4106336
CAMTA1,0.9999213
CAP1,0.40146837
CAPN2,0.7148191
CAPN9,0.17974724
CASZ1,0.8826297
CATSPER4,0.3117183
CC2D1B,0.8744832
CCBL2,0.046173647
CCDC17,0.5024051
CCDC18,0.9983364
CCSAP,0.48478305
CCT3,0.9986614
CD1A,0.49269006
CD1C,0.7866508
CD1D,0.3663833
CD46,0.28609017
CD58,0.7026797
CD84,0.2042861
CDC14A,0.92328894
CDC20,0.9806403
CDC42BPA,0.99977404
CDC7,0.9061089
CDC73,0.9935044
CDCA8,0.78588086
CDK11A,0.9322598
CELA2A,0.9923746
CELF3,0.22161976
CELSR2,0.9822864
CENPF,0.999665
CENPL,0.4493451
CEP104,0.95334107
CEP170,0.99514717
CEP350,0.9967403
CEP85,0.9758322
CFH,0.5992191
CFHR2,0.0329285
CFHR3,0.9381925
CFHR4,0.48050892
CGN,0.6584154
CHD1L,0.9865306
CHD5,0.9991248
CHI3L1,0.06534985
CHRM3,0.9999919
CLCA1,0.5403566
CLCA2,0.6864679
CLCN6,0.1648183
CLCNKB,0.9611561
CLIC4,0.9121443
CLK2,0.6491593
CLSTN1,0.9999889
CNST,0.494039
CNTN2,0.99517137
COL16A1,0.969231
COL8A2,0.8691495
COLGALT2,0.26656678
COPA,0.99104744
CPSF3L,0.9966601
CR1,0.9957262
CR1L,0.76430905
CR2,0.99333876
CRB1,0.5458617
CREG1,0.33411458
CRNN,0.047170334
CROCC,0.9529921
CRTC2,0.7961189
CSDE1,0.9939972
