Hugo_Symbol,Score
ABCA4,0.5918362
ABCB10,0.7526399
ABCD3,0.75389236
ABL2,0.99687624
ACADM,0.5407939
ACAP3,0.19155823
ACOT7,0.8410349
ACTA1,0.8411223
ADAM15,0.59651583
ADAM30,0.013126774
ADAMTSL4,0.8520212
ADAR,0.9782994
ADCK3,0.540666
ADCY10,0.89068806
ADORA3,0.15142919
AGBL4,0.9999424
AGL,0.9701366
AGMAT,0.59356564
AGRN,0.84299517
AGT,0.71626216
AGTRAP,0.67048943
AHCTF1,0.9996389
AHCYL1,0.043001585
AHDC1,0.99300426
AIM2,0.020410903
AJAP1,0.7773278
AKIRIN1,0.15379272
AKR1A1,0.4682928
ALDH4A1,0.13310964
ALG14,0.23392308
ALPL,0.99450713
ALX3,0.3757094
AMIGO1,0.2131256
AMPD2,0.69820124
AMY2B,0.027454635
ANGPTL3,0.79197454
ANGPTL7,0.22506486
ANKRD35,0.855702
ANP32E,0.33267644
APH1A,0.27088964
AQP10,0.15982406
ARHGAP29,0.9342228
ARHGAP30,0.9105716
ARHGEF10L,0.99485034
ARHGEF11,0.9999685
ARHGEF19,0.0027438982
ARID1A,1.0
ARID4B,0.99823475
ASAP3,0.99647
ASH1L,0.9954686
ASPM,0.99818856
ASTN1,0.6560889
ATAD3B,0.73886555
ATF3,0.38135403
ATF6,0.5031649
ATG4C,0.99825114
ATP13A2,0.6658899
ATP1A1,0.97621447
ATP1A2,0.99846137
ATP1A4,0.65374386
ATP1B1,0.9984749
ATP5F1,0.71930677
ATP8B2,0.9110179
ATXN7L2,0.996976
AXDND1,0.9597352
B4GALT2,0.9178074
BAI2,0.9726589
BCAN,0.7963799
BCAR3,0.96633506
BCL10,0.96624726
BCL9,0.99541914
BEST4,0.99512154
BMP8B,0.4014079
BNIPL,0.356298
BPNT1,0.9996092
BSND,0.10243345
BTBD19,0.08335686
BTBD8,0.36405948
C1orf110,0.19364984
C1orf112,0.99916625
C1orf123,0.06619758
C1orf127,0.96885747
C1orf146,0.11451715
C1orf177,0.22220069
C1orf185,0.049794946
C1orf21,0.06815976
C1orf27,0.9127261
C1orf35,0.10958535
C1orf52,0.28872678
C1orf54,0.08967713
C1orf61,0.078973055
C1orf74,0.010043498
C1orf86,0.9488739
C1orf94,0.7180121
C1orf95,0.07545608
C2CD4D,0.057117343
C4BPB,0.35803446
C8A,0.3085856
C8B,0.13453007
CA14,0.27213913
CACHD1,0.77608335
CACNA1S,0.9937796
CACYBP,0.45521876
CADM3,0.77089417
CAMK1G,0.23528342
CAMTA1,0.99071175
CAP1,0.6830983
CAPN2,0.7880423
CAPN9,0.059345804
CASZ1,0.9752138
CATSPER4,0.5623099
CC2D1B,0.17276494
CCBL2,0.69136554
CCDC17,0.8942599
CCDC18,0.9999125
CCSAP,0.7542596
CCT3,0.9305868
CD1A,0.19840375
CD1C,0.99588877
CD1D,0.06641013
CD46,0.13388869
CD58,0.15783788
CD84,0.018935313
CDC14A,0.8528039
CDC20,0.9552953
CDC42BPA,0.99076277
CDC7,0.41449577
CDC73,0.987323
CDCA8,0.42486477
CDK11A,0.5514348
CELA2A,0.99381787
CELF3,0.62513065
CELSR2,0.98866314
CENPF,0.9999902
CENPL,0.9988501
CEP104,0.97652423
CEP170,0.98653316
CEP350,0.9995597
CEP85,0.56758416
CFH,0.28822115
CFHR2,0.04372873
CFHR3,0.4175987
CFHR4,0.15124476
CGN,0.59116596
CHD1L,0.98595583
CHD5,0.9977769
CHI3L1,0.05127114
CHRM3,0.9731154
CLCA1,0.30228618
CLCA2,0.97556204
CLCN6,0.36967367
CLCNKB,0.2745819
CLIC4,0.70828474
CLK2,0.70785296
CLSTN1,0.7249881
CNST,0.8088916
CNTN2,0.8328045
COL16A1,0.9933128
COL8A2,0.8233495
COLGALT2,0.17931065
COPA,0.95378536
CPSF3L,0.64940035
CR1,0.99785185
CR1L,0.13121638
CR2,0.64247113
CRB1,0.9813293
CREG1,0.27804902
CRNN,0.8023257
CROCC,0.99979144
CRTC2,0.9579398
CSDE1,0.9908607
CSMD2,0.99996126
CTBS,0.14316745
CTH,0.9755072
CTRC,0.5223409
CTSE,0.12769014
CTSK,0.24509713
CTTNBP2NL,0.9667048
CYB5RL,0.31708065
CYP4A11,0.29173267
CYP4B1,0.04711491
DAB1,0.5685516
DBT,0.60494995
DCAF6,0.75589955
DCLRE1B,0.89931685
DCST1,0.74837464
DDI2,0.47639716
DDR2,0.23081608
DDX20,0.96628547
DDX59,0.99959594
DEDD,0.3267179
DEGS1,0.36932373
DENND2C,0.41119772
DENND4B,0.54515344
DFFB,0.17766455
DHCR24,0.6411359
DHDDS,0.18722714
DHX9,0.9864498
DIEXF,0.9999933
DISC1,0.9658667
DISP1,0.8295518
DLGAP3,0.2622609
DMAP1,0.52397275
DMRTA2,0.22663519
DNAH14,0.9864363
DNAJC11,0.93278456
DNAJC16,0.99966526
DNAJC6,0.997322
DNM3,0.99924904
DNTTIP2,0.7175602
DOCK7,0.8210109
DPYD,0.99998677
DRAXIN,0.0005405866
DUSP27,0.26073468
E2F2,0.477199
ECE1,0.6377084
ECM1,0.00058167655
EFNA1,0.35878417
EGLN1,0.82651603
