Hugo_Symbol,Score
AADACL4,0.85282147
ABCA4,0.7220844
ABCB10,0.8516152
ABL2,0.8105416
ACBD3,0.8022734
ACOT11,0.6157844
ACTL8,0.97521895
ACTRT2,0.57176673
ADAM15,0.61663353
ADAM30,0.3773115
ADAMTSL4,0.81394297
ADAR,0.89044714
ADCK3,0.36812612
ADCY10,0.9465727
ADIPOR1,0.85796183
AGL,0.96293914
AGMAT,0.8682619
AGRN,0.90940845
AGT,0.54169333
AHCTF1,0.99830663
AHCYL1,0.85372007
AHDC1,0.99652666
AIM1L,0.9959545
AJAP1,0.4593132
AKNAD1,0.9949385
AKR7L,0.10223667
ALDH4A1,0.38027272
ALG14,0.5472748
ALG6,0.50364757
AMIGO1,0.4806769
AMPD1,0.98354477
AMPD2,0.35789767
AMY2B,0.8812935
ANGPTL1,0.45080832
ANKRD13C,0.5650096
ANKRD34A,0.19319507
ANXA9,0.61471874
AP4B1,0.32033953
APOBEC4,0.080746844
AQP10,0.9949367
ARHGAP29,0.7767241
ARHGAP30,0.3325762
ARHGEF10L,0.79119134
ARHGEF16,0.27352148
ARHGEF19,0.97930706
ARHGEF2,0.833082
ARID1A,0.990573
ARID4B,0.6933322
ARNT,0.82201755
ASAP3,0.89686847
ASB17,0.5503035
ASH1L,0.9937131
ASPM,0.8292751
ASTN1,0.974445
ATAD3B,0.3766546
ATAD3C,0.50914097
ATP1A2,0.90034974
ATP6V1G3,0.21881971
ATP8B2,0.2941401
AURKAIP1,0.17149195
AXDND1,0.34465304
BCAN,0.5602593
BCL2L15,0.12575442
BCL9,0.6904943
BSDC1,0.9997427
BTBD8,0.9990534
C1orf101,0.64070135
CCDC181,0.32400376
C1orf131,0.12534967
C1orf158,0.9628739
C1orf168,0.3582605
C1orf174,0.094405524
C1orf87,0.15427317
C4BPA,0.5949456
C4BPB,0.7773998
C8A,0.7578132
C8B,0.6196081
CA14,0.48691648
CACHD1,0.93170214
CACNA1S,0.6120774
CALML6,0.40095007
CAMSAP2,0.9383375
CAMTA1,0.99993646
CAPN9,0.69403195
CASQ2,0.33240312
CASZ1,0.89988583
CCDC30,0.97953916
CD1A,0.5896593
CD1B,0.46548808
CD1E,0.8784958
CD244,0.28970736
CD46,0.5843533
CD58,0.7535973
CDC14A,0.61117053
CDC20,0.99713683
CDC42BPA,0.9827375
CDC7,0.98583627
CDC73,0.9974934
CDKN2C,0.9992669
CELF3,0.63084936
CELSR2,0.98708516
CENPF,0.76891613
CEP104,0.9889637
CEP170,0.9672773
CEP350,0.9989748
CEPT1,0.2515274
CFH,0.76950544
CFHR3,0.80633736
CFHR4,0.39238888
CFHR5,0.5424643
CHD5,0.8801105
CHIA,0.374315
CHRM3,0.983709
CLCA1,0.6586805
CLCA2,0.36878094
