Hugo_Symbol,Score
AADACL3,0.64042765
ABCA4,0.96098506
ABCB10,0.787716
ABL2,0.8719428
ACADM,0.72764057
ACAP3,0.1086926
ACBD3,0.9968696
ACBD6,0.42915118
ACTN2,0.93241453
ACTRT2,0.499154
ADAM15,0.75004107
ADAM30,0.5443488
ADAMTS4,0.6190242
ADAMTSL4,0.83329815
ADAR,0.94529754
ADCK3,0.19861828
ADCY10,0.9995951
ADIPOR1,0.6161585
ADORA1,0.66459423
ADORA3,0.884313
ADSS,0.74603236
AGBL4,0.70169663
AGL,0.9653707
AGRN,0.97631025
AGT,0.5050384
AGTRAP,0.95562553
AHCTF1,0.9941228
AHDC1,0.98956305
AIM1L,0.9543062
AJAP1,0.8061569
AK2,0.9206333
AKIRIN1,0.59746593
AKNAD1,0.9909189
AKR7A2,0.6413651
AKR7A3,0.17910506
AKT3,0.79953223
ALG6,0.53498775
ALX3,0.9995546
AMPD1,0.9941571
AMPD2,0.9982497
AMY2A,0.51040727
AMY2B,0.07940971
ANGEL2,0.3989558
ANGPTL1,0.6370118
ANGPTL3,0.8364529
ANGPTL7,0.0891422
ANKRD13C,0.52503777
ANKRD34A,0.39105356
ANKRD35,0.5342077
ANKRD45,0.035382025
ANP32E,0.68151647
ANXA9,0.7888563
APCS,0.23080786
APOBEC4,0.65306956
AQP10,0.99330175
ARF1,0.87219435
ARHGAP29,0.8571898
ARHGAP30,0.7251122
ARHGEF10L,0.9086897
ARHGEF11,0.99076605
ARHGEF19,0.858997
ARHGEF2,0.9724823
ARID1A,0.9998745
ARID4B,0.71633595
ARL8A,0.0703444
ARTN,0.4105638
ASAP3,0.85087496
ASB17,0.43835565
ASH1L,0.9525229
ASPM,0.96259576
ASTN1,0.99544287
ATAD3A,0.6609082
ATAD3B,0.6249989
ATF3,0.46542597
ATF6,0.80345935
ATG4C,0.9913316
ATP13A2,0.6421862
ATP1A1,0.9943762
ATP1A2,0.9783718
ATP1A4,0.87770694
ATP2B4,0.8395341
ATP8B2,0.79867166
ATXN7L2,0.99961996
AVPR1B,0.9196345
AXDND1,0.48292765
B3GALNT2,0.3972522
B4GALT2,0.07401922
B4GALT3,0.9737292
BAI2,0.948311
BARHL2,0.34301743
BCAN,0.7890194
BCAR3,0.97229415
BCL9,0.7693146
BEND5,0.43743357
BMP8B,0.35812485
BNIPL,0.8547745
BPNT1,0.8762204
BRDT,0.79136527
BROX,0.7988494
BTBD19,0.039604884
C1QA,0.8101537
C1QC,0.09261544
C1orf100,0.55267364
C1orf101,0.817859
C1orf106,0.88747084
C1orf110,0.15085585
C1orf111,0.6953175
C1orf112,0.7147574
CCDC181,0.12545675
C1orf116,0.86305755
C1orf123,0.22787026
C1orf127,0.48723522
C1orf131,0.5831954
C1orf141,0.06658129
C1orf146,0.1602721
C1orf158,0.2756815
C1orf167,0.8440537
C1orf177,0.2774608
C1orf226,0.5346574
C1orf27,0.76479834
C1orf35,0.27096233
C1orf43,0.39363816
C1orf50,0.248672
C1orf53,0.20740928
C1orf61,0.3612551
C1orf68,0.23926929
C1orf87,0.36511526
C1orf94,0.97796553
C4BPA,0.5671095
C8A,0.67192215
C8B,0.99065536
CA14,0.40523058
CA6,0.6181785
CACHD1,0.68119717
CACNA1S,0.90928864
CADM3,0.051626347
CALML6,0.4706143
CAMK1G,0.75505143
CAMK2N1,0.028862244
CAMSAP2,0.95143366
CAMTA1,0.9999993
CAPN8,0.961951
CAPN9,0.81051505
CAPZA1,0.97437525
CAPZB,0.5353653
CASQ1,0.71440995
CASZ1,0.6527096
CC2D1B,0.004470285
CCDC163P,0.02873975
CCDC18,0.91676974
CCDC23,0.46168035
CCDC27,0.9307243
CCDC30,0.8417398
CCNL2,0.82003796
CCT3,0.9972554
CD101,0.7070496
CD164L2,0.16576609
CD1A,0.6655685
CD1B,0.60771346
CD1C,0.63328
CD1D,0.53457105
CD1E,0.7663559
CD244,0.50875455
CD247,0.1747987
CD46,0.9941782
CD55,0.5066034
CD58,0.6642037
CD5L,0.74854267
CDA,0.9459915
CDC42,0.8646559
CDC42BPA,0.98435426
CDC7,0.83336776
CDC73,0.95359874
CDCP2,0.20990765
CDK11B,0.99648154
CDK18,0.95059013
CELA3A,0.23541729
CELA3B,0.9450397
CELF3,0.7791859
CELSR2,0.9162965
CENPF,0.99921954
CEP104,0.6392449
CEP170,0.9910477
CEP350,0.9228305
CEP85,0.98338646
CEPT1,0.2033315
CERS2,0.7975796
CFH,0.80544025
CFHR4,0.7216067
CFHR5,0.1539065
CGN,0.95069885
CHD1L,0.86918736
CHD5,0.99968207
CHI3L2,0.46731478
CHIA,0.3983109
CHIT1,0.3056337
CHML,0.8996235
CHRM3,0.99914336
CHRNB2,0.9945715
CHTOP,0.76060367
CKS1B,0.8145396
CLCA1,0.9604498
CLCA2,0.4087923
CLCA4,0.40479454
CLCN6,0.6835374
CLCNKA,0.40718132
CLCNKB,0.875246
CLK2,0.8287359
CLSPN,0.44619802
CNKSR1,0.9999527
CNN3,0.9725366
CNST,0.6275284
